eligibility_status,n_bucket,n_pairs,n_members,n_dealers,n_rounds_total
ELIGIBLE,06_n=30~100,431627,29324,288,21637820
ELIGIBLE,07_n>100,85901,4567,254,16727590
INSUFFICIENT_N,01_n=1,2030907,487348,297,2030907
INSUFFICIENT_N,02_n=2,1153017,327656,293,2306034
INSUFFICIENT_N,03_n=3~5,1674282,332503,291,6356458
INSUFFICIENT_N,04_n=6~10,1151881,211432,290,8810879
INSUFFICIENT_N,05_n=11~29,1131920,132502,290,19420983
NO_DECISIVE_ROUND,01_n=1,150581,99633,292,150581
NO_DECISIVE_ROUND,02_n=2,8173,7800,280,16346
NO_DECISIVE_ROUND,03_n=3~5,640,613,187,2031
NO_DECISIVE_ROUND,04_n=6~10,18,13,17,123
NO_DECISIVE_ROUND,05_n=11~29,2,2,2,33
SENTINEL_DEALER,01_n=1,56316,56316,1,56316
SENTINEL_DEALER,02_n=2,29670,29670,1,59340
SENTINEL_DEALER,03_n=3~5,44078,44078,1,167356
SENTINEL_DEALER,04_n=6~10,31185,31185,1,239158
SENTINEL_DEALER,05_n=11~29,36060,36060,1,636991
SENTINEL_DEALER,06_n=30~100,26239,26239,1,1477506
SENTINEL_DEALER,07_n>100,19477,19477,1,11516749
