rebate_rate,n_member,pct
0.00,783126482,0.9572375
0.30,27011030,0.0330163
0.80,3759541,0.0045954
0.90,3122560,0.0038168
1.40,607932,0.0007431
0.70,212419,0.0002596
0.40,206792,0.0002528
1.00,40450,0.0000494
0.50,8346,0.0000102
1.50,5730,0.0000070
0.60,5190,0.0000063
0.20,1338,0.0000016
0.75,688,8E-7
0.04,560,7E-7
0.45,554,7E-7
0.10,249,3E-7
0.08,215,3E-7
0.85,176,2E-7
0.55,130,2E-7
0.65,121,1E-7
2.20,99,1E-7
0.15,93,1E-7
0.35,64,1E-7
0.07,57,1E-7
0.25,46,1E-7
0.02,39,0E-7
0.01,15,0E-7
0.09,15,0E-7
0.63,14,0E-7
1.30,5,0E-7
1.20,3,0E-7
0.39,3,0E-7
2.00,2,0E-7
1.80,2,0E-7
1.60,2,0E-7
-0.20,1,0E-7
0.05,1,0E-7
