dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率
2123,103184568.5704185890,68365,25015,4,-943862.9689650068,25015,0.13306476570610745,0.1622227
1396,103064890.9376231531,69791,24233,4,-702000.0630757978,24233,0.1327180789203767,0.1922172
986,102329919.6268298038,67652,24986,4,-3013736.0319098611,24986,0.1322080366865663,0.1531258
1318,101803367.8383893819,70777,24064,5,-1700739.8434583764,24064,0.13294773007778868,0.1640625
1210,100589510.3204266587,65587,26378,4,-1482943.8537304684,26378,0.13268240098510556,0.1714307
2174,100132752.3813958420,66504,24628,4,-1514875.2414636153,24628,0.1324092108316753,0.1666802
1307,98758162.3164648975,67420,23334,4,-1871884.5831510259,23334,0.13237357743424316,0.1807234
2145,97017873.4809606602,64633,22554,4,-2746804.5556139616,22554,0.13247362398070928,0.2204487
462,96840770.5971159445,58212,48376,7,-2243667.8773263043,48376,0.13642133957538044,0.0855590
2252,96391699.8254754910,65282,23993,4,-2460022.7733888401,23993,0.13212552093779664,0.1477097
2103,96311906.0056774572,64966,23188,4,-3082085.4067253268,23188,0.13234055515301207,0.1494739
2101,95741993.4822478660,60676,25368,4,-2253834.2137771297,25368,0.1321997286988949,0.1329234
1330,95049365.2736271272,64301,23632,5,-1654799.8313211983,23632,0.13330737604675716,0.1456923
2169,94900024.3998257015,65786,23711,6,-1894712.8423571328,23711,0.13242292774924846,0.1556661
1325,94870072.8013382335,67253,23179,4,-2815240.7478532620,23179,0.13230787623321638,0.1576858
2196,94482327.9794669734,68546,22651,4,-732913.3661584520,22651,0.13241335429378692,0.1680279
2177,93770123.5130428956,64869,22288,4,-2003364.9794653412,22288,0.13270796075377722,0.1351400
2088,93724394.5156710665,63208,22676,5,-1997200.2865650576,22676,0.13313729303577312,0.1274034
2223,92811745.6440556213,65853,21451,5,-2754966.4926910914,21451,0.1329498436558898,0.1424176
2170,92799949.0758029410,62742,23359,4,-1381154.0651230759,23359,0.13274984176320734,0.1466672
1994,92726153.4956428809,63438,23920,4,-2673124.4535862879,23920,0.13271649264294016,0.1494983
2093,91012132.1054672537,65474,22248,4,-1840952.0300833150,22248,0.1329531610166312,0.1800162
1306,90682378.2093151352,65210,22292,5,-1824835.1974869919,22292,0.13276071311400695,0.1413063
2233,90377261.8588817719,63300,22079,4,-2962758.7407321367,22079,0.1323836967239054,0.1662213
2141,90031098.5410459833,65703,21425,4,-881386.5269835610,21425,0.13252056454591143,0.1400700
1331,89801780.0603851001,64183,22248,4,-1566028.6690908172,22248,0.13268676976289848,0.1878821
2235,89034553.0924134241,62170,21432,4,-1601154.6564683282,21432,0.13226847589431773,0.1664334
1384,88997300.1255027366,65609,22638,4,-561068.5021524178,22638,0.13204555972932236,0.1357010
994,88768217.2213424024,60785,20618,4,-1212635.5694226620,20618,0.1327183778084563,0.1309050
