member_id,bet_month,分层,标注,证据等级,n_orders,n_rounds_month,n_days_month,n_tables_month,n_hedge_rounds,n_hedge_eq,hedge_eq_share,n_zero_pnl_rounds,n_vb_true_zero,n_vb_positive,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,识别契约,来源
4986748,2026-04-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,1,3,3,1.0,2,6,0,0.0,1970.4433497534,-16.4203612479,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
4986748,2026-05-01,5–29单,T-05 自我对冲/打水,OBSERVED,10,5,2,2,5,5,1.0,3,10,0,0.0,2931.5960912052,-24.4299674267,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
4986748,2026-07-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,1,1,4,4,1.0,3,8,0,0.0,2588.9967637544,-16.1812297735,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
5927149,2026-06-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,4,4,4,4,1.0,2,8,0,0.0,2400.0,-30.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
13772052,2026-06-01,5–29单,T-05 自我对冲/打水,OBSERVED,18,9,3,4,9,9,1.0,4,18,0,0.0,8200.0,-115.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
13772052,2026-07-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,3,3,4,4,1.0,2,8,0,0.0,5200.0,-100.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
65024109,2026-05-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,1,1,4,4,1.0,3,8,0,0.0,92.4272660432,-0.5251549207,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
87150520,2026-05-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,3,3,3,1.0,3,6,0,0.0,62.3143551504,0.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
89178141,2026-06-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,1,1,4,4,1.0,4,8,0,0.0,2057.242780364,0.0,0.0,8,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
97495192,2026-03-01,5–29单,T-05 自我对冲/打水,OBSERVED,10,5,1,2,5,5,1.0,2,10,0,0.0,115.8595992312,-1.579903626,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
97766161,2026-08-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,2,3,3,1.0,1,6,0,0.0,44.4480362048,-0.6061095846,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
112723950,2026-06-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,1,3,3,1.0,2,6,0,0.0,77.1466042638,-0.6428883689,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
114860988,2026-03-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,2,3,3,3,1.0,2,6,0,0.0,100.0,-1.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
118208433,2026-04-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,1,3,3,1.0,2,6,0,0.0,24000.0,-250.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
128593579,2026-03-01,5–29单,T-05 自我对冲/打水,OBSERVED,8,4,1,1,4,4,1.0,1,8,0,0.0,326.5306122448,-6.1224489795,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
129274574,2026-06-01,5–29单,T-05 自我对冲/打水,OBSERVED,10,5,1,4,5,5,1.0,4,10,0,0.0,97.7190320674,-0.6428883689,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
133544050,2026-03-01,5–29单,T-05 自我对冲/打水,OBSERVED,6,3,1,2,3,3,1.0,0,6,0,0.0,1058.5434010956,-26.4635850274,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
