member_id,field_name,business_field,enforcement_type,is_baccarat_member,episode_id,start_date,start_time,value_before,value_after,start_operator,start_operator_lv,parse_sep,parse_status,release_date,censored,last_bet_date,n_bets_in_window,last_config_time,days_since_last_bet,censor_cutoff_days,censor_reason,duration_days,episode_seq
114636312,mem017,canbet,CANBET_下注权限,1,114636312#mem017#2026-08-01 09:59:11,2026-08-01,2026-08-01 09:59:11,Y,N,6779,5,COLON,OK,2026-08-01,0,2026-07-07,2,2026-08-01 09:59:51,30,7,NOT_CENSORED,0,1
118885977,mem017,canbet,CANBET_下注权限,1,118885977#mem017#2026-06-30 08:09:20,2026-06-30,2026-06-30 08:09:20,Y,N,51611,5,COLON,OK,2026-07-06,0,2026-08-05,4064,2026-07-10 21:19:33,1,7,NOT_CENSORED,6,1
118885977,mem017,canbet,CANBET_下注权限,1,118885977#mem017#2026-07-08 01:06:42,2026-07-08,2026-07-08 01:06:42,Y,N,51611,5,COLON,OK,2026-07-10,0,2026-08-05,4064,2026-07-10 21:19:33,1,7,NOT_CENSORED,2,2
122640657,mem017,canbet,CANBET_下注权限,1,122640657#mem017#2026-04-12 17:12:22,2026-04-12,2026-04-12 17:12:22,Y,N,46984,3,COLON,OK,2026-04-23,0,2026-08-06,18676,2026-04-23 03:36:40,0,7,NOT_CENSORED,11,1
129912912,mem016,enable,ENABLE_账户启停,0,129912912#mem016#2026-06-11 16:48:31,2026-06-11,2026-06-11 16:48:31,Y,N,30958,2,COLON,OK,2026-08-07,1,,,2026-06-11 16:48:37,,7,NO_BET_ACTIVITY,57,1
129912912,mem017,canbet,CANBET_下注权限,0,129912912#mem017#2026-06-11 16:48:37,2026-06-11,2026-06-11 16:48:37,Y,N,30958,2,COLON,OK,2026-08-07,1,,,2026-06-11 16:48:37,,7,NO_BET_ACTIVITY,57,2
135273018,mem017,canbet,CANBET_下注权限,0,135273018#mem017#2026-05-25 13:58:16,2026-05-25,2026-05-25 13:58:16,Y,N,40857,2,COLON,OK,2026-08-07,1,,,2026-05-25 13:58:16,,7,NO_BET_ACTIVITY,74,1
141425613,mem017,canbet,CANBET_下注权限,0,141425613#mem017#2026-04-19 12:31:31,2026-04-19,2026-04-19 12:31:31,Y,N,52928,2,COLON,OK,2026-08-07,1,,,2026-04-19 12:31:40,,7,NO_BET_ACTIVITY,110,1
141425613,mem016,enable,ENABLE_账户启停,0,141425613#mem016#2026-04-19 12:31:40,2026-04-19,2026-04-19 12:31:40,Y,N,52928,2,COLON,OK,2026-08-07,1,,,2026-04-19 12:31:40,,7,NO_BET_ACTIVITY,110,2
144792545,mem017,canbet,CANBET_下注权限,1,144792545#mem017#2026-04-13 05:08:21,2026-04-13,2026-04-13 05:08:21,Y,N,54744,3,COLON,OK,2026-08-07,1,2026-04-12,220,2026-04-13 05:08:21,116,7,INACTIVE_BEFORE_END,116,1
145429099,mem017,canbet,CANBET_下注权限,0,145429099#mem017#2026-04-01 11:12:17,2026-04-01,2026-04-01 11:12:17,Y,N,55723,5,COLON,OK,2026-08-07,1,,,2026-04-01 11:12:17,,7,NO_BET_ACTIVITY,128,1
145819722,mem016,enable,ENABLE_账户启停,1,145819722#mem016#2026-04-29 09:30:17,2026-04-29,2026-04-29 09:30:17,Y,N,26487,3,COLON,OK,2026-04-29,0,2026-08-06,9876,2026-05-01 20:13:27,0,7,NOT_CENSORED,0,1
146068101,mem017,canbet,CANBET_下注权限,1,146068101#mem017#2026-04-06 08:34:40,2026-04-06,2026-04-06 08:34:40,Y,N,54744,3,COLON,OK,2026-04-29,0,2026-04-30,2534,2026-05-03 20:59:06,98,7,NOT_CENSORED,23,1
146068101,mem017,canbet,CANBET_下注权限,1,146068101#mem017#2026-05-03 20:59:06,2026-05-03,2026-05-03 20:59:06,Y,N,54744,3,COLON,OK,2026-08-07,1,2026-04-30,2534,2026-05-03 20:59:06,98,7,INACTIVE_BEFORE_END,96,2
146490133,mem016,enable,ENABLE_账户启停,0,146490133#mem016#2026-03-30 05:11:27,2026-03-30,2026-03-30 05:11:27,Y,N,55879,5,COLON,OK,2026-04-20,0,,,2026-05-25 21:13:23,,7,NOT_CENSORED,21,1
146490133,mem016,enable,ENABLE_账户启停,0,146490133#mem016#2026-04-21 20:20:57,2026-04-21,2026-04-21 20:20:57,Y,N,55879,5,COLON,OK,2026-04-21,0,,,2026-05-25 21:13:23,,7,NOT_CENSORED,0,2
146490133,mem016,enable,ENABLE_账户启停,0,146490133#mem016#2026-04-22 23:36:03,2026-04-22,2026-04-22 23:36:03,Y,N,55879,5,COLON,OK,2026-05-04,0,,,2026-05-25 21:13:23,,7,NOT_CENSORED,12,3
