ip,n_member_log,country,city,in_bet_ip
117.0.18.22,202929,VN,Hanoi,0
117.0.18.21,201883,VN,Hanoi,0
163.171.214.141,185703,HK,Hong Kong,0
163.171.214.140,179213,HK,Hong Kong,0
163.171.214.143,173402,HK,Hong Kong,0
117.0.17.210,155018,VN,Ho Chi Minh City,0
117.0.17.211,154493,VN,Ho Chi Minh City,0
163.171.214.146,125966,HK,Hong Kong,0
34.124.237.43,125038,SG,Singapore,0
163.171.214.142,124717,HK,Hong Kong,0
210.245.64.206,119812,VN,Ho Chi Minh City,0
163.171.214.147,119229,HK,Hong Kong,0
163.171.214.101,92545,HK,Hong Kong,0
163.171.214.123,91655,HK,Hong Kong,0
163.171.214.122,90484,HK,Hong Kong,0
27.71.196.147,86313,VN,Hanoi,0
27.71.196.157,86089,VN,Hanoi,0
45.116.82.106,84017,HK,Hong Kong,0
34.87.165.242,76551,SG,Singapore,0
45.116.82.105,71751,HK,Hong Kong,0
49.231.122.30,60164,TH,Bangkok,0
174.35.59.173,59607,HK,Hong Kong,0
174.35.59.175,58662,HK,Hong Kong,0
174.35.59.174,58491,HK,Hong Kong,0
14.225.45.191,53216,VN,Hanoi,0
14.225.45.190,52660,VN,Hanoi,0
14.225.20.219,52212,VN,Hanoi,0
14.225.20.217,51730,VN,Hanoi,0
14.225.20.218,51288,VN,Hanoi,0
45.116.82.32,46163,HK,Hong Kong,0
45.116.82.30,46018,HK,Hong Kong,0
45.116.82.36,45866,HK,Hong Kong,0
45.116.82.31,44872,HK,Hong Kong,0
163.171.187.12,43168,TH,Bangkok,0
163.171.187.201,41146,TH,Bangkok,0
34.143.165.156,41052,SG,Singapore,0
49.231.62.79,39243,TH,Bangkok,0
49.231.62.69,38827,TH,Bangkok,0
45.116.82.201,38681,HK,Hong Kong,0
138.113.112.31,38569,SG,Singapore,0
203.144.189.17,37625,TH,Bangkok,0
203.144.189.18,37494,TH,Bangkok,0
34.87.93.126,34611,SG,Singapore,0
45.116.82.200,33924,HK,Hong Kong,0
45.116.82.29,33100,HK,Hong Kong,0
45.116.82.28,32720,HK,Hong Kong,0
14.225.240.30,31026,VN,Ho Chi Minh City,0
14.225.240.61,30998,VN,Ho Chi Minh City,0
14.225.240.33,30980,VN,Ho Chi Minh City,0
14.225.240.28,30915,VN,Ho Chi Minh City,0
35.220.188.219,29604,HK,Hong Kong,0
