player_id,total_orders,late_orders,late_ratio,win_orders,win_rate,valid_bet,profit,roi
207244,6226,1782,0.2862,2899,0.4656,713558.5,6690.8,0.0094
313243,126,34,0.2698,61,0.4841,1250,146,0.1168
371579,212,4,0.0189,72,0.3396,50807,-9978.5,-0.1964
432499,2833,692,0.2443,1279,0.4515,25736,-348.85,-0.0136
556418,1838,360,0.1959,837,0.4554,29239,708.75,0.0242
859389,52,1,0.0192,13,0.25,3438.47,514.4,0.1496
868040,62,24,0.3871,28,0.4516,2611.88,453.59,0.1737
1067474,668,122,0.1826,291,0.4356,73309.38,-2291.2,-0.0313
1071249,110,18,0.1636,46,0.4182,50416,-2054.35,-0.0407
1112471,16002,3127,0.1954,3911,0.2444,104160.53,-4546.84,-0.0437
1177072,9492,1332,0.1403,4289,0.4519,85707.68,-1168.46,-0.0136
1242690,1154,348,0.3016,315,0.273,68196.02,-3116.85,-0.0457
1262437,628,148,0.2357,314,0.5,8249.06,612.31,0.0742
1270906,193,85,0.4404,36,0.1865,7825.27,-885.39,-0.1131
1272507,42,13,0.3095,16,0.381,789.39,-97.32,-0.1233
1312497,122,45,0.3689,55,0.4508,193531.06,11279.85,0.0583
1338730,572,206,0.3601,180,0.3147,11603,120.7,0.0104
1505519,131,22,0.1679,61,0.4656,3578.26,497.43,0.139
1509477,6319,1669,0.2641,2780,0.4399,556361.88,-47209.34,-0.0849
1712800,696,137,0.1968,117,0.1681,18338.6,-193.14,-0.0105
1718380,386,13,0.0337,192,0.4974,44811.79,1965.36,0.0439
1757886,31,5,0.1613,14,0.4516,544.88,-40.85,-0.075
1949606,56,34,0.6071,28,0.5,5205.21,256.71,0.0493
1953578,2506,241,0.0962,670,0.2674,12057,-998.64,-0.0828
2037260,49,10,0.2041,15,0.3061,4143.03,-811.23,-0.1958
2342940,150,25,0.1667,68,0.4533,1264.57,-41.38,-0.0327
2383841,146,44,0.3014,55,0.3767,473.18,-104.71,-0.2213
2416591,1036,245,0.2365,483,0.4662,2085800.63,599.85,0.0003
2428288,37,12,0.3243,10,0.2703,964.67,-104.61,-0.1084
2487518,109,29,0.2661,23,0.211,881.36,-164.05,-0.1861
2491095,95,30,0.3158,34,0.3579,4913,94.35,0.0192
2532267,34,4,0.1176,17,0.5,1490,73,0.049
2532548,2491,433,0.1738,779,0.3127,160384.96,-5742.79,-0.0358
2592877,913,284,0.3111,389,0.4261,153019.34,-9387.4,-0.0613
2604375,33,0,0,6,0.1818,1718.03,-573.81,-0.334
2680170,97,17,0.1753,33,0.3402,5797.23,-1266.54,-0.2185
2867846,399,66,0.1654,102,0.2556,73579.7,-528.44,-0.0072
