table_id,sec_elapsed,n_orders,n_player,n_rounds,valid_bet,game_pnl
1,0,60066,931,52755,380697.0502607801,15944.5563040852
1,1,110347,11337,81045,7511910.4852602124,-274764.6321780458
1,2,289928,30081,156916,23753619.1107177100,-441975.1870104944
1,3,403535,45753,185692,33560766.6071828549,-996048.6702088908
1,4,461754,57594,195459,37529638.8954760791,-1046382.1213657706
1,5,513499,66607,201410,42006455.6818403743,-225788.6185576891
1,6,568262,73798,206781,45278616.5694231709,-1053878.7406832192
1,7,626651,79721,212258,49150822.5751660049,-1244651.0256695043
1,8,704353,86186,219118,56623881.5068685252,-1053411.1509728177
1,9,813086,92560,227392,67909886.4732934508,-1341235.4144625030
1,10,940128,98626,235481,83677089.3819665723,-2175387.7044697076
1,11,1058715,101564,241725,103494569.0971309961,-1829200.7075282248
1,12,1080333,98697,243713,115456230.2473266349,-2680717.3707763709
1,13,457674,66292,163767,50676396.6051305145,-1147775.4571266204
1,14,6,5,5,211.3034928534,197.8023111085
1,17,1,1,1,10.5030984140,9.9779434933
1,18,2,2,2,15.6672807653,-1.5009167988
1,21,1,1,1,1.5567432930,-1.5567432930
1,22,3,3,2,35.8813870342,13.8496548731
1,24,1,1,1,778.3716465155,-778.3716465155
1,25,3,2,2,1090.3443540909,-1045.2860618947
112,0,48212,637,42186,244812.5504152776,-3187.4966949464
112,1,78719,9679,60726,4663256.0752958882,172561.3338367844
112,2,180084,27796,103727,16597881.2204869498,-138465.2192344713
112,3,261746,43299,127066,24387906.4772180743,-526278.9246043604
112,4,297707,53789,133104,27029152.0229785548,-151647.4995962735
112,5,319756,60604,135839,28266674.7310698718,321442.4140500707
112,6,336412,66016,136959,29612234.0990589827,-657309.8987476717
112,7,357472,70076,139443,30899563.4716802776,-1457024.0734037222
112,8,372618,72899,140679,30056431.2626782207,-390471.9891388191
112,9,384538,74780,141841,31200792.8965717522,-501386.4151788522
112,10,394197,75865,142985,31445776.5484704265,-708531.8893221992
112,11,401042,77068,143719,31842158.0809869565,-695055.3399707688
112,12,401555,77592,143807,31713238.2554796308,-1187935.7010446071
112,13,400056,77582,143271,31733851.9456655245,-301131.3096530197
112,14,398950,77231,143230,32242640.0913030070,-1669603.4450507213
112,15,394691,76790,142749,32700670.9611707592,-330643.4241914183
112,16,393175,76794,142499,32948665.5502505127,-78814.2742242410
112,17,393340,75787,143520,33431691.0412673789,-453015.3414523978
112,18,396377,75757,143938,35355202.9535180991,-476224.3663793581
112,19,404612,76224,145720,37922182.1801775315,-322672.9926037868
112,20,427465,77106,149453,42516129.6157388170,-215692.2254757050
112,21,465710,78698,154850,49333564.3382984960,-1741943.3921103642
112,22,519910,79936,161535,61345390.5208818239,-1979979.1955728363
112,23,576562,79059,167108,76125137.7190420845,-1816046.8690735895
112,24,580185,73521,168601,83532049.4636897827,-1964683.1667319486
112,25,240439,44721,104215,35469921.7131837938,-1094783.7541700845
112,26,1,1,1,0E-10,0E-10
113,0,46646,670,41176,242052.6499805950,-3364.6414909450
113,1,68460,9100,53370,4110895.0062106491,127058.0579723864
113,2,174178,26016,102240,16476554.9175830831,-20235.4024169898
113,3,256438,40409,126188,22715003.1647033384,-548301.6768495282
113,4,292900,49917,133151,25822240.2795592107,-886282.8919611099
113,5,314902,56993,136010,27769371.3285929658,-607777.1581819681
113,6,330189,62172,136456,28298885.4847188744,-664003.7979487002
