table_id,n_shoes,avg_max_round,sd_max_round,min_max_round,ceiling_observed,p50_max_round,p90_max_round,p99_max_round,avg_gap,avg_n_bettors,avg_bets_per_round,corr_len_density,corr_len_bettors
900,70,56.3857,2.2477,50,62,56.5,59.0,61.6,1.3286,163.3571,11.9124,-0.065535,0.026265
912,3236,52.2648,3.9829,1,110,52.0,56.0,59.0,2.2491,114.6239,8.3529,0.028969,0.174688
910,3281,52.224,3.9441,2,62,52.0,56.0,59.0,2.2109,117.5992,8.5486,0.048244,0.199745
908,3275,52.189,3.944,1,63,52.0,56.0,59.0,1.971,123.2632,8.9690,0.042297,0.192272
905,3260,52.1739,3.7834,3,62,52.0,56.0,59.0,1.7202,134.3512,9.8860,0.031833,0.183434
903,3262,52.1453,3.8524,5,62,52.0,56.0,59.0,1.4654,141.5671,10.6313,0.057422,0.203659
911,3245,52.1393,4.112,1,65,52.0,56.0,59.0,2.2219,115.5781,8.4455,0.039834,0.203286
906,3285,52.1132,3.9826,1,64,52.0,56.0,59.0,1.7793,130.1927,9.5668,0.047232,0.205975
909,3268,52.0823,3.7423,3,62,52.0,56.0,59.0,2.108,120.8207,8.9085,0.030493,0.173725
913,3193,51.9258,4.1392,1,64,52.0,56.0,59.0,2.2217,113.5381,8.4456,0.052097,0.194914
901,3306,51.8669,3.6717,2,63,52.0,55.0,59.0,1.1851,155.0266,11.9811,0.036489,0.190678
902,3313,51.8563,3.4473,5,63,52.0,55.0,59.0,1.3462,146.5847,11.1832,0.0346,0.182326
907,3148,51.8034,3.7735,1,64,52.0,55.0,58.0,1.9009,125.8342,9.2013,0.040909,0.178995
7,5950,49.3617,3.2798,2,58,49.0,52.0,55.0,0.3487,175.1748,18.2625,0.056888,0.167978
1,5863,49.3176,2.9812,2,58,49.0,52.0,55.0,0.0878,246.2378,29.1869,0.017788,0.11884
8,5975,49.3115,2.847,3,59,49.0,52.0,55.0,0.4678,162.9302,16.2164,0.034943,0.136377
2,5936,49.3034,2.9205,3,60,49.0,52.0,55.0,0.1107,226.4837,26.2373,0.023841,0.122728
6,5786,49.2841,3.0246,2,58,49.0,52.0,55.0,0.2679,187.8011,19.8270,0.032782,0.143944
5,5949,49.2202,3.0046,6,59,49.0,52.0,55.0,0.2239,197.2789,21.5961,0.038699,0.131483
3,5909,49.1928,3.1321,3,61,49.0,52.0,55.0,0.1924,210.0389,23.5360,0.038295,0.138665
115,4433,49.0005,3.0129,2,59,49.0,52.0,55.0,0.0557,348.1719,43.2058,0.028027,0.127291
113,4475,48.8581,3.1785,4,60,49.0,52.0,55.0,0.0467,358.032,44.8519,0.051073,0.150287
112,4449,48.6601,3.514,1,58,49.0,52.0,55.0,0.0463,367.5053,46.1327,0.069454,0.170773
116,4502,48.6237,3.0368,11,58,49.0,52.0,54.0,0.0493,326.7939,39.1205,0.053319,0.157319
37,2757,47.8847,3.2784,3,57,48.0,51.0,53.0,0.1313,220.6561,27.7315,0.033072,0.180611
31,4445,47.8216,2.9998,1,58,48.0,51.0,54.0,0.267,211.5442,21.1795,0.031412,0.146615
35,4487,47.7865,3.0992,3,56,48.0,51.0,53.0,0.4464,177.4464,16.6110,0.042864,0.152236
36,4416,47.6612,3.1898,2,56,48.0,51.0,53.0,0.4493,172.4665,16.1314,0.031364,0.165175
32,4422,47.6291,2.9829,5,60,48.0,51.0,53.0,0.2924,198.0124,19.7134,0.029396,0.151531
33,4461,47.6084,3.0284,3,56,48.0,50.0,53.0,0.3553,187.4956,18.1006,0.063533,0.182851
