bet_side,n_rounds,n_push,push_rate,p_base_dnb,p_base_incl
BANKER,46478184,4408036,0.0948410,0.5066782,0.4586244
PLAYER,43887710,4163080,0.0948575,0.4931331,0.4463557
TIE,9571591,53,0.0000055,0.0947383,0.0947378
BPAIR,5867803,33,0.0000056,0.0746880,0.0746876
PPAIR,5724592,30,0.0000052,0.0747991,0.0747987
SUPER6,4610732,33,0.0000072,0.0537003,0.0536999
LUCKY7,4348061,27,0.0000062,0.0815750,0.0815745
SUPERLUCKY7,3129299,25,0.0000080,0.0188056,0.0188055
PERFECTPAIR,353630,2,0.0000057,0.0338237,0.0338235
BANKERDRAGONBONUS,205408,3710,0.0180616,0.2874595,0.2822675
PLAYERDRAGONBONUS,175618,3147,0.0179196,0.2951801,0.2898906
ANYPAIR,153193,1,0.0000065,0.1439109,0.1439100
BIG,80110,1,0.0000125,0.6235254,0.6235177
BANKERNATURAL,61688,1149,0.0186260,0.1685360,0.1653968
PLAYERNATURAL,54591,963,0.0176403,0.1646528,0.1617483
SMALL,22842,1,0.0000438,0.3785736,0.3785570
SUPERTIE5,1,1,1.0000000,,0E-7
SMALLTIGER,1,1,1.0000000,,0E-7
LUCKY7TWOCARD,1,1,1.0000000,,0E-7
BEAR8,1,1,1.0000000,,0E-7
SUPERTIE9,1,1,1.0000000,,0E-7
SUPERTIE8,1,1,1.0000000,,0E-7
SUPERTIE4,1,1,1.0000000,,0E-7
