ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
3,mem001,varchar,source_type=int(11); 
4,mem002,varchar,source_type=varchar(48); 
5,mem003,varchar,source_type=varchar(65); 
6,mem004,varchar,source_type=varchar(48); 
7,mem005,varchar,source_type=timestamp; 
8,mem006,varchar,source_type=int(11); 
9,mem007,varchar,source_type=int(11); 
10,mem008,varchar,source_type=int(11); 
11,mem009,varchar,source_type=int(11); 
12,mem010,varchar,source_type=int(11); 
13,mem011,varchar,source_type=int(11); 
14,mem012,varchar,source_type=int(11); 
15,mem013,varchar,source_type=timestamp; 
16,mem014,varchar,source_type=char(15); 
17,mem015,varchar,source_type=int(11); login_error
18,mem016,varchar,"source_type=enum(''Y'',''N''); enable"
19,mem017,varchar,"source_type=enum(''Y'',''N''); canbet"
20,mem018,varchar,"source_type=enum(''Y'',''N''); chg_pw"
21,mem019,varchar,"source_type=enum(''Y'',''N''); is_test"
22,mem020,varchar,"source_type=enum(''Y'',''N''); be_traded"
23,mem021,varchar,source_type=int(11); 
24,mem022,varchar,source_type=varchar(20); 電話
25,mem022a,varchar,source_type=int(6); 電話簡碼
26,mem023,varchar,source_type=tinyint(4); 
27,mem024,varchar,source_type=int(11); mem_risk
28,mem026,varchar,source_type=int(11); 
29,mem028,varchar,source_type=varchar(20); 備註
30,type,varchar,source_type=int(11); 0:現金;1:信用;2:電投
31,currency,varchar,source_type=int(11); 幣別
32,cash,varchar,"source_type=decimal(15,4); 現金"
33,money,varchar,"source_type=decimal(10,4); 己出碼額度"
34,lockmoney,varchar,"source_type=decimal(10,4); 鎖定金額"
35,head,varchar,source_type=int(11); 頭像ID
36,chips,varchar,source_type=varchar(500); 籌碼選擇
37,follow1,varchar,source_type=varchar(1000); 注關會員
38,follow2,varchar,source_type=varchar(3000); 關注荷官
39,tip,varchar,"source_type=enum(''Y'',''N''); "
40,red,varchar,"source_type=enum(''N'',''Y''); 紅包開關"
41,wallet,varchar,"source_type=enum(''Y'',''N''); "
42,opengame,varchar,source_type=varchar(255); 輸入要開啟的種類
43,site,varchar,source_type=varchar(60); 
44,kickperiod,varchar,source_type=int(3); 踢出局數
45,identity,varchar,"source_type=int(11); 0:信用,1:api"
46,singlebetprompt,varchar,"source_type=decimal(15,0); 單注金額告警"
47,conwinprompt,varchar,source_type=int(3); 連贏局數告警
48,winlossprompt,varchar,"source_type=enum(''0'',''1''); 最大可輸可贏提示"
49,onlineprompt,varchar,"source_type=enum(''0'',''1''); 上線提示"
50,source_db,varchar,来源库
51,source_table,varchar,来源表
52,ods_table_name,varchar,ODS表名
53,sync_time,datetime,同步时间
