member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
2968308,2026-06-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,18.7457396046,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
2977254,2026-05-01,游戏输赢为零,有值,3,2,2,1,0,0,0,3,0E-7,126.0371809684,126.0371809684,0E-10,1.0082974477,3,0,0,0,0E-7,两者皆低·判UNKNOWN
3337573,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,34.4530577088,34.4530577088,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
5393876,2026-06-01,游戏输赢为零,有值,8,8,1,3,0,0,0,8,0E-7,1800.0874328184,1800.0874328184,0E-10,0E-10,8,0,0,0,0E-7,两者皆低·判UNKNOWN
5707215,2026-05-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,10.3782886202,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
5787328,2026-05-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,12.9728607753,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
5867496,2026-04-01,洗码与输赢皆为零,有值,2,2,1,1,0,0,2,0,0E-7,0E-10,392.6393215193,0E-10,0E-10,0,0,0,2,0E-7,两者皆低·判UNKNOWN
5905805,2026-07-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,213.5292107960,213.5292107960,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
5938783,2026-06-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,300.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
6027581,2026-04-01,游戏输赢为零,有值,2,2,2,2,0,0,0,2,0E-7,600.0000000000,600.0000000000,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
