member_id,action,content,action_time
146490510,changestatus,mem016:N=>Y;,2026-03-27 12:13:56
147056715,changestatus,mem015:0=>1;mem017:Y=>N;,2026-04-12 18:32:11
146504167,changestatus,mem015:0=>1;mem017:Y=>N;,2026-04-12 18:32:01
148251435,changestatus,mem015:0=>1;mem017:Y=>N;,2026-04-12 23:54:06
148591455,changestatus,mem015:1=>0;mem017:N=>Y;,2026-05-26 03:54:51
146561555,changestatus,mem015:1=>0;mem017:N=>Y;,2026-05-26 01:54:19
59889161,changestatus,mem015:2=>0;mem017:N=>Y;,2026-07-30 10:41:38
151336685,changestatus,mem015:1=>0;mem017:N=>Y;,2026-07-14 19:16:48
118382361,changestatus,mem015:1=>0;mem017:N=>Y;,2026-04-26 07:57:15
148877679,changestatus,mem015:0=>1;mem017:Y=>N;,2026-04-26 23:36:33
146554769,changestatus,mem016:N=>Y;,2026-05-06 14:06:13
146816570,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-18 03:14:28
149885586,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-18 17:08:03
151518313,changestatus,mem016:Y=>N;,2026-06-29 17:22:07
82774584,changestatus,mem016:N=>Y;,2026-06-29 18:01:59
152100542,changestatus,mem015:0=>1;mem017:Y=>N;,2026-06-29 17:36:58
153246007,changestatus,mem016:Y=>N;,2026-07-27 15:58:18
5803214,changestatus,mem016:Y=>N;,2026-07-27 20:03:09
153246007,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-27 15:58:25
150867869,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-27 04:53:20
135273018,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-25 13:58:16
150163142,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-25 13:28:34
148591455,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-25 00:02:12
146561555,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-25 00:01:54
146490133,changestatus,mem015:0=>1;mem017:Y=>N;,2026-05-25 21:13:23
151524197,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-13 12:47:33
152648555,changestatus,mem016:Y=>N;,2026-07-13 19:46:12
53649631,changestatus,mem016:N=>Y;,2026-07-13 15:27:56
150867783,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-13 00:01:47
152272486,changestatus,mem016:Y=>N;,2026-07-13 19:45:07
152604443,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-13 00:25:59
47423089,changestatus,mem015:1=>0;mem017:N=>Y;,2026-04-24 22:23:34
152195500,changestatus,mem015:0=>1;mem017:Y=>N;,2026-07-06 14:52:08
151905958,changestatus,mem016:Y=>N;,2026-07-06 19:48:32
153129011,changestatus,mem015:2=>0;mem017:N=>Y;,2026-08-03 12:40:41
146783170,changestatus,mem016:Y=>N;,2026-04-22 23:36:37
145819722,changestatus,mem015:2=>0;mem017:N=>Y;,2026-05-01 17:33:30
