segment,n_member,validbet,ggr,rebate,commission,comm_scale,reb_scale,tenure_months,audit_rn,batch_id
实测退水0.000 · 流水Q4,170004,32722574953.1647262065,588083646.4846847526,0E-12,148780405097.848485782735,rate_percent,rate_decimal,2.2051657608056283,1,1
实测退水4.400 · 流水Q4,3267,1848067681.3773783305,37792805.5863587641,8131497798.060464269882,8685918102.473677743819,rate_percent,rate_decimal,2.3229262320171413,2,1
实测退水1.800 · 流水Q4,116,1042441510.7593220471,34375961.5717566477,1876394719.366779690272,2530066317.620988940332,rate_percent,rate_decimal,1.3706896551724137,3,1
实测退水2.700 · 流水Q4,87,441866449.6394014225,9598108.9125746061,1193039414.026383854082,1474966248.846376768388,rate_percent,rate_decimal,2.0344827586206895,4,1
实测退水0.900 · 流水Q4,87,251822554.8613579578,7424447.1721618854,226640299.375222164873,639436936.578988537332,rate_percent,rate_decimal,2.5057471264367814,5,1
实测退水4.500 · 流水Q4,1823,203304016.8080375160,4423797.2441844579,914868075.636168778383,958045426.421655808593,rate_percent,rate_decimal,1.484914975315414,6,1
实测退水5.000 · 流水Q4,800,192439759.9810136732,2823496.3282316746,962198799.905068415807,914088859.909814995321,rate_percent,rate_decimal,1.16125,7,1
实测退水0.000 · 流水Q3,172736,134150771.9806148441,16811355.7145381526,0E-12,628024620.597146043087,rate_percent,rate_decimal,1.3274129307150797,8,1
实测退水4.150 · 流水Q4,811,114515426.6941308358,2971545.2393046367,475239020.780642956698,541657968.263238840116,rate_percent,rate_decimal,2.9321824907521576,9,1
实测退水2.400 · 流水Q4,293,87849178.8262360445,1633211.9780903921,210838029.182966482030,411082886.583947379605,rate_percent,rate_decimal,2.5017064846416384,10,1
实测退水1.700 · 流水Q4,26,84693324.6912980094,-34573.4566292605,143978651.975206613900,156577588.079171034603,rate_percent,rate_decimal,2.8461538461538463,11,1
实测退水3.000 · 流水Q4,131,54089758.0162490562,-394053.2004583146,162269274.048747173528,254530423.526370571881,rate_percent,rate_decimal,2.1755725190839694,12,1
实测退水4.000 · 流水Q4,71,51856118.8264314932,1731734.5431789843,207424475.305725981144,235394083.680785477557,rate_percent,rate_decimal,2.76056338028169,13,1
实测退水3.600 · 流水Q4,36,49303119.8452680724,1139214.4572459160,177491231.442965061624,178658969.273314397121,rate_percent,rate_decimal,2.9722222222222223,14,1
实测退水3.200 · 流水Q4,15,47872634.1343583447,449608.4977362645,153192429.229946701609,170228034.494521231570,rate_percent,rate_decimal,2.0,15,1
实测退水1.080 · 流水Q4,24,25302147.1868527618,398533.2496173466,27326318.961800985695,47883687.938938030352,rate_percent,rate_decimal,2.75,16,1
实测退水0.000 · 流水Q2,173651,22592990.6355394463,5482923.5657248762,0E-12,105939242.854744668559,rate_percent,rate_decimal,1.1327029501701689,17,1
实测退水0.000 · 流水Q1,174688,3509834.4032177245,1384334.1307865707,0E-12,16443288.113188405523,rate_percent,rate_decimal,1.0422238505220736,18,1
实测退水2.100 · 流水Q4,2,1949862.8343224886,86205.8038009811,4094711.952077226050,3704739.385212728331,rate_percent,rate_decimal,2.0,19,1
实测退水2.416 · 流水Q4,1,1910871.5152581128,63657.5499076599,4616626.418081083458,8178530.085304722538,rate_percent,rate_decimal,1.0,20,1
实测退水2.900 · 流水Q4,4,1680448.2141697154,64724.7592354125,4873299.821092174238,4638037.071108414102,rate_percent,rate_decimal,1.75,21,1
实测退水4.400 · 流水Q3,1707,1419097.6088348104,224244.8354045086,6244029.478873106709,6669758.761523546091,rate_percent,rate_decimal,1.3866432337434096,22,1
实测退水4.500 · 流水Q3,1680,1371177.5378446583,201294.5672519534,6170298.920300997142,6511293.564762163823,rate_percent,rate_decimal,1.118452380952381,23,1
实测退水4.150 · 流水Q3,630,497481.3418649276,73865.9643759134,2064547.568739428834,2353086.747021084041,rate_percent,rate_decimal,1.53015873015873,24,1
实测退水5.000 · 流水Q3,418,363435.7252929100,118967.7303151593,1817178.626464613567,1726319.695141383066,rate_percent,rate_decimal,1.0191387559808613,25,1
实测退水2.386 · 流水Q4,1,214493.0085304723,-17641.3683932811,511696.420719373845,918030.076510421247,rate_percent,rate_decimal,1.0,26,1
实测退水4.500 · 流水Q2,1352,179416.5951147470,58212.9134288256,807374.678016323143,852228.826795007935,rate_percent,rate_decimal,1.0303254437869822,27,1
实测退水4.400 · 流水Q2,1292,173104.8323409836,50257.0808844170,761661.262300316612,813592.712002610980,rate_percent,rate_decimal,1.1625386996904026,28,1
实测退水3.000 · 流水Q3,206,149726.5396328772,1857.2193761294,449179.618898655307,703784.736274560028,rate_percent,rate_decimal,1.1601941747572815,29,1
实测退水2.400 · 流水Q3,136,114500.0938347726,21862.0202713719,274800.225203458893,537183.091918302971,rate_percent,rate_decimal,1.286764705882353,30,1
实测退水4.150 · 流水Q2,603,77064.6984278952,20878.5710847816,319818.498475745223,364516.023563921622,rate_percent,rate_decimal,1.2023217247097844,31,1
实测退水3.000 · 流水Q2,376,42239.5511600598,7994.1739293312,126718.653480328646,198536.390452515512,rate_percent,rate_decimal,1.023936170212766,32,1
实测退水4.000 · 流水Q3,42,31040.5362200684,2647.3259704188,124162.144880275379,145528.990127746607,rate_percent,rate_decimal,1.3333333333333333,33,1
实测退水5.000 · 流水Q2,188,28696.7443240229,10346.9958603366,143483.721620117173,136309.535539111425,rate_percent,rate_decimal,1.0106382978723405,34,1
实测退水4.400 · 流水Q1,1191,23765.8993562619,10076.8050866473,104569.957167528734,111699.726974405596,rate_percent,rate_decimal,1.0453400503778338,35,1
实测退水4.500 · 流水Q1,763,19027.3342584440,8986.2123889429,85623.004163003989,90379.837727615322,rate_percent,rate_decimal,1.0026212319790302,36,1
实测退水0.900 · 流水Q3,23,18903.4772320117,4133.3340237499,17013.129508809953,71077.074392361682,rate_percent,rate_decimal,1.4782608695652173,37,1
实测退水3.600 · 流水Q3,16,12500.6121782964,2714.7103098379,45002.203841867327,45242.228328999185,rate_percent,rate_decimal,2.1875,38,1
实测退水4.150 · 流水Q1,553,11673.8739834803,4397.3270760461,48446.577031442226,55217.423941860688,rate_percent,rate_decimal,1.0379746835443038,39,1
实测退水2.400 · 流水Q2,78,10031.5431976693,3525.5506031058,24075.703674406648,47103.951662576733,rate_percent,rate_decimal,1.0512820512820513,40,1
实测退水3.000 · 流水Q1,296,6059.3945429039,2032.5747756520,18178.183628714806,28479.154351653263,rate_percent,rate_decimal,1.0202702702702702,41,1
