uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg,audit_rn,batch_id
207244,2834,6178,0.5,0.7451,0.6667,26.5,1,1
313243,84,126,0.5789,0.585,1.0,29.65,2,1
371579,43,212,0.3333,0.42,1.0,18.12,3,1
432499,417,2833,0.4314,0.8298,0.5,22.54,4,1
556418,1164,1834,0.4902,0.5882,1.0,25.55,5,1
1067474,273,668,0.4583,0.5741,1.0,23.04,6,1
1071249,21,110,0.4583,0.62,1.0,25.38,7,1
1112471,926,15973,0.4706,0.7127,1.7183,25.04,8,1
1177072,4022,9399,0.2708,0.44,1.0,18.52,9,1
1242690,48,1154,0.4907,0.8562,1.8976,26.46,10,1
1262437,234,628,0.4454,0.5935,1.0,24.4,11,1
1270906,25,193,0.7647,0.8148,2.6,39.32,12,1
1312497,41,122,0.5769,0.6471,1.0,27.93,13,1
1338730,47,572,0.6444,0.7818,1.0,28.49,14,1
1505519,95,131,0.4894,0.5625,1.0,24.88,15,1
1509477,415,6104,0.434,0.8776,0.9268,22.42,16,1
1712800,272,696,0.3489,0.4545,1.4143,19.23,17,1
1718380,47,386,0.2326,0.3265,1.0,11.53,18,1
1953578,331,2506,0.26,0.339,1.5,16.18,19,1
2342940,51,150,0.4902,0.5577,1.0,24.55,20,1
2416591,606,1035,0.58,0.6176,1.0,28.64,21,1
2487518,12,109,0.6629,0.7382,3.0,31.75,22,1
2532548,629,2490,0.38,0.4423,1.0,21.85,23,1
2592877,240,913,0.5556,0.6969,1.0,27.78,24,1
2867846,117,399,0.3,0.5094,1.0,17.91,25,1
2890331,36,206,0.2234,0.3301,1.0,11.5,26,1
2919580,47,127,0.5294,0.5417,1.0,26.13,27,1
2933872,347,1849,0.4821,0.617,1.0,25.37,28,1
2934234,923,2652,0.2889,0.42,1.0,18.03,29,1
2993884,7,185,0.3043,0.6304,1.6875,19.29,30,1
3015805,417,5011,0.44,0.8936,0.875,23.36,31,1
3024166,453,5322,0.5192,0.5918,3.0,26.9,32,1
3059904,67,112,0.4792,0.5532,1.0,25.3,33,1
3060035,170,2064,0.3626,0.4226,3.0,20.45,34,1
3078091,120,536,0.5205,0.6526,1.0,27.44,35,1
3105456,28,131,0.2903,0.42,1.0,16.11,36,1
3112521,83,553,0.32,0.4706,1.0,18.82,37,1
3124237,41,229,0.4,0.6042,1.0,22.93,38,1
3206119,5532,13983,0.44,0.7292,0.6667,23.85,39,1
3531354,167,204,0.4717,0.4808,1.0,23.78,40,1
3546191,78,924,0.396,0.5053,2.5,23.08,41,1
3604354,1073,1849,0.551,0.5882,1.0,27.19,42,1
3657903,4365,9383,0.2708,0.4,1.0,17.55,43,1
3670972,413,3161,0.18,0.4468,0.9231,11.52,44,1
3693164,35,619,0.3673,0.661,1.25,21.91,45,1
3710803,957,1526,0.5306,0.5556,1.0,25.61,46,1
3722945,117,156,0.5778,0.6296,1.0,29.32,47,1
3738854,92,1366,0.4785,0.5345,4.0,24.54,48,1
3774826,5504,19992,0.5319,0.8269,0.5,27.82,49,1
3798668,59,416,0.3469,0.4898,1.0,21.41,50,1
3813771,379,382,0.5417,0.5417,1.0,26.07,51,1
3823662,15,350,0.4667,0.6087,4.4,23.47,52,1
3824899,152,1550,0.3022,0.5313,1.0,18.74,53,1
3826395,22,1540,0.1489,0.3762,4.6102,6.86,54,1
3827808,131,609,0.4118,0.6136,0.8667,21.05,55,1
3829065,57,149,0.3774,0.6731,0.5,22.32,56,1
3829219,102,234,0.5521,0.5757,1.0,27.22,57,1
3832454,782,4014,0.3196,0.4255,1.0,18.49,58,1
3834480,261,1027,0.42,0.6522,0.8,22.73,59,1
3864026,174,692,0.3301,0.6598,0.5584,18.92,60,1
3896435,72,967,0.536,0.9579,1.0,27.18,61,1
3899655,32,155,0.5249,0.5568,1.0,25.94,62,1
3908923,696,1370,0.4717,0.6042,1.0,25.15,63,1
3908989,10,169,0.505,0.8755,1.0,24.5,64,1
3911196,109,2742,0.5882,0.8824,2.3143,29.1,65,1
3914124,86,131,0.549,0.5743,1.0,26.4,66,1
3926359,181,625,0.4706,0.5,1.0,25.29,67,1
3935714,936,2926,0.4286,0.66,0.7958,22.25,68,1
3949283,118,197,0.5,0.5685,1.0,26.61,69,1
3986890,21,196,0.5283,0.7347,1.0,29.14,70,1
3990578,183,393,0.4706,0.6981,1.0,24.03,71,1
3990900,123,520,0.587,0.7255,1.0,28.15,72,1
3995104,82,197,0.4186,0.6177,1.0,23.1,73,1
4006899,223,4253,0.5294,0.8,1.7778,24.81,74,1
4020175,43,656,0.1176,0.1923,1.0,8.28,75,1
4020367,81,131,0.2745,0.2941,1.0,15.52,76,1
4032317,16,131,0.4463,0.6113,0.9615,25.25,77,1
4058969,260,513,0.4808,0.6535,1.0,24.8,78,1
4072530,575,1225,0.48,0.6,1.0,25.0,79,1
4074477,721,3246,0.5,0.62,1.0,24.91,80,1
4101170,45,248,0.6667,0.8696,1.0,31.42,81,1
4101234,319,474,0.566,0.6471,1.0,28.97,82,1
4106324,532,1493,0.1442,0.2222,1.0,11.31,83,1
4180904,128,276,0.6288,0.6531,1.0,29.8,84,1
4215750,136,598,0.5625,0.6629,1.0,26.25,85,1
4215834,75,332,0.46,0.5625,1.1579,25.25,86,1
4216771,35,1131,0.3148,0.5472,3.0,20.71,87,1
4218122,2392,4493,0.5273,0.6327,1.0,26.82,88,1
4250451,1769,3996,0.5098,0.6444,1.0,26.37,89,1
4251460,171,320,0.4545,0.6538,1.0,25.01,90,1
4253248,31,326,0.5686,0.6875,1.7143,27.39,91,1
4331537,398,4859,0.3901,0.7234,1.0,20.59,92,1
4341682,34,162,0.6633,0.75,1.0,32.29,93,1
4342186,255,312,0.3333,0.4082,1.0,19.79,94,1
4345126,2956,6950,0.4894,0.6735,1.0,25.19,95,1
4363947,571,1386,0.26,0.3878,1.0,17.99,96,1
4380884,46,212,0.7367,0.8284,1.0,34.09,97,1
4390272,2951,5312,0.4727,0.6,1.0,24.44,98,1
4443618,48,218,0.3982,0.8446,0.2733,22.02,99,1
4501996,336,716,0.55,0.6105,1.0,25.63,100,1
4502110,193,1188,0.5385,0.6383,2.0,28.59,101,1
4502230,966,1945,0.6122,0.7273,1.0,29.49,102,1
4502324,40,111,0.6116,0.6607,1.0,28.5,103,1
4517510,1899,2084,0.5283,0.551,1.0,26.1,104,1
4559920,21,317,0.549,0.6364,1.125,26.14,105,1
4591646,49,112,0.4082,0.52,1.0,25.18,106,1
4600418,2047,19691,0.25,0.3673,1.4,14.26,107,1
4616813,39,561,0.34,0.5098,1.6667,20.38,108,1
4669171,51,605,0.3617,0.68,1.0,21.29,109,1
4697334,29,258,0.42,0.5962,1.0,22.83,110,1
4697803,19,125,0.2245,0.3333,1.0,13.26,111,1
4708799,734,2559,0.5,0.6766,1.0,25.9,112,1
4713785,706,1406,0.5859,0.6311,1.0,29.98,113,1
4714398,25,350,0.3922,0.6531,1.1538,24.12,114,1
4725699,506,8761,0.5102,1.0,1.0,25.99,115,1
4732661,26,447,0.4398,0.6633,1.9,21.58,116,1
4737157,89,304,0.3469,0.4074,1.0,19.2,117,1
4743506,30,222,0.5841,0.7011,1.0,29.37,118,1
4747423,63,117,0.6038,0.6304,1.0,28.9,119,1
4752382,1013,24982,0.3265,0.6154,2.0,17.87,120,1
4753707,26,235,0.4082,0.7387,0.9068,22.04,121,1
4757086,49,164,0.6222,0.6735,1.0,31.35,122,1
4759646,91,285,0.56,0.6304,1.0,28.07,123,1
4774102,108,3988,0.5217,0.6735,3.8661,25.87,124,1
4775580,8,181,0.4933,0.8225,1.0,23.5,125,1
4789427,32,278,0.4749,0.6077,1.0,23.59,126,1
4807204,598,753,0.4489,0.5,1.0,24.07,127,1
4815518,165,812,0.6596,0.78,1.0,30.98,128,1
4826061,2230,9334,0.5294,0.6531,1.0,26.54,129,1
4837129,455,1024,0.4894,0.5306,1.0,24.58,130,1
4859774,54,222,0.6851,0.7653,1.0,32.61,131,1
4859933,95,1110,0.6346,0.9149,1.0,31.32,132,1
4898835,271,885,0.3922,0.4348,1.0,19.61,133,1
4902247,76,1021,0.2246,0.5102,1.0,14.37,134,1
4921233,240,687,0.3148,0.4174,1.0,19.73,135,1
4956894,103,281,0.3913,0.4681,1.0,20.04,136,1
4976100,43,176,0.2807,0.3818,1.0,18.05,137,1
4981325,133,134,0.4615,0.4615,1.0,23.62,138,1
4986748,11,262,0.4792,0.549,2.3,25.18,139,1
4992187,280,559,0.5294,0.6567,1.0,27.09,140,1
4993034,117,3148,0.6275,0.75,5.4,29.33,141,1
5030780,261,4007,0.6889,1.0,1.5,33.54,142,1
5033780,19,113,0.56,0.7609,0.7222,27.95,143,1
5040776,32,249,0.3846,0.5866,1.0,22.66,144,1
5053333,404,882,0.5204,0.7129,1.0,26.59,145,1
5055759,52,437,0.3787,0.5798,1.0,22.13,146,1
5057430,120,3924,0.0208,1.0,1.0,9.62,147,1
5062485,11,197,0.1087,0.6304,1.0,12.0,148,1
5076920,162,500,0.57,0.6969,1.0,27.83,149,1
5087052,156,313,0.6899,0.7698,1.0,33.28,150,1
5093110,148,1281,0.4343,0.5213,2.0,22.7,151,1
5101455,468,1591,0.5204,0.64,1.0,26.59,152,1
5102585,124,485,0.55,0.6078,1.3333,25.38,153,1
5109161,110,207,0.4369,0.5296,1.0,24.64,154,1
5113519,183,1420,0.0893,0.1667,1.75,6.03,155,1
5116018,430,2931,0.3131,0.6526,1.0,18.38,156,1
5116572,90,1807,0.606,0.8367,2.0,28.58,157,1
5140222,46,408,0.5237,0.5844,3.0,27.37,158,1
5147036,906,2066,0.4854,0.6296,1.0,24.81,159,1
5167143,103,1118,0.5625,0.6939,1.3846,27.85,160,1
5182499,212,9079,0.3715,0.76,2.7321,20.62,161,1
5227642,286,428,0.6042,0.6391,1.0,29.47,162,1
5276469,770,4619,0.5306,0.6373,2.0,26.32,163,1
5276632,30,589,0.6515,0.8103,1.875,29.07,164,1
5289687,479,3545,0.6792,0.8333,1.0,32.22,165,1
5308446,36,176,0.5208,0.6771,1.0,27.64,166,1
5328225,19,104,0.5957,0.6383,1.0,29.0,167,1
5328575,1510,4686,0.5532,0.6939,1.0,27.32,168,1
5344682,85,182,0.4694,0.4808,1.0,25.61,169,1
5351099,50,504,0.4596,0.6225,1.0,20.92,170,1
5353535,17,258,0.193,0.32,2.0,9.12,171,1
5364172,7,396,0.6346,0.7451,6.0,30.29,172,1
5383143,2581,6151,0.4694,0.6731,1.0,24.62,173,1
5388004,33,302,0.5833,0.7045,1.0,24.88,174,1
5390194,79,287,0.5319,0.6458,1.0,25.18,175,1
5394766,350,1071,0.4681,0.6288,1.0,24.2,176,1
5396958,60,110,0.4183,0.5051,1.0,22.32,177,1
5408466,14,246,0.2737,0.6156,1.0,16.5,178,1
5411296,21,156,0.58,0.62,2.0,27.48,179,1
5424770,20,237,0.2022,0.5,0.8931,13.85,180,1
5437679,74,298,0.7113,0.8,1.0,34.14,181,1
5458116,132,1584,0.4124,0.5,2.0,21.9,182,1
5458309,184,2194,0.4537,0.5979,2.6905,22.91,183,1
5465491,308,2424,0.4074,0.7021,0.9,22.18,184,1
5472645,152,246,0.5959,0.6391,1.0,28.96,185,1
5484612,752,2043,0.3958,0.7447,0.4444,21.72,186,1
5487658,239,9950,0.3265,0.7143,2.0909,17.41,187,1
5492827,74,1316,0.3608,0.6424,2.0,20.05,188,1
5499178,336,6194,0.4286,0.7473,1.75,22.9,189,1
5501762,14,671,0.1809,0.486,3.1466,10.5,190,1
5512859,1620,6462,0.4706,0.6667,1.0,24.84,191,1
5515550,16,596,0.4545,0.6105,3.8661,25.19,192,1
5533709,105,158,0.5556,0.6538,1.0,28.94,193,1
5536978,44,120,0.306,0.4286,1.0,19.23,194,1
5547833,191,544,0.1429,0.2449,1.0,11.62,195,1
5557426,69,137,0.5217,0.7273,1.0,28.45,196,1
5563924,62,112,0.6491,0.677,1.0,30.6,197,1
5580084,656,2128,0.2609,0.4563,1.0,17.36,198,1
5598324,178,1301,0.375,0.7031,0.8,20.78,199,1
5606781,475,1217,0.5,0.5957,1.0,24.29,200,1
5606953,142,657,0.5455,0.6563,1.1667,25.61,201,1
5620908,519,1488,0.4043,0.62,0.6,21.43,202,1
5636252,802,20550,0.4886,0.9375,1.9314,23.56,203,1
5648004,4553,9625,0.46,0.6538,1.0,23.96,204,1
5680217,187,854,0.617,0.75,1.0,29.82,205,1
5692616,547,1751,0.6522,0.7347,1.0,30.68,206,1
5698676,12,410,0.8652,1.0,4.0,41.25,207,1
5715992,292,1950,0.4234,0.5051,2.0,22.86,208,1
5724141,102,149,0.3675,0.3764,1.0,18.29,209,1
5730387,799,1671,0.463,0.6038,1.0,24.63,210,1
5731926,160,1302,0.4412,0.7347,1.0,22.78,211,1
5732159,251,3403,0.3469,0.72,1.0,20.04,212,1
5732163,809,7393,0.6154,0.9091,1.0,30.28,213,1
5733505,9,103,0.4902,0.4902,4.0,24.22,214,1
5734344,45,252,0.5098,0.6792,1.0,26.0,215,1
5743326,303,1077,0.58,0.76,2.0,30.52,216,1
5748084,296,2327,0.2627,0.6105,0.9077,17.09,217,1
5750804,149,371,0.5208,0.5714,1.0,25.19,218,1
5753030,2225,5026,0.3878,0.4898,1.0,21.06,219,1
5762770,5,123,0.3846,0.58,2.1875,22.2,220,1
5765330,23,167,0.4528,0.5833,1.0,23.13,221,1
5782598,24,104,0.3684,0.5042,0.6667,19.21,222,1
5785362,703,3308,0.2321,0.3922,1.0,13.81,223,1
5787328,61,324,0.6667,0.7059,2.0,31.92,224,1
5788231,397,12224,0.6471,0.96,3.0,30.69,225,1
5788502,333,1505,0.2041,0.5918,1.0,18.34,226,1
5789535,1099,4041,0.2444,0.5306,0.8,16.82,227,1
5793560,81,244,0.3958,0.4667,1.0,22.48,228,1
5797970,792,1977,0.5294,0.6311,1.0,26.67,229,1
5798334,81,3541,0.4906,0.9302,2.8462,25.32,230,1
5799454,136,256,0.5896,0.6153,1.0,28.68,231,1
5799615,72,266,0.4218,0.5251,1.0,22.65,232,1
5802057,94,423,0.5544,0.6252,1.0,27.38,233,1
5802067,149,1135,0.62,0.7692,1.0,28.95,234,1
5809163,144,568,0.4129,0.5155,1.0,22.85,235,1
5810738,20,113,0.5,0.5153,1.0,23.3,236,1
5820225,572,4309,0.451,0.54,1.2,24.71,237,1
5823154,2061,2780,0.4423,0.5106,1.0,23.65,238,1
5824952,1159,3601,0.4423,0.6667,1.0,23.25,239,1
5825945,468,1620,0.3204,0.4,1.0,18.17,240,1
5826794,294,427,0.4271,0.5104,1.0,22.24,241,1
5827552,315,1064,0.4255,0.7347,0.75,22.4,242,1
5829383,669,15137,0.7255,0.8727,3.375,35.88,243,1
5832590,125,8086,0.4902,0.8261,4.0,23.49,244,1
5837371,750,6960,0.4787,0.68,2.0,24.91,245,1
5843966,8,171,0.6176,0.9191,1.3765,31.75,246,1
5845346,161,237,0.38,0.4043,1.0,21.52,247,1
5847566,118,1149,0.6345,0.7449,2.0,30.81,248,1
5849761,102,2091,0.4693,0.8156,1.7574,24.88,249,1
5852326,53,1040,0.5472,0.86,1.6429,25.51,250,1
5853299,16,139,0.3004,0.3795,1.5,19.88,251,1
5854340,3,152,0.52,0.6981,1.8,22.67,252,1
5859012,77,887,0.6154,0.9,1.1818,30.9,253,1
5860586,1117,4729,0.4792,0.6078,1.0,24.49,254,1
5861445,580,1508,0.7547,0.8431,1.0,36.94,255,1
5869752,156,324,0.1313,0.2022,1.0,12.18,256,1
5880266,11,175,0.3077,0.7544,1.0,20.82,257,1
5881605,62,2075,0.3542,0.8084,1.7181,19.32,258,1
5883259,5300,12908,0.34,0.4565,1.0,19.37,259,1
5884139,114,216,0.5004,0.5834,1.0,26.48,260,1
5884781,53,122,0.2917,0.3333,1.0,17.19,261,1
5884937,46,603,0.0638,0.3725,1.0,4.54,262,1
5892712,134,370,0.4862,0.5745,1.0,25.42,263,1
5894590,603,1333,0.5306,0.5882,1.0,26.12,264,1
5900090,146,352,0.4021,0.4662,1.0,21.95,265,1
5905786,187,1985,0.5319,0.902,0.9524,26.91,266,1
5914921,131,549,0.3617,0.4375,1.0,20.45,267,1
5916510,64,332,0.2997,0.4898,1.0,20.97,268,1
5916585,93,174,0.4808,0.58,1.0,26.61,269,1
5929741,41,151,0.7308,0.875,1.0,35.59,270,1
5933725,15,170,0.3137,0.4167,3.0,17.6,271,1
5939332,90,130,0.5377,0.5377,1.0,27.24,272,1
5942359,43,382,0.4889,0.6154,1.4,24.37,273,1
5942483,304,1288,0.3862,0.6563,0.8889,21.51,274,1
5945294,180,382,0.4043,0.4211,1.0,22.3,275,1
5946154,285,353,0.5769,0.6,1.0,27.22,276,1
5950125,2870,8016,0.4808,0.7048,1.0,25.24,277,1
5950467,2782,6231,0.4681,0.6087,1.0,24.41,278,1
5953004,9,112,0.587,0.7778,1.0,28.78,279,1
5966507,26,563,0.5904,0.7217,2.1333,29.23,280,1
5967629,9030,16625,0.5417,0.74,1.0,28.12,281,1
5973753,799,945,0.4783,0.5,1.0,24.74,282,1
5989509,568,1616,0.5294,0.6565,1.0,26.99,283,1
5994845,24,185,0.6926,0.7478,1.0,31.58,284,1
6000209,36,177,0.3566,0.4747,1.0,19.72,285,1
6007127,70,197,0.643,0.7473,1.0,30.04,286,1
6013005,226,4864,0.6496,0.8823,2.1484,30.77,287,1
6019845,29,195,0.6667,0.8039,1.0,32.86,288,1
6034848,93,593,0.4348,0.58,1.0,23.74,289,1
6035811,57,400,0.5102,0.6078,1.0,27.74,290,1
6037804,25,147,0.58,0.7736,1.0,27.16,291,1
6041591,58,142,0.408,0.4422,1.0,24.5,292,1
6044328,1283,3360,0.4468,0.7059,1.0,24.25,293,1
6047343,312,2891,0.4953,0.643,1.0,25.58,294,1
6051638,57,264,0.56,0.6667,1.0,27.33,295,1
6054792,48,215,0.5911,0.6764,1.0,28.85,296,1
6064082,8,107,0.4167,0.8013,0.873,21.25,297,1
6069248,200,387,0.5835,0.6304,1.0,27.78,298,1
