member_id,treat_time,treat_field,n_treat_events,n_pre,n_post,d_pre,d_post,stake_pre,stake_post,d_stake,d_validbet,d_revenue,hold_pre_pct,hold_post_pct,d_hold_pct,roi_pre,roi_post,d_roi,d_bets_per_day,verdict_exposure,audit_rn,batch_id
51576515,2026-04-23 07:04:23,mem015,2,807,4034,13,54,7339821.39,36970571.97,29630750.58,26916986.88,-960092.16,0.867617,-2.696071,-3.563688,-0.007775,0.024426,0.032200,12.6268,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,1,1
148577779,2026-04-19 21:52:05,mem017,1,9438,0,8,0,4299155.75,0.00,-4299155.75,-3727512.97,-237445.70,6.370084,,,-0.055231,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,2,1
153493785,2026-08-02 23:09:43,mem016,1,6388,0,8,0,1407478.11,0.00,-1407478.11,-1164075.40,-94982.47,8.159478,,,-0.067484,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,3,1
153218563,2026-08-03 15:02:05,mem017,1,8117,0,8,0,1497519.71,0.00,-1497519.71,-1182818.16,-91579.31,7.742468,,,-0.061154,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,4,1
150163142,2026-05-25 13:28:34,mem017,1,7386,0,8,0,2193099.69,0.00,-2193099.69,-1929901.36,-88944.66,4.608767,,,-0.040557,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,5,1
150217249,2026-05-25 15:22:16,mem016,2,966,0,7,0,1307882.33,0.00,-1307882.33,-1191785.96,-87238.13,7.319949,,,-0.066702,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,6,1
149272100,2026-05-05 15:56:14,mem015,3,773,642,6,5,1130284.56,1553378.14,423093.58,379470.66,-83454.19,6.512945,-1.309933,-7.822878,-0.057810,0.011660,0.069470,-0.4333,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,7,1
150502197,2026-06-01 11:50:31,mem017,1,5585,0,7,0,1789202.16,0.00,-1789202.16,-1556769.38,-78321.40,5.031022,,,-0.043774,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,8,1
149241109,2026-05-04 03:40:58,mem015,5,4917,11756,2,2,1855245.80,12848521.30,10993275.50,9977910.06,-74312.85,-0.546358,-0.716279,-0.169922,0.004927,0.006495,0.001568,3419.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,9,1
149510750,2026-05-11 14:13:22,mem016,1,8121,0,8,0,2466620.11,0.00,-2466620.11,-2170199.02,-71591.31,3.298836,,,-0.029024,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,10,1
148251435,2026-04-12 23:54:06,mem017,1,10309,0,8,0,4101012.22,0.00,-4101012.22,-3360367.60,-70072.99,2.085278,,,-0.017087,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,11,1
147944953,2026-04-05 22:01:17,mem016,1,9631,0,8,0,3460690.55,0.00,-3460690.55,-2942264.76,-68294.60,2.321157,,,-0.019734,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,12,1
146790762,2026-06-16 18:27:11,mem015,1,10446,3876,50,12,3401221.92,972224.39,-2428997.52,-2205156.74,-64326.58,2.916998,2.916744,-0.000254,-0.026315,-0.025895,0.000420,114.0800,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,13,1
148710790,2026-04-28 16:53:27,mem015,3,5621,0,13,0,2133552.02,0.00,-2133552.02,-1910871.52,-63657.55,3.331336,,,-0.029836,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,14,1
152917996,2026-07-19 23:24:14,mem017,1,6376,0,8,0,1294092.52,0.00,-1294092.52,-966810.62,-60905.74,6.299656,,,-0.047064,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,15,1
153410167,2026-08-03 02:39:40,mem015,2,1031,226,6,3,610152.97,40920.06,-569232.91,-495314.24,-58384.63,10.214192,-11.245552,-21.459743,-0.088996,0.099789,0.188786,-96.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,16,1
151905958,2026-07-06 19:47:56,mem016,2,1179,0,11,0,571312.58,0.00,-571312.58,-510417.17,-56768.00,11.121883,,,-0.099364,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,17,1
