field_name,field_value,n_rows,n_pnl_zero,n_pnl_pos,n_pnl_neg,n_payout_zero,n_bet09,verdict_align,audit_rn,batch_id
bet23,96.0000,104722054,7112489,61397212,36212353,61397212,16,◐ 三态混杂 —— 该取值非结算态之判别,1,1
bet23,97.0000,12915082,997856,6967076,4950150,6967076,23,◐ 三态混杂 —— 该取值非结算态之判别,2,1
bet23,94.0000,5320102,352476,3165382,1802244,3165382,16,◐ 三态混杂 —— 该取值非结算态之判别,3,1
bet23,95.0000,2512629,168503,1482529,861597,1482529,16,◐ 三态混杂 —— 该取值非结算态之判别,4,1
bet23,96.5000,167529,11036,99104,57389,99104,15,◐ 三态混杂 —— 该取值非结算态之判别,5,1
bet23,100.0000,11751,431,8542,2778,8542,8,◐ 三态混杂 —— 该取值非结算态之判别,6,1
bet24,96.0000,101282403,6851398,59520380,34910625,59520380,16,◐ 三态混杂 —— 该取值非结算态之判别,7,1
bet24,97.0000,12915082,997856,6967076,4950150,6967076,23,◐ 三态混杂 —— 该取值非结算态之判别,8,1
bet24,95.0000,5947062,429249,3356158,2161655,3356158,16,◐ 三态混杂 —— 该取值非结算态之判别,9,1
bet24,94.0000,4721757,320236,2772814,1628707,2772814,16,◐ 三态混杂 —— 该取值非结算态之判别,10,1
bet24,92.0000,314699,16201,208943,89555,208943,16,◐ 三态混杂 —— 该取值非结算态之判别,11,1
bet24,90.0000,267940,14635,176126,77179,176126,14,◐ 三态混杂 —— 该取值非结算态之判别,12,1
bet24,96.5000,167529,11036,99104,57389,99104,15,◐ 三态混杂 —— 该取值非结算态之判别,13,1
bet24,100.0000,13993,614,9719,3660,9719,8,◐ 三态混杂 —— 该取值非结算态之判别,14,1
bet24,93.0000,13395,1213,6293,5889,6293,10,◐ 三态混杂 —— 该取值非结算态之判别,15,1
bet24,95.5000,5212,345,3198,1669,3198,9,◐ 三态混杂 —— 该取值非结算态之判别,16,1
bet24,0.0000,75,8,34,33,34,6,◐ 三态混杂 —— 该取值非结算态之判别,17,1
bet40,0,70750159,4815712,41421511,24512936,41421511,23,◐ 三态混杂 —— 该取值非结算态之判别,18,1
bet40,3,18380094,1272669,10696784,6410641,10696784,16,◐ 三态混杂 —— 该取值非结算态之判别,19,1
bet40,4,10205728,723634,5851876,3630218,5851876,16,◐ 三态混杂 —— 该取值非结算态之判别,20,1
bet40,1,8399608,584168,4817671,2997769,4817671,16,◐ 三态混杂 —— 该取值非结算态之判别,21,1
bet40,2,7325046,511948,4228804,2584294,4228804,16,◐ 三态混杂 —— 该取值非结算态之判别,22,1
bet40,10,3638116,253867,2093864,1290385,2093864,16,◐ 三态混杂 —— 该取值非结算态之判别,23,1
bet40,11,3521228,244297,2032586,1244345,2032586,16,◐ 三态混杂 —— 该取值非结算态之判别,24,1
bet40,7,1094950,74894,630449,389607,630449,16,◐ 三态混杂 —— 该取值非结算态之判别,25,1
bet40,6,994385,70735,569193,354457,569193,16,◐ 三态混杂 —— 该取值非结算态之判别,26,1
bet40,5,659835,45698,383188,230949,383188,16,◐ 三态混杂 —— 该取值非结算态之判别,27,1
bet40,8,501154,33636,289463,178055,289463,16,◐ 三态混杂 —— 该取值非结算态之判别,28,1
bet40,9,178844,11533,104456,62855,104456,16,◐ 三态混杂 —— 该取值非结算态之判别,29,1
