dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-04-27,912,1222402,110,11,32,78,44,117,超长：碰撞或跨日合并可疑,87.0,1,1
2026-03-24,900,123647,5,2,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0,2,1
2026-03-26,37,114589795,5,1,5,0,29,65,残靴：截断／换荷官／开收台可疑,87.0,3,1
2026-03-28,32,114592014,5,1,5,0,18,29,残靴：截断／换荷官／开收台可疑,87.0,4,1
2026-04-02,908,126081,5,3,3,2,4,4,残靴：截断／换荷官／开收台可疑,87.0,5,1
2026-04-05,112,114600396,5,1,5,0,38,104,残靴：截断／换荷官／开收台可疑,87.0,6,1
2026-04-07,8,114603055,5,1,5,0,6,16,残靴：截断／换荷官／开收台可疑,87.0,7,1
2026-04-07,913,129085,5,2,4,1,21,35,残靴：截断／换荷官／开收台可疑,87.0,8,1
2026-04-09,112,114605277,5,1,5,0,38,77,残靴：截断／换荷官／开收台可疑,87.0,9,1
2026-04-10,35,114606352,5,1,5,0,15,20,残靴：截断／换荷官／开收台可疑,87.0,10,1
2026-04-12,908,1212618,5,1,5,0,10,17,残靴：截断／换荷官／开收台可疑,87.0,11,1
2026-04-14,32,114610010,5,1,5,0,9,13,残靴：截断／换荷官／开收台可疑,87.0,12,1
2026-04-15,112,114611397,5,1,5,0,30,62,残靴：截断／换荷官／开收台可疑,87.0,13,1
2026-04-16,31,114612617,5,1,5,0,14,34,残靴：截断／换荷官／开收台可疑,87.0,14,1
2026-04-16,37,114612616,5,1,5,0,27,83,残靴：截断／换荷官／开收台可疑,87.0,15,1
2026-04-17,913,1216184,5,1,5,0,11,15,残靴：截断／换荷官／开收台可疑,87.0,16,1
2026-04-18,913,1216684,5,1,5,0,6,12,残靴：截断／换荷官／开收台可疑,87.0,17,1
2026-04-21,36,114617912,5,1,5,0,11,23,残靴：截断／换荷官／开收台可疑,87.0,18,1
2026-04-21,909,1218848,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,19,1
2026-04-22,113,114619025,5,1,5,0,32,71,残靴：截断／换荷官／开收台可疑,87.0,20,1
2026-04-22,910,1219564,5,1,5,0,7,13,残靴：截断／换荷官／开收台可疑,87.0,21,1
2026-04-23,905,1220254,5,2,4,1,4,7,残靴：截断／换荷官／开收台可疑,87.0,22,1
2026-04-23,910,1220255,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,23,1
2026-04-25,908,1221648,5,1,5,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,24,1
2026-04-26,3,114623281,5,1,5,0,8,12,残靴：截断／换荷官／开收台可疑,87.0,25,1
2026-04-27,903,1222933,5,2,4,1,8,21,残靴：截断／换荷官／开收台可疑,87.0,26,1
2026-04-28,37,114625478,5,1,5,0,27,79,残靴：截断／换荷官／开收台可疑,87.0,27,1
2026-05-03,910,1227238,5,1,5,0,16,23,残靴：截断／换荷官／开收台可疑,87.0,28,1
2026-05-07,37,114635658,5,1,5,0,16,49,残靴：截断／换荷官／开收台可疑,87.0,29,1
2026-05-11,35,114639796,5,1,5,0,16,30,残靴：截断／换荷官／开收台可疑,87.0,30,1
2026-05-12,113,114640821,5,1,5,0,44,78,残靴：截断／换荷官／开收台可疑,87.0,31,1
2026-05-12,35,114640818,5,1,5,0,16,32,残靴：截断／换荷官／开收台可疑,87.0,32,1
2026-05-12,913,1234850,5,1,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0,33,1
2026-05-19,116,114648125,5,1,5,0,30,68,残靴：截断／换荷官／开收台可疑,87.0,34,1
2026-05-19,906,1240655,5,1,5,0,15,31,残靴：截断／换荷官／开收台可疑,87.0,35,1
2026-05-21,35,114650271,5,1,5,0,6,11,残靴：截断／换荷官／开收台可疑,87.0,36,1
