bet_ip,n_member,n_lv3_chain,member_per_chain,n_orders,stake,game_pnl,net_pnl
138.84.109.251,2132,1,2132.0000000,4520,20035.3435684835,-695.3596236056,-695.3596236056
14.166.116.151,892,1,892.0000000,1919,98631.7324578246,191.1853248604,191.1853248604
120.29.76.12,337,1,337.0000000,710,41593.8715093704,-1054.9774655370,-1054.9774655370
123.25.95.146,287,1,287.0000000,806,577198.6493207413,-3121.9668612418,-3121.9668612418
42.112.175.81,272,1,272.0000000,605,53307.3011260332,-2165.7412692576,-2165.7412692576
14.249.176.117,233,1,233.0000000,3322,69295.8668167493,-923.1866607322,-923.1866607322
58.186.68.234,197,1,197.0000000,1872,80167.5573800010,-3489.1823509642,-3489.1823509642
138.84.104.108,181,1,181.0000000,340,1654.5695777735,214.2411167220,214.2411167220
136.158.62.82,156,1,156.0000000,676,3723.5866708691,-44.7163862248,-44.7163862248
138.84.109.184,154,1,154.0000000,276,826.9402221133,-87.1462692475,-87.1462692475
136.158.62.16,138,1,138.0000000,445,2870.6513331811,-8.5023467953,-8.5023467953
14.235.168.2,136,1,136.0000000,653,12477.2888853814,-2.5541775303,-2.5541775303
49.48.81.164,135,1,135.0000000,5496,344925.1129083082,-13018.0968385536,-10185.1074466631
103.218.237.76,130,1,130.0000000,197,7705.3507929411,158.7435531060,158.7435531060
14.182.226.212,123,1,123.0000000,1109,22272.5963929590,-190.2730152088,-190.2730152088
58.8.110.8,112,1,112.0000000,557,6287.9654899458,-15.9565102569,-15.9565102569
112.47.145.165,112,1,112.0000000,297,1763.0000000000,-222.6500000000,-222.6500000000
14.243.122.74,107,1,107.0000000,229,1704.5781744905,-24.8017171435,-24.8017171435
14.239.237.165,104,1,104.0000000,384,5973.7175018700,-61.9755763823,-61.9755763823
14.191.155.124,103,1,103.0000000,136,2168.1543334286,123.6813862787,123.6813862787
116.99.168.167,102,1,102.0000000,231,1960.7181775744,-42.5509833437,-42.5509833437
42.117.214.100,100,1,100.0000000,210,12557.4099313378,-963.2653586028,-963.2653586028
115.76.55.25,195,2,97.5000000,571,19497.5860377524,-1377.5204605923,-1377.5204605923
124.122.5.44,96,1,96.0000000,481,5201.4369671415,-55.6483058842,-55.6483058842
116.99.254.141,92,1,92.0000000,349,13593.0295872485,-212.9252575018,-212.9252575018
43.217.173.169,87,1,87.0000000,186,3340.8303207885,-171.7390384103,-171.7390384103
14.165.175.200,244,3,81.3333333,339,13316.2098990647,-97.3210387098,-97.3210387098
14.188.66.118,81,1,81.0000000,361,5409.0055802715,-54.5555069820,-54.5555069820
112.199.97.106,242,3,80.6666667,3120,28599.3625402779,-524.3841327758,-524.3841327758
120.29.76.71,159,2,79.5000000,274,19886.6243787369,174.5399353748,174.5399353748
223.205.121.228,78,1,78.0000000,1697,29986.3190555504,-2586.5193785473,-2586.5193785473
222.254.103.182,77,1,77.0000000,404,8215.0616443751,131.4032929352,131.4032929352
223.206.50.252,76,1,76.0000000,1657,72810.0689393527,-1301.1616385275,-705.9279404680
103.164.182.14,75,1,75.0000000,950,3922.7023801056,228.1629962277,228.1629962277
14.188.203.119,73,1,73.0000000,153,3367.0130618020,57.7441562186,57.7441562186
136.158.40.65,140,2,70.0000000,2052,32053.6434177293,-1335.0420372793,-1335.0420372793
