subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
103.199.33.0/24,248,6685,40,315690,23600294.7809565959,-485369.3057246388,21430014.7767239494
103.199.32.0/24,248,6655,43,326664,23206247.6273533451,-184493.5569827326,20957483.1030573149
49.48.233.0/24,256,5944,49,525168,20658293.2483199029,-591749.8520696203,18617484.5539376174
103.199.56.0/24,246,5697,38,243732,14028962.4299438499,-282244.2525729760,12696317.9046103229
103.199.57.0/24,232,5374,36,238362,14404783.3754232411,-256504.7118864429,12990060.3927847150
49.49.225.0/24,256,4144,43,259445,10371094.3784613127,-336981.1801161669,9385782.5314568856
42.113.203.0/24,253,3639,34,160159,8443561.8822435209,-215767.8668974375,7642329.3044217438
42.114.44.0/24,253,3553,34,133167,8339346.8190023716,-210588.1401269235,7569854.9130135923
42.113.248.0/24,253,3143,30,110682,5684630.1130314615,-94925.5976851049,5158298.5427762528
42.113.201.0/24,253,3039,36,97975,6941320.8981058400,-20247.9142127471,6280281.0737149917
103.199.69.0/24,246,2732,31,114266,6709574.1293370856,-267716.8757709511,6034230.8861084939
103.199.71.0/24,246,2698,36,94203,5863312.5967472888,-151866.7751367460,5307939.8493979867
103.199.70.0/24,246,2674,33,101976,6303353.6108721200,-38939.8097241271,5714343.4460557418
113.185.73.0/24,256,2661,38,96778,8797037.7524416935,128144.7200381572,7955386.7810105935
103.199.68.0/24,246,2654,36,106215,6773260.4364125305,-143211.1498830623,6139726.7630165765
113.185.72.0/24,256,2647,37,97819,8420413.1756863628,-144489.8224289449,7612678.2823040627
113.185.75.0/24,256,2621,33,87795,6694562.7739046791,-78495.9270245266,6006493.2837607062
113.185.74.0/24,256,2614,34,91492,8197497.0606839386,-143845.9213585851,7418644.3869319755
113.185.77.0/24,256,2613,33,93175,8192421.2271024906,-283206.7914522490,7432633.3669728300
113.185.78.0/24,256,2582,36,101171,7591660.3468720047,-99926.4664821204,6881395.3240050258
113.185.76.0/24,256,2562,37,95220,7950080.0278535617,-210959.5575174504,7222102.0242226850
113.185.79.0/24,256,2527,35,89774,6434521.7129668043,-91000.6548822394,5805817.1379807078
27.65.21.0/24,256,2413,27,65639,5517636.7840755879,-48477.2811251435,4965143.2903990847
171.253.136.0/24,255,2393,27,63266,5321040.7656377373,-71520.6857894414,4837696.0738240423
171.253.138.0/24,256,2382,31,59015,6160643.6140655905,-85664.6538492542,5520946.0657724025
27.65.23.0/24,255,2367,27,58415,4909995.9365740985,-22473.0254936931,4455640.0470120281
171.255.60.0/24,255,2310,26,59061,6126384.3638332038,-207267.6026893999,5491679.1191410584
171.253.139.0/24,255,2280,28,64929,5583888.5650492223,-217773.6150447750,5160460.3271272848
171.255.61.0/24,255,2278,32,58728,7685129.4028494565,-76666.7250276943,6902263.2786938730
27.65.20.0/24,255,2275,32,65246,5709900.2979047160,-85129.4459243984,5185173.8204178549
113.185.46.0/24,256,2271,32,82695,12480454.9103531904,4360.7976843132,9541137.4436836927
113.185.44.0/24,256,2261,34,87166,10321640.3320733698,-25752.7196370223,9338633.6940307664
27.65.22.0/24,256,2259,29,60767,5863027.8136085141,-104231.0103998636,5344027.4208966262
103.199.43.0/24,246,2253,36,79626,5957622.4530789209,-63380.8438649035,5419133.4078847753
171.253.137.0/24,256,2244,27,61315,5088294.6123970152,-164994.5923983917,4613627.5515650513
113.185.47.0/24,256,2236,33,93163,11694162.4442363933,-344360.2805864678,10549336.2910644326
103.199.37.0/24,246,2210,32,71925,4794640.7637034956,-91451.0584950774,4335616.3125982809
113.185.45.0/24,256,2209,33,93388,10746734.6565771639,-302194.5663458495,9679223.6733169849
103.199.36.0/24,246,2165,32,77002,4931827.4090987499,20569.1513787935,4457180.1727608325
138.84.109.0/24,4,2145,1,4917,22354.3254921287,-1027.9738236998,19849.2557860379
103.199.41.0/24,246,2144,33,62501,5085080.2109511047,-141450.4983026070,4666052.1596872436
113.185.42.0/24,256,2135,35,79870,9682101.1623638996,-396142.2050154510,8690501.6138769928
103.199.40.0/24,246,2108,30,72667,5278365.7215408653,-25987.2509179573,4757790.2212261763
103.199.42.0/24,246,2088,33,67327,4246031.9093837291,-120643.9603147361,3810713.3394554947
171.251.152.0/24,255,2083,30,73707,8593138.8764848478,-88400.0945853039,7568170.9244786946
113.185.87.0/24,256,2062,33,71034,5978478.0657346020,-175043.4373908052,5400852.4926539731
171.255.185.0/24,256,2057,34,53341,3864637.3832668944,-126517.1364743616,3507078.9127695182
113.185.83.0/24,256,2055,32,92085,6168896.6310382921,-23129.1170371374,5584304.9880090886
113.185.82.0/24,255,2051,33,73156,6584384.6202969591,8933.7584309862,5951424.8353205894
113.185.81.0/24,255,2049,34,73191,6271431.0864086623,-174187.5321961766,5604475.7928347398
171.255.186.0/24,256,2048,29,51481,5514901.5973153627,-132759.6135642024,4974253.0804413022
171.253.156.0/24,255,2041,29,52968,3585093.1138350045,-1555.3445677258,3217235.0561736730
113.185.80.0/24,256,2036,37,72894,6479721.8600797452,-133632.6563470722,5873482.0932434207
171.253.249.0/24,256,2036,32,50752,4349103.5538107995,-120578.4506895594,3868194.2948405845
113.185.84.0/24,256,2029,34,69928,5323440.9457353603,-239022.2087595929,4810009.0787051601
171.253.251.0/24,255,2022,27,52176,5609799.1943461910,-45382.9268290506,5085558.9238034233
171.255.184.0/24,255,2005,27,55204,6755272.7493240456,-208941.6076747983,6126625.6580779673
171.253.250.0/24,256,1988,27,49583,4452750.1199549791,24060.5599380772,3972121.4813886144
171.253.248.0/24,255,1987,27,51088,4179360.8000665482,21503.3818645004,3763859.5777903647
171.253.214.0/24,255,1987,28,52434,3749390.0094025075,-66559.9753492097,3412831.5964206512
113.185.86.0/24,256,1983,35,80376,6923929.5894714770,-7533.0057519984,6292598.8734610528
171.255.187.0/24,255,1965,30,50266,4292240.4001608849,37461.8783956305,3877328.0488903328
113.185.41.0/24,256,1950,32,66932,10347108.8064838265,-83726.5299653672,8922313.5296986129
171.224.113.0/24,256,1939,31,52079,4889756.9497513193,-5472.2160232241,4390357.3847675331
171.253.157.0/24,256,1938,26,58582,4344498.7446894208,-148266.8674279677,3904205.0816089324
171.242.196.0/24,255,1937,29,72362,7440767.5495244406,-84072.2428218330,6753276.2988516760
171.253.159.0/24,255,1937,34,46350,4265736.8834936613,42228.6342925642,3870138.3927170609
125.235.190.0/24,255,1935,26,47982,5755217.2368858182,-119024.7120857948,5154185.6567324752
171.253.158.0/24,256,1928,32,53433,5496578.1121019942,-201794.6152657172,4951728.7152907281
104.28.166.0/24,28,1928,30,46347,11401799.9900340860,-284316.1150214042,10321876.2704565971
125.235.173.0/24,256,1925,29,51005,4162781.4850666555,-73050.2030007379,3739164.4409798798
125.235.188.0/24,255,1923,27,49518,5150235.7960652916,-35959.6498660900,4657253.0548334072
171.224.114.0/24,256,1902,30,49745,4395924.0706822369,-128780.7004312649,4016377.3416880240
125.235.191.0/24,255,1883,29,54281,8792447.6634767151,-230287.8875568057,7883595.8406671707
171.242.197.0/24,256,1880,32,59560,5971662.9794793480,-261293.5278246623,5336585.6223549459
171.254.201.0/24,255,1877,32,53351,5719870.7240004678,-146477.8349859134,5144688.8661949710
171.242.199.0/24,255,1872,28,55580,7149873.6251500331,-186152.4332038098,6357847.9946807619
171.253.215.0/24,255,1871,33,55511,5290517.9236697259,-31189.2939717257,4808954.3434305157
125.235.172.0/24,255,1870,29,55923,7440206.0702341600,-136340.7418017335,6686088.8697591308
125.235.189.0/24,255,1868,26,52700,3786073.7267670462,-106674.1827561604,3361442.9405451859
171.224.112.0/24,255,1865,30,47752,3924685.7592430000,-38143.6503857554,3533436.3300742938
125.235.174.0/24,256,1856,26,47072,3422608.4842302607,-624.4352092928,3081072.8119222380
171.242.198.0/24,256,1856,28,55152,4708052.1125521967,-77499.4328879961,4250180.1446618551
125.235.175.0/24,255,1851,28,54270,6016139.6737724152,-307210.2976118176,5488823.4155664225
