bet_date,n_rounds,vb_tail,vb_norm,roi_tail,roi_norm,roi_diff
2026-03-22,23470,0E-10,70169847.1798375575,,-0.030029645428,
2026-03-23,40993,0E-10,74885771.5170395047,,-0.019953412781,
2026-03-24,43751,0E-10,84074578.7317308534,,-0.022650999040,
2026-03-25,44651,0E-10,82704087.8236449151,,-0.019736091806,
2026-03-26,43691,0E-10,87327067.0999120096,,-0.014520187830,
2026-03-27,43723,0E-10,86258911.6821753105,,-0.021720854081,
2026-03-28,43947,0E-10,96480481.8342991695,,-0.018418982268,
2026-03-29,40755,0E-10,72077658.4419316356,,-0.012626354729,
2026-03-30,42410,0E-10,89400650.7297325642,,-0.029300707765,
2026-03-31,44849,0E-10,93757111.3421810437,,-0.020966829177,
2026-04-01,44694,0E-10,93996910.0336785964,,-0.027184003976,
2026-04-02,43197,0E-10,88945339.4583273402,,-0.011221851384,
2026-04-03,43906,0E-10,93177862.4122059750,,-0.029358042809,
2026-04-04,44832,0E-10,85675640.9803233279,,-0.018749907079,
2026-04-05,41069,0E-10,69103689.1558145808,,-0.023451534319,
2026-04-06,42439,0E-10,83811942.4963290004,,-0.024049647449,
2026-04-07,45300,0E-10,90574042.5441066755,,-0.012715686851,
2026-04-08,45363,0E-10,106680347.7734168647,,-0.027707805084,
2026-04-09,45260,0E-10,97553590.1277316177,,-0.017591659268,
2026-04-10,45195,0E-10,107782774.9432179638,,-0.007752329629,
2026-04-11,45104,0E-10,93371555.9186393727,,-0.015267527863,
2026-04-12,41130,0E-10,75224728.3105989299,,-0.009980517010,
2026-04-13,39072,0E-10,75520607.5812254272,,-0.026505633067,
2026-04-14,45378,0E-10,95212835.3755191211,,-0.025144873100,
2026-04-15,45457,0E-10,94548981.1454068871,,-0.022255236826,
2026-04-16,45589,0E-10,86793876.0413737357,,-0.025799384929,
2026-04-17,45552,0E-10,78714018.7712970078,,-0.018333559581,
2026-04-18,45462,0E-10,90166483.8987788209,,-0.011262078544,
2026-04-19,40953,0E-10,68332134.0177409549,,-0.032943532036,
2026-04-20,38078,0E-10,64161190.6363244703,,0.000246681462,
2026-04-21,45112,0E-10,92126082.7027528579,,-0.009364248409,
2026-04-22,45297,0E-10,74298154.7827564894,,-0.024838952610,
2026-04-23,44678,0E-10,78474347.5187854247,,-0.019126877720,
2026-04-24,44645,0E-10,80002912.3897176986,,-0.017791073812,
2026-04-25,44665,0E-10,84697867.8418117341,,-0.019411523801,
2026-04-26,40348,0E-10,73663675.7940924204,,-0.013724475637,
2026-04-27,39985,0E-10,78471356.7537098157,,-0.018986710500,
2026-04-28,45107,0E-10,90658511.7264758016,,-0.018781979353,
2026-04-29,45144,0E-10,102598661.5177913838,,-0.015861935792,
2026-04-30,44448,0E-10,98619822.8640919098,,-0.014739101229,
2026-05-01,40604,0E-10,85721500.5145306963,,-0.015288399043,
2026-05-02,42619,0E-10,90536240.4744174544,,-0.026640782611,
2026-05-03,39083,0E-10,74632799.7598668183,,-0.014513543818,
2026-05-04,41913,0E-10,95277468.0672427669,,-0.027484242352,
2026-05-05,44889,0E-10,97173325.7547821138,,-0.010871783340,
2026-05-06,44690,0E-10,94855075.2703418314,,-0.022718104990,
2026-05-07,44359,0E-10,89525511.0118334584,,-0.017551287704,
2026-05-08,45105,0E-10,99098450.0769491589,,-0.010273894876,
2026-05-09,45044,0E-10,88525756.3166706220,,-0.014101918293,
2026-05-10,41050,0E-10,78775927.8915910867,,-0.023180328445,
2026-05-11,41980,0E-10,77326145.9876548603,,-0.017357523330,
2026-05-12,44725,0E-10,86696064.7868593567,,-0.026664397796,
2026-05-13,44787,0E-10,93067594.5851852098,,-0.015837888170,
2026-05-14,44585,0E-10,77479159.2484367910,,-0.022329441582,
2026-05-15,45048,0E-10,81923160.4605160929,,-0.027643706475,
2026-05-16,44822,0E-10,99224355.1017297492,,-0.016546863972,
2026-05-17,40782,0E-10,61462539.9885535983,,-0.022873300279,
2026-05-18,42049,0E-10,76738559.2381591177,,-0.022568768075,
2026-05-19,45199,0E-10,85398096.2717652726,,-0.014665055592,
2026-05-20,45348,0E-10,89116432.6930382000,,-0.012816594267,
2026-05-21,39035,0E-10,68422343.1694929252,,-0.024256644451,
2026-05-22,28861,0E-10,69822679.8012561300,,-0.015869512131,
2026-05-23,28328,0E-10,61516624.7462668052,,-0.018287950937,
2026-05-24,25797,0E-10,61178360.0299780500,,-0.019380250962,
2026-05-25,25927,0E-10,61749737.0832078088,,-0.009120324691,
2026-05-26,28495,0E-10,64458771.6366154898,,-0.016441480753,
2026-05-27,29385,0E-10,62378066.8780734694,,-0.006488319690,
2026-05-28,29212,0E-10,67116917.3758269266,,-0.020855384205,
2026-05-29,29109,0E-10,71565108.4245383216,,-0.017425535139,
2026-05-30,28819,0E-10,60830980.2130147256,,-0.022095355583,
2026-05-31,26664,0E-10,57763669.5695723724,,-0.013773203086,
2026-06-01,27763,0E-10,67997472.6463887864,,-0.028913303224,
2026-06-02,29037,0E-10,68318547.0167587140,,-0.023965242087,
2026-06-03,29539,0E-10,68704496.7067541985,,-0.016800144589,
2026-06-04,30021,0E-10,66657966.2064205728,,-0.017940949358,
2026-06-05,30461,0E-10,72411978.2009378983,,-0.025117863265,
2026-06-06,29319,0E-10,69500874.8734650646,,-0.013716551713,
2026-06-07,27317,0E-10,55276806.5739621172,,-0.033683634617,
2026-06-08,28396,0E-10,75724785.4965185398,,-0.017984350114,
2026-06-09,30508,0E-10,72720139.8886585437,,-0.004004289298,
2026-06-10,30228,0E-10,83558394.9677000265,,-0.019573634585,
2026-06-11,30119,0E-10,74791122.5645039829,,-0.021355114748,
2026-06-12,30373,0E-10,94648331.6504245481,,-0.021319047725,
2026-06-13,30238,0E-10,67487845.9809424146,,-0.021127563467,
2026-06-14,27627,0E-10,58136761.2868490192,,-0.023143787077,
2026-06-15,27037,0E-10,70087201.0815123863,,-0.016252029141,
2026-06-16,27343,0E-10,69434112.8075776813,,-0.021311089377,
2026-06-17,27003,0E-10,72607897.4533088826,,-0.038414369754,
2026-06-18,27050,0E-10,70349485.9959271200,,-0.020585209870,
2026-06-19,26878,0E-10,64925661.8645496996,,-0.015621852653,
2026-06-20,27686,0E-10,59333377.1452550512,,-0.013836368044,
2026-06-21,24613,0E-10,53686733.7242983998,,-0.018502229223,
2026-06-22,25583,0E-10,53958780.4428630804,,-0.032831237817,
2026-06-23,27456,0E-10,73217668.5986919100,,-0.029270017542,
2026-06-24,27538,0E-10,67981519.1614057774,,-0.026541913671,
2026-06-25,27121,0E-10,70960531.6267185381,,-0.027575117932,
2026-06-26,27336,0E-10,78222520.2525518477,,-0.020107984910,
2026-06-27,27333,0E-10,69794881.8690944575,,-0.025685244026,
2026-06-28,25057,0E-10,54822476.5826608912,,-0.018671096366,
2026-06-29,25605,0E-10,61538594.5007997335,,-0.016997181884,
2026-06-30,27077,0E-10,75802643.4570480290,,-0.013036165873,
2026-07-01,27179,0E-10,86616603.2716714306,,-0.011110436375,
2026-07-02,27420,0E-10,67747393.1972238275,,-0.022178458144,
2026-07-03,27433,0E-10,69316225.1101606505,,-0.016403528019,
2026-07-04,27710,0E-10,85163039.6942031008,,-0.021931966741,
2026-07-05,24769,0E-10,58294708.5267032758,,-0.016866826585,
2026-07-06,25583,0E-10,72117792.9415884987,,-0.019913246654,
2026-07-07,26979,0E-10,77774272.6692888215,,-0.027689575509,
2026-07-08,27330,0E-10,75550243.1269084875,,-0.019056820806,
2026-07-09,27142,0E-10,79532159.4506355849,,-0.006293204827,
2026-07-10,27266,0E-10,73719806.0740967320,,-0.015377131098,
2026-07-11,27137,0E-10,70407464.6768992598,,-0.010616426529,
2026-07-12,25129,0E-10,74542152.1847877849,,-0.025373848347,
2026-07-13,25790,0E-10,74633875.9317173444,,-0.011925738011,
2026-07-14,27511,0E-10,86675457.3797655440,,-0.006032450151,
2026-07-15,27582,0E-10,103197417.1657687325,,-0.038201855186,
2026-07-16,28068,0E-10,77360122.8519189572,,-0.025331875685,
2026-07-17,27330,0E-10,61324343.7260452934,,-0.020652149799,
2026-07-18,27307,0E-10,65804148.1290191864,,-0.027194850177,
2026-07-19,25151,0E-10,56375346.8009617048,,-0.013382911914,
2026-07-20,25302,0E-10,56138566.8697191657,,-0.031106397688,
2026-07-21,27655,0E-10,70799124.2111456368,,-0.016077918588,
2026-07-22,27072,0E-10,64753919.5708465348,,0.004402904748,
2026-07-23,27223,0E-10,65858896.9523089102,,-0.015586396031,
2026-07-24,27385,0E-10,61592088.4150579268,,-0.031626688533,
2026-07-25,27502,0E-10,67658993.5975133764,,-0.004332779414,
2026-07-26,25210,0E-10,50082834.7924738232,,-0.017748075640,
2026-07-27,25124,0E-10,58349184.1639272900,,-0.019609364700,
2026-07-28,27325,0E-10,76645046.0468545123,,-0.014206454447,
2026-07-29,26894,0E-10,59776938.3266087481,,-0.029588674682,
2026-07-30,26935,0E-10,63320565.6089981216,,-0.033772381255,
2026-07-31,27189,0E-10,62049221.2255558586,,-0.018095625935,
2026-08-01,26828,0E-10,57965114.0899609215,,-0.029995327776,
2026-08-02,25086,0E-10,51781904.9612251045,,-0.019082261842,
2026-08-03,25522,0E-10,56358378.2997569692,,-0.032526520850,
2026-08-04,23747,0E-10,51808769.7598162621,,-0.014696351290,
2026-08-05,25624,0E-10,57694826.7609860146,,-0.019770753454,
2026-08-06,13657,0E-10,34903067.8638599866,,-0.027924653334,
