member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,rn
100003702,2026-08-04,193.6660416614,-27.1620476204,-27.1620476204,0E-10,155.1383145404,8,5,1,shoe_pos>=0.80,0.2500000,0E-7,0.1477540997859103,1
100005152,2026-08-04,453.1305166464,227.3612098403,227.3612098403,0E-10,453.1305166464,17,10,4,shoe_pos>=0.80,0.2352941,0E-7,0.6217102173464367,2
100008415,2026-08-04,3467.4954408854,-25.6851514141,-25.6851514141,0E-10,3210.6439267457,39,3,2,shoe_pos>=0.80,0.1794872,0E-7,0.35595737528739607,3
100012183,2026-08-06,80.0000000000,-80.0000000000,-80.0000000000,0E-10,80.0000000000,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,4
100024545,2026-08-05,1462.7693730255,-661.3926489097,-661.3926489097,0E-10,1462.7693730255,3,3,2,shoe_pos>=0.80,0E-7,0E-7,1.0678150493256258,5
100064589,2026-08-04,588.1899673800,-269.9509413609,-269.9509413609,0E-10,588.1899673800,5,1,1,shoe_pos>=0.80,0E-7,0E-7,0.7609726317764569,6
100076918,2026-08-06,3963.7325662041,1373.4621015588,1373.4621015588,0E-10,3344.9772686416,29,10,1,shoe_pos>=0.80,0.2758621,0E-7,1.3181094838895335,7
100098116,2026-08-05,404.0730564086,-404.0730564086,-400.4363989009,3.6366575077,404.0730564086,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,8
100102008,2026-08-06,0.2568515141,-0.2568515141,-0.2568515141,0E-10,0.2568515141,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,9
100111659,2026-08-05,7.7055454242,2.5685151414,2.5685151414,0E-10,7.7055454242,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.4714045207910316,10
100113145,2026-08-06,452.0586648860,72.0468497160,72.0468497160,0E-10,428.9420286134,10,8,2,shoe_pos>=0.80,0.4000000,0E-7,0.6761124900288038,11
100140154,2026-08-05,580.5764007457,74.3512358373,74.3512358373,0E-10,468.2067747949,10,1,3,shoe_pos>=0.80,0.8000000,0.1000000,0.50822805583207,12
100176927,2026-08-04,167.2894983374,-167.2894983374,-167.2894983374,0E-10,167.2894983374,2,1,1,shoe_pos>=0.80,0E-7,0E-7,1.3054279037292709,13
100188349,2026-08-05,138.7990948761,-40.3466946823,-40.3466946823,0E-10,138.7990948761,11,5,1,shoe_pos>=0.80,0.0909091,0E-7,0.3187374105179668,14
100192885,2026-08-06,3499.6767415542,-1818.1772264423,-1818.1772264423,0E-10,3439.0657830930,33,1,4,shoe_pos>=0.80,0.3939394,0E-7,1.9799657661105312,15
100193558,2026-08-04,1746.5902961496,674.2352246166,674.2352246166,0E-10,1361.3130249401,11,3,1,shoe_pos>=0.80,0.2727273,0E-7,0.40807167427994845,16
100193558,2026-08-05,653.1734004574,92.1711658489,92.1711658489,0E-10,627.4882490434,19,7,2,shoe_pos>=0.80,0E-7,0E-7,0.9800168570092507,17
100193558,2026-08-06,256.0809595973,24.9145968715,24.9145968715,0E-10,230.3958081833,7,2,3,shoe_pos>=0.80,0.5714286,0E-7,1.0736631098253255,18
100195412,2026-08-04,58.3885566510,-48.2867302408,-47.9004363989,0.3862938420,48.2867302408,3,3,2,shoe_pos>=0.80,0.3333333,0E-7,0.44652769289344274,19
100202389,2026-08-04,43.4378535639,-43.4378535639,-43.4378535639,0E-10,43.4378535639,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,20
100202389,2026-08-06,121.2219169226,-60.6109584613,-60.6109584613,0E-10,60.6109584613,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,21
100240847,2026-08-04,484.6788071816,165.2967919247,165.2967919247,0E-10,424.3187013588,11,3,1,shoe_pos>=0.80,0.0909091,0E-7,0.24848886935800374,22
100240847,2026-08-05,1980.0683225026,180.7464105001,180.7464105001,0E-10,1444.7897670356,28,12,1,shoe_pos>=0.80,0.2142857,0E-7,0.3743648055386715,23
