window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,103.247.21.211,136,84,41,40,40,4924,4923,188104.3188954455,-2603.2541796753,-2603.2541796753,1.0,1.0,1
W1,103.175.241.32,65,63,32,32,32,2985,2985,112901.8076339049,-1047.9780606589,-1047.9780606589,1.0,1.0,2
W1,104.28.166.51,373,62,19,33,33,7902,5930,2539958.6368754014,-40767.2975309883,-40768.1251171952,0.1410256028175354,1.0,3
W1,104.28.166.48,335,61,20,26,26,7166,5578,1043225.0726202897,-54367.6747002336,-54368.6126312680,0.13953490555286407,1.0,4
W1,104.28.166.50,372,57,20,30,30,6086,4613,2180313.3465146509,-101480.7518284760,-101501.7719126737,0.13336054980754852,1.0,5
W1,58.136.234.233,99,51,9,10,10,6303,1286,20437.6257664925,-2267.9131172252,-2267.9131172252,1.0,1.0,6
W1,49.48.81.164,135,50,23,22,21,5496,4574,344925.1129083082,-10185.1074466631,-13018.0968385536,0.9090908765792847,1.0,7
W1,104.28.157.198,293,45,13,18,18,6343,5135,678238.6340585917,-35770.0381364667,-35794.7309877783,0.12037040293216705,1.0,8
W1,104.28.166.49,295,45,12,20,20,5885,5027,1931223.8124488726,-58800.2621387606,-58805.4462552277,0.10720270127058029,1.0,9
W1,104.28.166.47,324,44,13,21,21,6131,4554,1153122.6445218097,30677.2957109200,30676.3092575770,0.08913374692201614,1.0,10
W1,104.28.157.199,252,38,11,13,13,4810,3804,2141421.6107350907,68716.3389265475,68713.2097771844,0.07466214895248413,1.0,11
W1,104.28.157.197,242,34,14,20,20,3802,2906,601872.9190296968,-42705.1098667441,-42725.3581426070,0.06594204902648926,1.0,12
W1,104.28.158.53,185,32,12,15,15,4210,3193,269623.2346197025,29065.1608108659,29064.4987419003,0.06976740062236786,1.0,13
W1,104.28.160.186,173,32,4,14,14,4040,2702,508086.5926464938,-59471.7909819214,-59476.9729506082,0.07142859697341919,1.0,14
