"bet_ip","member_id","lv3","n_orders_ip","n_rounds_ip","stake_ip","game_pnl_ip","rebate_ip","net_pnl_ip","n_orders_all","n_rounds_all","net_pnl_all","game_pnl_all","ip_order_share","member_per_chain","n_member_eff","稀疏段命中"
"101.43.218.100",77157216,45467,284,216,8592,-103.85,0,-103.85,284,216,-103.85,-103.85,1,66,12,NA
"103.151.76.81",150968301,44848,224,224,8314.8121222192,1161.6434372593,69.6923748042,1231.335812059,224,224,1231.335812059,1161.6434372593,1,27,9,NA
"103.151.76.81",151064427,44848,200,200,7350.1859044942,-166.0677564758,59.7843923357,-106.2833641439,200,200,-106.2833641439,-166.0677564758,1,27,9,NA
"103.27.239.201",149805691,7591,325,187,32914.0411620095,573.4372156005,0,573.4372156005,358,218,-180.3735462688,-180.3735462688,0.9078212,32,8,NA
"112.199.97.106",139358569,31700,513,513,4442.9683880476,235.9862441291,0,235.9862441291,540,540,228.613612867,228.613612867,0.95,80.6666667,20,NA
"113.181.125.138",149029355,53720,255,231,4493.6261550173,150.8651153039,0,150.8651153039,264,240,243.6588749562,243.6588749562,0.9659091,52.6666667,NA,NA
"119.111.226.33",152696456,33793,185,185,2054.6129374273,127.5848356358,0,127.5848356358,185,185,127.5848356358,127.5848356358,1,26,15,NA
"136.158.41.164",127650439,41554,210,210,2874.7904338667,-85.4599041029,0,-85.4599041029,230,230,-152.7319083443,-152.7319083443,0.9130435,32,7,NA
"14.181.157.59",152688281,53720,256,256,1321.8702398464,38.726667184,0,38.726667184,304,304,55.7664007448,55.7664007448,0.8421053,25.5,NA,NA
"14.181.157.59",152705431,53720,263,261,1363.1786848416,2.8399555944,0,2.8399555944,263,261,2.8399555944,2.8399555944,1,25.5,NA,NA
"14.188.187.46",151925400,53720,199,197,1033.7644971309,-16.2007868953,0,-16.2007868953,199,197,-16.2007868953,-16.2007868953,1,23,NA,NA
"162.128.159.214",148728269,50263,372,55,10476.6511300727,911.9690440531,0,911.9690440531,372,55,911.9690440531,911.9690440531,1,41,NA,NA
"183.182.116.170",151034943,44848,251,251,84739.4221382111,5836.8298610391,664.7153272539,6501.5451882928,251,251,6501.5451882928,5836.8298610391,1,25,13,NA
"183.182.116.170",124408255,44848,513,513,103309.930831063,9401.1798184576,847.3773965089,10248.557214964,701,701,10073.1577821312,9143.4862988691,0.7318117,25,13,NA
"218.20.67.152",152070188,4702,371,371,11800,1544.5,0,1544.5,498,498,1312,1312,0.7449799,33,10,NA
"223.205.103.165",147013448,44848,171,92,7839.9004912215,-463.7172432724,65.1704509528,-398.5467923173,175,96,-490.8031951173,-557.1887759977,0.9771429,30,15,NA
"223.206.51.154",146694688,44848,172,154,11700.4516332326,1901.2918811042,93.6204180264,1994.9122991294,184,166,1899.5488931695,1804.410877139,0.9347826,23,NA,NA
"42.113.136.177",150937732,53720,426,426,2337.5421091843,41.1448556113,0,41.1448556113,427,427,24.1051220508,24.1051220508,0.9976581,24.5,6,NA
"42.113.136.177",150938202,53720,225,225,1162.3421709034,79.4610023937,0,79.4610023937,229,229,-49.6309820742,-49.6309820742,0.9825328,24.5,6,NA
"42.113.136.177",150938522,53720,230,228,1226.6310077897,-46.5451179036,0,-46.5451179036,232,230,-51.1923179656,-51.1923179656,0.9913793,24.5,6,NA
"42.113.136.177",150939909,12648,187,187,961.7609998183,-12.0863013325,0,-12.0863013325,187,187,-12.0863013325,-12.0863013325,1,24.5,6,NA
"42.113.136.49",147660546,53720,182,182,958.4748663672,64.77604866,0,64.77604866,185,185,60.0905527565,60.0905527565,0.9837838,37,23,NA
"42.113.136.49",147660742,53720,237,237,1289.3291540619,36.2512987343,0,36.2512987343,237,237,36.2512987343,36.2512987343,1,37,23,NA
"42.114.170.19",153817485,53720,447,447,1148.1262682058,25.685151414,0,25.685151414,447,447,25.685151414,25.685151414,1,29,29,NA
"42.114.170.19",153809659,53720,461,461,1184.0854801854,-7.7055454242,0,-7.7055454242,461,461,-7.7055454242,-7.7055454242,1,29,29,NA
"42.114.170.19",153823132,53720,441,441,1132.7151773574,-64.212878535,0,-64.212878535,441,441,-64.212878535,-64.212878535,1,29,29,NA
"42.114.170.19",153811326,53720,433,433,1112.1670562262,17.9796059898,0,17.9796059898,433,433,17.9796059898,17.9796059898,1,29,29,NA
"42.114.170.19",153817819,53720,776,776,1993.1677497264,-76.2848997018,0,-76.2848997018,776,776,-76.2848997018,-76.2848997018,1,29,29,NA
"42.114.170.19",153809605,53720,498,498,1279.1205404172,5.1370302828,0,5.1370302828,498,498,5.1370302828,5.1370302828,1,29,29,NA
"42.114.170.19",153815729,53720,442,442,1135.2836924988,-20.5481211312,0,-20.5481211312,473,473,-35.9592119796,-35.9592119796,0.9344609,29,29,NA
"42.114.170.19",153814525,53720,425,425,1091.618935095,-59.0758482522,0,-59.0758482522,451,451,-74.4869391006,-74.4869391006,0.9423503,29,29,NA
"42.114.170.19",153819249,53720,462,462,1186.6539953268,-20.5481211312,0,-20.5481211312,462,462,-20.5481211312,-20.5481211312,1,29,29,NA
"42.114.170.19",153815448,53720,453,453,1163.5373590542,-23.1166362726,0,-23.1166362726,453,453,-23.1166362726,-23.1166362726,1,29,29,NA
"42.114.170.19",153811181,53720,454,454,1166.1058741956,12.842575707,0,12.842575707,454,454,12.842575707,12.842575707,1,29,29,NA
"42.114.170.19",153814845,53720,441,441,1132.7151773574,5.1370302828,0,5.1370302828,441,441,5.1370302828,5.1370302828,1,29,29,NA
"42.114.170.19",153824845,53720,436,436,1119.8726016504,28.2536665554,0,28.2536665554,436,436,28.2536665554,28.2536665554,1,29,29,NA
"42.114.170.19",153814891,53720,172,172,441.7846043208,-15.4110908484,0,-15.4110908484,172,172,-15.4110908484,-15.4110908484,1,29,29,NA
"42.114.170.19",153823192,53720,461,461,1184.0854801854,-61.6443633936,0,-61.6443633936,461,461,-61.6443633936,-61.6443633936,1,29,29,NA
"42.114.170.19",153814746,53720,379,379,973.4672385906,-51.370302828,0,-51.370302828,427,427,-33.3906968382,-33.3906968382,0.8875878,29,29,NA
"42.114.170.19",153824787,53720,453,453,1163.5373590542,25.685151414,0,25.685151414,453,453,25.685151414,25.685151414,1,29,29,NA
"42.114.170.19",153819173,53720,444,444,1140.4207227816,-53.9388179694,0,-53.9388179694,475,475,-43.921608918,-43.921608918,0.9347368,29,29,NA
"42.114.170.19",153814559,53720,466,466,1196.9280558924,-51.370302828,0,-51.370302828,481,481,-51.370302828,-51.370302828,0.968815,29,29,NA
"49.48.81.164",133370698,44848,194,123,17595.4206490921,-779.3614116166,140.6631656346,-638.6982459822,194,123,-638.6982459822,-779.3614116166,1,135,50,NA
"49.48.81.164",134146565,44848,287,184,31862.199348806,-1008.1293981703,270.2835836574,-737.8458145141,287,184,-737.8458145141,-1008.1293981703,1,135,50,NA
"49.48.81.164",145268246,44848,294,180,31664.7410986248,-3535.258901376,264.9730070384,-3270.2858943366,321,206,-3174.3636461131,-3451.1613321733,0.9158879,135,50,NA
"49.48.81.164",135302157,44848,186,142,23934.4606658963,-1050.2048104186,195.1055561395,-855.0992542798,186,142,-855.0992542798,-1050.2048104186,1,135,50,NA
"49.48.81.164",145809880,44848,244,171,13723.9785736794,-232.8431887397,114.2879949582,-118.5551937801,247,174,-252.1897852375,-367.6914142265,0.9878543,135,50,NA
"49.48.81.164",145785861,44848,183,112,7171.3055351334,-315.0929524215,59.8153555325,-255.2775968892,183,112,-255.2775968892,-315.0929524215,1,135,50,NA
"49.48.89.148",145263026,44848,174,88,6710.3380615631,-306.4423823736,55.4447533027,-250.9976290698,191,101,-96.4533244719,-158.4441532927,0.9109948,59,13,NA
"58.186.68.234",122059636,4300,423,324,21861.2036248137,-1235.8970386995,0,-1235.8970386995,461,362,-669.3022866909,-669.3022866909,0.9175705,197,10,NA
