"会员编号","综合分","赏侧均值","罚侧均值","综合分分位","命中风险族","领域｜D06 收入","领域｜D07 盈利","领域｜D04 活跃","领域｜D05 留存","领域｜D08 风险","领域｜D11 网络","维度｜流水贡献","维度｜游戏输赢贡献","维度｜活跃稳定","维度｜生命周期阶段","维度｜投注产品结构熵","维度｜索提诺稳定性","维度｜对打指数","维度｜批量注册嫌疑","维度｜IP结构风险","维度｜人工标记史"
"143272668",-59.49,26.37,85.86,0,"—",63.2,4.5,17.6,29.1,25.2,3.1,63.2,4.5,4.3,29.1,30.8,NA,99.7,99.2,94.6,49.9
"147841322",-56.9,30.29,87.18,0,"—",67.5,3,37.7,5.6,25.2,0.5,67.5,3,43.9,5.6,31.5,NA,99.7,99.4,99.7,49.9
"146813291",-56.33,30.58,86.91,0,"—",6.6,47.3,47.5,4,25.2,1,6.6,47.3,76.9,4,18,NA,99.7,99.2,98.7,49.9
"152561484",-55.46,31.79,87.25,0,"—",8.2,31.2,45.6,28.4,25.2,0.4,8.2,31.2,89.8,28.4,1.3,NA,99.7,99.6,99.7,49.9
"152560647",-54.48,32.77,87.25,0,"—",15.8,23.1,48.3,28.4,25.2,0.4,15.8,23.1,89.8,28.4,6.7,NA,99.7,99.6,99.7,49.9
"153820279",-54.09,33.17,87.26,0,"—",5.1,26.7,45.6,42.9,25.2,0.3,5.1,26.7,89.8,42.9,1.3,NA,99.7,99.5,99.8,49.9
"152697840",-54.02,33.15,87.17,0,"—",12.1,26.8,48.6,29.7,25.2,0.5,12.1,26.8,89.8,29.7,7.4,NA,99.7,99.2,99.7,49.9
"147741115",-53.77,33.41,87.18,0,"—",69,4.8,44.3,4.7,25.2,0.5,69,4.8,58.3,4.7,30.2,NA,99.7,99.4,99.7,49.9
"150301701",-53.51,33.77,87.29,0,"—",30.1,20.4,53.6,11.1,25.2,0.3,30.1,20.4,89.8,11.1,17.5,NA,99.7,99.8,99.7,49.9
"147739325",-53.07,34.2,87.27,0,"—",76,8.1,41.1,4.7,25.2,0.3,76,8.1,58.3,4.7,23.9,NA,99.7,99.7,99.7,49.9
"150251095",-52.84,34.47,87.31,0,"—",30.1,17.6,57,10.7,25.2,0.2,30.1,17.6,89.8,10.7,24.1,NA,99.7,99.9,99.7,49.9
"152696456",-52.24,34.94,87.18,0,"异常 IP",28.6,22.1,47.1,29.7,25.2,0.5,28.6,22.1,89.8,29.7,4.4,NA,99.7,99.3,99.7,49.9
"147777059",-52.12,21.51,73.63,0,"—",25.3,14.5,27.1,13.5,25.3,27.5,25.3,14.5,19.6,13.5,34.6,NA,99.5,99.3,45.8,49.9
"151531691",-51.76,35.05,86.82,0,"对打",36.4,19,49.9,20.1,25.2,1.2,36.4,19,89.8,20.1,10,NA,99.7,99.7,97.9,49.9
"152611412",-51.7,35.48,87.19,0,"—",14.9,29,52.3,28.8,25.2,0.5,14.9,29,89.8,28.8,14.8,NA,99.7,99.3,99.7,49.9
"150989580",-51.67,35.67,87.34,0,"—",34.3,12.2,57.9,16,25.2,0.2,34.3,12.2,89.8,16,25.9,NA,99.7,100,99.7,49.9
"146944207",-51.41,35.75,87.16,0,"—",55.2,12.5,55.2,0.7,25.2,0.5,55.2,12.5,89.8,0.7,20.6,NA,99.7,99.3,99.7,49.9
"147764326",-51.4,22.24,73.64,0,"—",16.5,22.9,33.4,4.9,25.3,27.4,16.5,22.9,43.9,4.9,23,NA,99.4,99.5,45.8,49.9
"147954198",-51.28,35.92,87.2,0,"—",77.9,6.3,44.9,5.6,25.2,0.4,77.9,6.3,58.3,5.6,31.4,NA,99.7,99.5,99.7,49.9
"150899382",-51.06,35.27,86.33,0,"—",29.4,14.1,58.8,15.2,25.2,2.2,29.4,14.1,89.8,15.2,27.8,NA,99.7,99.7,95.9,49.9
"152651394",-50.98,36.21,87.18,0,"—",21.1,39.4,45.6,29.3,25.2,0.5,21.1,39.4,89.8,29.3,1.3,NA,99.7,99.3,99.7,49.9
"152610497",-50.27,36.92,87.19,0,"—",14.4,40.9,50.2,28.8,25.2,0.5,14.4,40.9,89.8,28.8,10.6,NA,99.7,99.3,99.7,49.9
