"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"1301",-61.66,25.54,87.2,0,270310.34,13908.86,31.7,44.3,13.1,2.1,44.9,31.7,44.3,20.3,5.9,97.6,98.6,97.6,55.1
"1202",-49.85,10.52,60.37,0.3,30839.03,-6090.22,7.3,5.2,14.8,50.5,7,7.3,5.2,29.1,0.4,25.8,25.8,96.9,93
"1296",-45.95,15.54,61.5,0.7,60735.09,6147.65,11.8,7,21.7,49.5,5.6,11.8,7,43.4,0,25.8,25.8,100,94.4
"2238",-41.38,0.35,41.72,1,142,-19.23,0.3,0.3,NA,77,2.1,0.3,0.3,NA,NA,25.8,25.8,17.4,97.9
"1266",-41.2,0.52,41.72,1.4,489,41,0.7,0.3,NA,77,2.1,0.7,0.3,NA,NA,25.8,25.8,17.4,97.9
"2082",-40.5,1.22,41.72,1.7,125.25,17.27,0,0.3,3.3,77,2.1,0,0.3,3.3,NA,25.8,25.8,17.4,97.9
"915",-40.27,26.89,67.16,2.1,275725.75,15610.31,33.4,43.9,3.3,28.5,46,33.4,43.9,3.3,NA,97.9,99.3,17.4,54
"1095",-39.98,1.74,41.72,2.4,6058.01,1945.46,2.4,1,NA,77,2.1,2.4,1,NA,NA,25.8,25.8,17.4,97.9
"2190",-39.75,1.98,41.72,2.8,579.8,22.64,1,1.6,3.3,77,2.1,1,1.6,3.3,NA,25.8,25.8,17.4,97.9
"2179",-39.63,2.09,41.72,3.1,904.35,12.45,1.7,2.4,NA,77,2.1,1.7,2.4,NA,NA,25.8,25.8,17.4,97.9
"2091",-38.76,2.97,41.72,3.5,8668.78,-1294.91,3.1,2.4,3.3,77,2.1,3.1,2.4,3.3,NA,25.8,25.8,17.4,97.9
"2139",-38.47,3.26,41.72,3.8,6744.2,-715.8,2.8,3.7,3.3,77,2.1,2.8,3.7,3.3,NA,25.8,25.8,17.4,97.9
"2249",-38.15,3.57,41.72,4.2,10963.37,-504.61,3.5,3.7,NA,77,2.1,3.5,3.7,NA,NA,25.8,25.8,17.4,97.9
"2247",-37.98,3.75,41.72,4.5,11363.91,-742.19,3.8,3.7,NA,77,2.1,3.8,3.7,NA,NA,25.8,25.8,17.4,97.9
"1391",-36.37,4.75,41.11,4.9,4678.47,-69.23,2.1,4.5,6.2,77,4.5,2.1,4.5,11.5,0.8,25.8,25.8,17.4,95.5
"969",-36.28,17.3,53.57,5.2,166931.53,-4418.01,23,21.3,12.5,50.2,35.2,23,21.3,20.3,4.6,25.8,25.8,97.9,64.8
"2214",-35.34,22.76,58.1,5.6,427101.78,37713.13,39.4,21.3,15.2,52.3,10.8,39.4,21.3,11.5,18.9,25.8,25.8,91.6,89.2
"1129",-35.15,23.73,58.89,5.9,428138.24,-68239.33,39.7,18.1,18.5,51.9,8.7,39.7,18.1,29.1,8,25.8,25.8,92.7,91.3
"2124",-35.01,53.23,88.24,6.3,546546.19,20250.8,43.2,44.9,62.4,2.8,38.7,43.2,44.9,36.5,88.2,99.3,100,92.3,61.3
"2198",-34.38,19.28,53.66,6.6,223925.37,-7469.96,27.9,26.7,3.3,50.4,34.1,27.9,26.7,3.3,NA,25.8,25.8,97.2,65.9
"2074",-33.54,6.62,40.16,7,24178.54,423.01,6.3,7,NA,77,8.4,6.3,7,NA,NA,25.8,25.8,17.4,91.6
"2268",-33.36,6.62,39.98,7.3,33068.39,1375.45,8,5.2,NA,77,9.1,8,5.2,NA,NA,25.8,25.8,17.4,90.9
"1158",-33.32,6.49,39.81,7.7,21080.85,-2679.89,5.6,5.9,7.2,77,9.8,5.6,5.9,11.5,2.9,25.8,25.8,17.4,90.2
"759",-33.01,6.28,39.29,8,25333.93,-1254.48,7,8.5,3.3,77,11.8,7,8.5,3.3,NA,25.8,25.8,17.4,88.2
"2084",-32.31,20.74,53.05,8.4,210628.49,-2164.15,26.8,32.1,3.3,51.1,34.5,26.8,32.1,3.3,NA,25.8,25.8,95.1,65.5
"1360",-32.17,7.55,39.72,8.7,35689.09,-2606.74,8.4,11,3.3,77,10.1,8.4,11,3.3,NA,25.8,25.8,17.4,89.9
"1370",-30.65,11.08,41.72,9.1,15170.1,-93.04,4.5,1.6,19.1,77,2.1,4.5,1.6,36.5,1.7,25.8,25.8,17.4,97.9
"1751",-30.27,11.46,41.72,9.4,21500.88,629.43,5.9,3.7,18.1,77,2.1,5.9,3.7,29.1,7.1,25.8,25.8,17.4,97.9
"2272",-29.97,7.58,37.54,9.8,24330.08,-1233.01,6.6,8.5,NA,77,18.8,6.6,8.5,NA,NA,25.8,25.8,17.4,81.2
"2273",-29.43,9.68,39.11,10.1,19031.95,-901.09,5.2,8.5,12.5,77,12.5,5.2,8.5,11.5,13.4,25.8,25.8,17.4,87.5
"2213",-28.14,40.42,68.55,10.5,459165.2,-20787.53,41.1,39.7,NA,33.7,24.7,41.1,39.7,NA,NA,82.6,99,17.4,75.3
"2073",-27.79,11.06,38.85,10.8,56641.31,1570.49,11.1,11,NA,77,13.6,11.1,11,NA,NA,25.8,25.8,17.4,86.4
"2136",-27.64,25.32,52.96,11.1,420982.43,32.48,38.7,34,3.3,51.5,33.8,38.7,34,3.3,NA,25.8,25.8,94.1,66.2
"2202",-26.34,42.65,68.99,11.5,12806042.8,-9996.08,50.2,51.2,34.6,24.6,50.2,50.2,51.2,49,20.2,70.4,66.6,89.2,49.8
"796",-26.34,8.07,34.41,11.8,32922.67,866.44,7.7,11,6.8,77,31.4,7.7,11,11.5,2.1,25.8,25.8,17.4,68.6
"2281",-26.05,51.92,77.96,12.2,19517928.55,484757.58,52.3,51.6,NA,12.1,51.9,52.3,51.6,NA,NA,92.7,97.2,73.9,48.1
"2151",-25.99,24.88,50.87,12.5,163651.72,-510.63,22.6,36.4,20.2,50.9,43.9,22.6,36.4,29.1,11.3,25.8,25.8,95.8,56.1
"1934",-25.95,31.97,57.93,12.9,69209.22,-4585.95,13.6,12,51.1,49.9,18.5,13.6,12,11.5,90.8,25.8,25.8,98.6,81.5
"1305",-25.84,19.81,45.64,13.2,470350.01,-10635.12,41.8,14.3,3.3,70.4,6.3,41.8,14.3,3.3,NA,25.8,25.8,37.3,93.7
"2060",-25.37,15.66,41.03,13.6,95394.62,8722.91,16.4,9.6,18.3,77,4.9,16.4,9.6,29.1,7.6,25.8,25.8,17.4,95.1
"1007",-24.62,15.62,40.24,13.9,254203.84,-13668.43,29.3,14.3,3.3,77,8,29.3,14.3,3.3,NA,25.8,25.8,17.4,92
"2176",-24.59,30.64,55.23,14.3,327205.56,-16919.14,35.5,41.1,23,50.1,28.9,35.5,41.1,29.1,16.8,25.8,25.8,98.3,71.1
"1222",-23.61,14.98,38.59,14.6,118124.64,-7576.23,18.1,13.1,14.4,77,14.6,18.1,13.1,20.3,8.4,25.8,25.8,17.4,85.4
"2034",-23.37,10.86,34.23,15,67103.75,1735.57,12.9,16.4,3.3,77,32.1,12.9,16.4,3.3,NA,25.8,25.8,17.4,67.9
"1687",-23.34,21.69,45.03,15.3,1085268.79,-81449.73,46.3,23.9,8.3,71.1,6.6,46.3,23.9,11.5,5,25.8,25.8,35.2,93.4
"1393",-22.65,18.11,40.77,15.7,39287.73,248.6,8.7,5.2,29.3,77,5.9,8.7,5.2,29.1,29.4,25.8,25.8,17.4,94.1
"2154",-22.48,17.85,40.33,16,133716.36,10539.64,20.6,28.4,11.2,69.7,29.6,20.6,28.4,11.5,10.9,25.8,25.8,39.4,70.4
"2185",-22.13,18.82,40.94,16.4,220836.4,-64396.49,27.5,10.1,NA,77,5.2,27.5,10.1,NA,NA,25.8,25.8,17.4,94.8
"2087",-21.69,16.29,37.98,16.7,103689.56,-2487.54,17.1,15.5,NA,77,17.1,17.1,15.5,NA,NA,25.8,25.8,17.4,82.9
"1996",-21.6,17.43,39.02,17.4,56382.73,-798.38,10.5,13.1,23.1,77,12.9,10.5,13.1,36.5,9.7,25.8,25.8,17.4,87.1
"2274",-21.6,14.37,35.98,17.1,87885.29,-8.16,15.7,13.1,NA,77,25.1,15.7,13.1,NA,NA,25.8,25.8,17.4,74.9
"2193",-21.55,29.75,51.31,17.8,363604,6905.81,37.6,43,19.2,51,41.8,37.6,43,29.1,9.2,25.8,25.8,95.5,58.2
"1398",-20.99,15.42,36.41,18.1,87703.03,3518.35,15.3,15.5,NA,77,23.3,15.3,15.5,NA,NA,25.8,25.8,17.4,76.7
"2237",-20.93,12.61,33.54,18.5,80888.71,15346.78,14.6,19.9,3.3,77,34.8,14.6,19.9,3.3,NA,25.8,25.8,17.4,65.2
"1299",-20.76,55.81,76.57,18.8,27618014.68,494326.46,59.9,66.9,48.2,6.4,74.6,59.9,66.9,69.9,26.5,93,98.3,89.5,25.4
"2289",-20.38,48.43,68.82,19.2,4993674.16,-62132.32,48.4,48.4,NA,25.4,48.4,48.4,48.4,NA,NA,100,70.4,53.3,51.6
