uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
145568886,2142,487.2980634418,-15.7463239678,-15.7463239678,0.4375000,51,51,0.500835215686,-0.8775997162139577,241.5645683504,241.5645683504,93794.7285926974,0.5100606,0.5103680
80580852,1646,363.0726969488,-54.1099955961,-54.1099955961,0.4375000,51,51,0.500835215686,-0.8775997162139577,-104.3479976627,-104.3479976627,41794.0666527749,0.5047028,0.5053151
133100212,1374,2240.6762094701,-566.0623433953,-566.0623433953,0.4375000,51,51,0.500835215686,-0.8775997162139577,-12901.3622181293,-12901.3622181293,212407.9482157061,0.4940491,0.4947161
148947518,2224,9784.7926101711,-914.3810835390,-914.3810835390,0.4375000,51,51,0.500835215686,-0.8775997162139577,-47120.2286657246,-47120.2286657246,10160063.5508466607,0.5084172,0.5085652
73669013,1353,7182.5204084438,-1003.2734847880,-1003.2734847880,0.4375000,51,51,0.500835215686,-0.8775997162139577,-13386.5787815270,-13386.5787815270,1334252.8778053035,0.5010279,0.5013780
5950125,2188,6403.3463418390,-815.3012705610,-815.3012705610,0.4426230,74,74,0.498807398649,-0.8776316274109414,-3865.6196418091,-3865.6196418091,765430.4330057515,0.5056826,0.5062138
149650263,1490,1076.8546953281,-204.4609665427,-204.4609665427,0.4375000,58,58,0.500839794828,-0.8776631802188605,-439.8743099377,-439.8743099377,17386.0218396147,0.4912791,0.4953125
28484858,2212,1647.7014942954,-141.6448652891,-141.6448652891,0.4492754,80,77,0.502104529870,-0.8776718222092509,-6016.8404590393,-6016.8404590393,375650.1702095490,0.4950213,0.4952469
131652689,2169,7824.1020889914,-831.9720026400,-831.9720026400,0.4492754,77,77,0.502104529870,-0.8776718222092509,-4495.9099066769,-4495.9099066769,685510.2448355282,0.5037221,0.5043110
104650541,2271,2165.3622976091,-612.8746776406,-612.8746776406,0.3783784,50,41,0.450164629268,-0.8776879041113559,-1163.5455537350,-1163.5455537350,118792.5914360735,0.4976976,0.4994161
