TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_alert_ip_setting,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_alert_ip_setting,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_alert_ip_setting,3,id,varchar,source_type=int(8); 
ods_a168_alert_ip_setting,4,ip,varchar,source_type=varchar(128); 
ods_a168_alert_ip_setting,5,creator,varchar,source_type=varchar(8); 
ods_a168_alert_ip_setting,6,addtime,varchar,source_type=datetime; 
ods_a168_alert_ip_setting,7,remarks,varchar,source_type=varchar(1000); 
ods_a168_alert_ip_setting,8,source_db,varchar,来源库
ods_a168_alert_ip_setting,9,source_table,varchar,来源表
ods_a168_alert_ip_setting,10,ods_table_name,varchar,ODS表名
ods_a168_alert_ip_setting,11,sync_time,datetime,同步时间
ods_a168_dailyreport_member,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport_member,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport_member,3,id,varchar,source_type=bigint(20); 
ods_a168_dailyreport_member,4,time,varchar,source_type=date; 日期
ods_a168_dailyreport_member,5,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport_member,6,bet05,varchar,source_type=int(11); 會員編號
ods_a168_dailyreport_member,7,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport_member,8,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport_member,9,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_a168_dailyreport_member,10,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport_member,11,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport_member,12,bet19,varchar,source_type=int(11); LV2ID
ods_a168_dailyreport_member,13,bet20,varchar,source_type=int(11); LV3ID
ods_a168_dailyreport_member,14,bet21,varchar,source_type=int(11); LV4ID
ods_a168_dailyreport_member,15,bet22,varchar,source_type=int(11); LV5ID
ods_a168_dailyreport_member,16,bet23,varchar,"source_type=decimal(16,4); LV1占成"
ods_a168_dailyreport_member,17,bet24,varchar,"source_type=decimal(16,4); LV2占成"
ods_a168_dailyreport_member,18,bet25,varchar,"source_type=decimal(16,4); LV3占成"
ods_a168_dailyreport_member,19,bet26,varchar,"source_type=decimal(16,4); LV4占成"
ods_a168_dailyreport_member,20,bet27,varchar,"source_type=decimal(16,4); LV5占成"
ods_a168_dailyreport_member,21,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_a168_dailyreport_member,22,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_a168_dailyreport_member,23,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_a168_dailyreport_member,24,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_a168_dailyreport_member,25,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_a168_dailyreport_member,26,bet10,varchar,source_type=int(11); 幣別
ods_a168_dailyreport_member,27,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_a168_dailyreport_member,28,category,varchar,"source_type=int(11); 1:一般,2:小費"
ods_a168_dailyreport_member,29,count,varchar,source_type=int(11); 筆數
ods_a168_dailyreport_member,30,risk,varchar,source_type=tinyint(1); 風險單 1:是
ods_a168_dailyreport_member,31,orders,varchar,source_type=tinyint(1); 劃單 1:是
ods_a168_dailyreport_member,32,source_db,varchar,来源库
ods_a168_dailyreport_member,33,source_table,varchar,来源表
ods_a168_dailyreport_member,34,ods_table_name,varchar,ODS表名
ods_a168_dailyreport_member,35,sync_time,datetime,同步时间
ods_a168_member_dtl,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_member_dtl,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_member_dtl,3,mem001,varchar,source_type=int(11); mid
ods_a168_member_dtl,4,mem002,varchar,source_type=int(11); 類別
ods_a168_member_dtl,5,mem003,varchar,"source_type=decimal(16,2); 退水"
ods_a168_member_dtl,6,mem004,varchar,source_type=int(11); LV1ID
ods_a168_member_dtl,7,mem005,varchar,source_type=int(11); LV2ID
ods_a168_member_dtl,8,mem006,varchar,source_type=int(11); LV3ID
ods_a168_member_dtl,9,mem007,varchar,source_type=int(11); LV4ID
ods_a168_member_dtl,10,mem008,varchar,source_type=int(11); LV5ID
ods_a168_member_dtl,11,mem009,varchar,source_type=int(11); 最大押分05
ods_a168_member_dtl,12,mem010,varchar,source_type=int(11); 最大押分06
ods_a168_member_dtl,13,mem011,varchar,source_type=int(11); 
ods_a168_member_dtl,14,mem012,varchar,source_type=int(11); 最大可贏金額
ods_a168_member_dtl,15,mem013,varchar,source_type=datetime; 可贏可輸起算時間點
ods_a168_member_dtl,16,mem014,varchar,source_type=int(11); 最大可輸金額
ods_a168_member_dtl,17,mem015,varchar,source_type=varchar(300); 新版限額
ods_a168_member_dtl,18,mem016,varchar,"source_type=decimal(16,2); 電投退水"
ods_a168_member_dtl,19,source_db,varchar,来源库
ods_a168_member_dtl,20,source_table,varchar,来源表
ods_a168_member_dtl,21,ods_table_name,varchar,ODS表名
ods_a168_member_dtl,22,sync_time,datetime,同步时间
