dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
919,70428495.0465969,50857,35731,7,-1596387.1302643628,35731,0.1392154346223387,0.1103803,2510252.226967049,349251.2863082961,135.0,0.03564256520469756,0.0026545018384883106,0.004958948591436242,90.13377926421404,60.785953177257525,29.347826086956516
1215,2457158.739107228,3711,1118,4,-198081.0665441506,1118,0.1352387397113143,0.049195,0.0,0.0,0.0,0.0,0.0,0.0,37.79264214046823,9.489966555183948,28.302675585284284
1951,60505696.124038585,46326,29004,7,-1474180.1791902764,29004,0.1407698696122737,0.0978831,1864800.78999728,456590.8024967748,110.0,0.03082025180198538,0.002374476535854596,0.007546244928093204,80.01672240802675,54.264214046822744,25.752508361204008
1109,68506019.44997613,48392,33360,7,-2200698.9823852647,33360,0.1390445726436308,0.0897482,2440260.579651376,693282.6766261449,120.0,0.03562111182701663,0.0024797487187964953,0.010120025688142452,87.37458193979934,61.95652173913044,25.418060200668904
462,96840770.59711593,58212,48376,7,-2243667.8773263046,48376,0.1364213395753804,0.085559,3018018.8762383317,1281540.9148889596,153.0,0.031164754861298192,0.0026283240568954853,0.01323348530775865,90.80267558528428,65.96989966555184,24.83277591973244
2229,66687005.65323701,49166,33077,6,-314626.2546771306,33077,0.0775149356438082,0.0733138,1668394.8783912582,415881.5492451137,94.0,0.025018290475758882,0.0019118903307163487,0.00623632063205295,70.31772575250837,45.81939799331104,24.498327759197323
2105,3708235.472762795,6290,1892,6,107995.0572111441,1892,0.0746868711393552,0.0459831,4279.7475654247,0.0,1.0,0.001154119687614148,0.0001589825119236884,0.0,37.374581939799334,14.673913043478262,22.700668896321073
1110,4597803.877045941,6321,1929,5,100567.8506928171,1929,0.0845636250430357,0.0632452,6951.5313542328,0.0,2.0,0.0015119242882319535,0.00031640563202024995,0.0,41.47157190635451,18.770903010033447,22.700668896321066
2160,76436662.04790658,50703,36369,8,-52443.0675367442,36369,0.1356972326088874,0.0943386,2988346.592179654,716598.6686407166,130.0,0.03909572333635804,0.0025639508510344558,0.009375064915728388,86.03678929765886,65.05016722408027,20.986622073578587
2258,67969767.327236,47789,32992,6,-1175450.6726242988,32992,0.071447936541235,0.0784129,1574322.1271629268,464054.2435236674,90.0,0.023162093811259585,0.0018832785787524326,0.0068273625432541,66.72240802675586,45.819397993311036,20.903010033444822
