grp,bet01,member_id,dt,bet_time,table_id,shoe_id,bet09,commission,category,rebet_flag,agent_lv1,stake_raw,fx_rate,payout_raw,rebate_raw,net_raw,bet41,validbet,diff_vb_minus_b41,updatetime,sync_time,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_hiturn,roi_non_hiturn,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_hiturn,avg_stake_non_hiturn,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_hiturn,hold_rate,hold_rate_hiturn,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_hiturn,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_hiturn,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
A_主群,5347215532,147133598,2026-03-25,2026-03-25 12:59:14,911,123646,Banker,0,1,Y,4202,100.00000000,4.54360000,100.00000000,0E-8,0E-8,0E-8,100.00000000,100.00000000,2026-03-26 08:45:18,2026-05-21 23:00:57,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5449496575,151098190,2026-06-06,2026-06-07 09:49:49,37,114668131,Banker,0,1,Y,46212,150.00000000,3.88870000,150.00000000,0E-8,0E-8,0E-8,150.00000000,150.00000000,2026-06-07 10:13:42,2026-06-15 21:41:35,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5408642540,149576196,2026-05-07,2026-05-07 15:57:50,112,114634729,Player,0,1,N,21041,400.00000000,1.00000000,400.00000000,0E-8,0E-8,0E-8,400.00000000,400.00000000,2026-05-07 16:08:26,2026-05-23 13:11:01,630607.0000,543480.0000,-109867.7000,601,601,0.17422531,,0.17422531,0.17422531,109867.7000,630607.0000,OK,0.0000,-3296.0310,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-3296.0310,-3296.0310,-3296.0310,-3296.0310,-3296.0310,3.000000,3.000000,3.000000,3.000000,3.000000,97.000000,97.000000,97.000000,97.000000,97.000000,5.0,-16480.1550,-15520.5677,-93387.5450,-94347.1323,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-106571.6690,527175.6000,-109867.7000,-106571.6690,-3296.0310,-0.17422531,-0.16899855,-3296.0310,-106571.6690,-0.16899855,-3296.0310,-3296.0310,-3296.0310,-3296.0310,-3296.0310,-106571.6690,-0.16899855,-16480.1550,-15520.5677,-93387.5450,-94347.1323,-0.14809151,-0.1496132,-0.00522676,1049.2629,904.2928,-182.8082,-9987.9727,-2746.6925,57327.9091,54.6364,,1049.2629,200.0,200.0,400.0,1000.0,2000.0,21662.9688,200.0,0.0,10.0,108.314844,5.246314,6,35,1,3,0E-8,-0.17422531,,0E-8,0.000000,0.861836,0.000000,,2026-05-05,2026-06-21,11,40,18,48,0.229167,,,0.000000,5,0.0020768431983385254,0.9916926272066459,0.9916926272066459,0.8483904465212876,0.8483904465212876,0.8383167220376523,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.07595256,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5408642783,125555111,2026-05-07,2026-05-07 15:57:57,113,114634718,Banker,0,1,N,1652,210.00000000,0.58050000,210.00000000,0E-8,0E-8,0E-8,210.00000000,210.00000000,2026-05-07 16:09:54,2026-05-23 13:11:01,10625252.0134,9614479.3600,-7965.9274,19770,19716,0.00074972,,0.00074972,-0.00648894,7965.9274,10625252.0134,OK,76912.5318,-477.9556,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-477.9556,-477.9556,-477.9556,-477.9556,-477.9556,6.000000,6.000000,6.000000,6.000000,6.000000,94.000000,94.000000,94.000000,94.000000,94.000000,5.0,-2389.7782,-2119.7012,-82488.6810,-82758.758,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-7487.9718,9037610.5984,-84878.4592,-84400.5036,-77390.4875,-0.00798837,-0.00794339,-477.9556,-84400.5036,-0.00794339,-477.9556,-477.9556,-477.9556,-477.9556,-477.9556,-84400.5036,-0.00794339,-2389.7782,-2119.7012,-82488.6810,-82758.758,-0.00776346,-0.00778887,-0.00728364,537.4432,487.6486,-0.4040,-68.0848,-1.5787,90814.1198,168.5128,,537.4432,119.2911,258.3979,681.0829,1378.1223,1704.1582,4990.8501,172.2653,0.0,6.595093,19.314591,2.079905,29,233,245,4,0E-8,-0.00074972,,0.00799966,0.800000,0.904871,0.002731,,2026-03-22,2026-08-04,117,5046,1930,136,0.860294,,1.528455,0.925938,5,0.003115264797507788,0.8785046728971962,0.8785046728971962,0.9906542056074766,0.9906542056074766,0.9900332225913622,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01326082,A 净亏最大十分位 · 优先复核,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5449527347,125555111,2026-06-06,2026-06-07 10:31:11,115,114668171,Banker,0,1,N,1652,30.00000000,0.58680000,30.00000000,0E-8,0E-8,0E-8,30.00000000,30.00000000,2026-06-07 10:34:09,2026-06-15 21:41:56,10625252.0134,9614479.3600,-7965.9274,19770,19716,0.00074972,,0.00074972,-0.00648894,7965.9274,10625252.0134,OK,76912.5318,-477.9556,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-477.9556,-477.9556,-477.9556,-477.9556,-477.9556,6.000000,6.000000,6.000000,6.000000,6.000000,94.000000,94.000000,94.000000,94.000000,94.000000,5.0,-2389.7782,-2119.7012,-82488.6810,-82758.758,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-7487.9718,9037610.5984,-84878.4592,-84400.5036,-77390.4875,-0.00798837,-0.00794339,-477.9556,-84400.5036,-0.00794339,-477.9556,-477.9556,-477.9556,-477.9556,-477.9556,-84400.5036,-0.00794339,-2389.7782,-2119.7012,-82488.6810,-82758.758,-0.00776346,-0.00778887,-0.00728364,537.4432,487.6486,-0.4040,-68.0848,-1.5787,90814.1198,168.5128,,537.4432,119.2911,258.3979,681.0829,1378.1223,1704.1582,4990.8501,172.2653,0.0,6.595093,19.314591,2.079905,29,233,245,4,0E-8,-0.00074972,,0.00799966,0.800000,0.904871,0.002731,,2026-03-22,2026-08-04,117,5046,1930,136,0.860294,,1.528455,0.925938,5,0.003115264797507788,0.8785046728971962,0.8785046728971962,0.9906542056074766,0.9906542056074766,0.9900332225913622,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01326082,A 净亏最大十分位 · 优先复核,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5426161745,145870516,2026-05-19,2026-05-20 06:10:11,912,1240451,Player,0,1,N,14555,200.00000000,4.76050000,200.00000000,0E-8,0E-8,0E-8,200.00000000,200.00000000,2026-05-20 06:13:36,2026-05-20 18:16:25,1181647.6806,1070089.0531,-13803.5283,30302,26397,0.01168159,,0.01168159,0.00443715,13803.5283,1181647.6806,OK,8560.3763,-690.1764,5.0000,95.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-690.1764,-690.1764,-690.1764,-828.2117,-828.2117,5.000000,5.000000,5.000000,6.000000,6.000000,95.000000,95.000000,95.000000,94.000000,94.000000,5.0,-3726.9526,-3346.299,-18636.9520,-19017.6057,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-13113.3519,1016584.6004,-22363.9046,-21673.7282,-9250.5527,-0.01892603,-0.01834195,-690.1764,-21673.7282,-0.01834195,-690.1764,-690.1764,-690.1764,-828.2117,-828.2117,-21673.7282,-0.01834195,-3726.9526,-3346.299,-18636.9520,-19017.6057,-0.01577200,-0.01609414,-0.00782852,38.9957,40.5383,-0.5229,-115.9960,-1.5810,9929.8124,221.8235,,38.9957,21.0824,41.5429,51.9286,62.3144,63.8756,103.8573,40.8781,-2.0914,1.537582,2.5,0.938685,29,262,427,8,0E-8,-0.01168159,,0.00799969,0.800000,0.905591,0.001122,,2026-03-22,2026-08-06,119,8731,2629,138,0.862319,,1.031807,0.419960,5,0.005192107995846314,0.9106957424714434,0.9106957424714434,0.8982346832814122,0.8982346832814122,0.8914728682170543,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01146047,A 净亏最大十分位 · 优先复核,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5426161745,145870516,2026-05-19,2026-05-20 06:10:11,912,1240451,Player,0,1,N,14555,200.00000000,4.76050000,200.00000000,0E-8,0E-8,0E-8,200.00000000,200.00000000,2026-05-20 06:13:36,2026-05-23 22:16:46,1181647.6806,1070089.0531,-13803.5283,30302,26397,0.01168159,,0.01168159,0.00443715,13803.5283,1181647.6806,OK,8560.3763,-690.1764,5.0000,95.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-690.1764,-690.1764,-690.1764,-828.2117,-828.2117,5.000000,5.000000,5.000000,6.000000,6.000000,95.000000,95.000000,95.000000,94.000000,94.000000,5.0,-3726.9526,-3346.299,-18636.9520,-19017.6057,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-13113.3519,1016584.6004,-22363.9046,-21673.7282,-9250.5527,-0.01892603,-0.01834195,-690.1764,-21673.7282,-0.01834195,-690.1764,-690.1764,-690.1764,-828.2117,-828.2117,-21673.7282,-0.01834195,-3726.9526,-3346.299,-18636.9520,-19017.6057,-0.01577200,-0.01609414,-0.00782852,38.9957,40.5383,-0.5229,-115.9960,-1.5810,9929.8124,221.8235,,38.9957,21.0824,41.5429,51.9286,62.3144,63.8756,103.8573,40.8781,-2.0914,1.537582,2.5,0.938685,29,262,427,8,0E-8,-0.01168159,,0.00799969,0.800000,0.905591,0.001122,,2026-03-22,2026-08-06,119,8731,2629,138,0.862319,,1.031807,0.419960,5,0.005192107995846314,0.9106957424714434,0.9106957424714434,0.8982346832814122,0.8982346832814122,0.8914728682170543,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01146047,A 净亏最大十分位 · 优先复核,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5350114998,132403270,2026-03-27,2026-03-27 14:28:52,37,114589921,Player,1,1,N,433,900.00000000,1.00000000,900.00000000,0E-8,0E-8,0E-8,900.00000000,900.00000000,2026-03-27 14:36:29,2026-05-21 23:11:01,11130808.0000,9936795.5000,-14885.5000,5014,4459,0.00133732,,0.00133732,0.00133732,14885.5000,11130808.0000,OK,0.0000,-595.4200,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-595.4200,-595.4200,-669.8475,-669.8475,-669.8475,4.000000,4.000000,4.500000,4.500000,4.500000,96.000000,96.000000,95.500000,95.500000,95.500000,5.0,-3200.3825,-2936.9279,-11685.1175,-11948.5721,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-14290.0800,9539323.6800,-14885.5000,-14290.0800,-595.4200,-0.00133732,-0.00128383,-595.4200,-14290.0800,-0.00128383,-595.4200,-595.4200,-669.8475,-669.8475,-669.8475,-14290.0800,-0.00128383,-3200.3825,-2936.9279,-11685.1175,-11948.5721,-0.00104980,-0.00107347,-0.00005349,2219.9458,2228.4807,-3.3383,-140.4292,-13.8084,105007.6226,42.0660,,2219.9458,800.0,1500.0,3000.0,5000.0,5000.0,10000.0,1000.0,0.0,3.333333,6.666667,1.479964,27,113,89,7,0E-8,-0.00133732,,0E-8,0.000000,0.892729,0.971480,,2026-03-23,2026-08-06,106,1078,239,137,0.773723,,1.442374,1.201499,5,0.007268951194184839,0.8836967808930426,0.8836967808930426,0.9937694704049844,0.9937694704049844,0.9933554817275747,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L4_CI_3P0,0.02788438,A 净亏最大十分位 · 优先复核,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5408642519,149621277,2026-05-07,2026-05-07 15:57:49,113,114634718,Banker,0,1,N,7595,100.00000000,1.00000000,100.00000000,0E-8,0E-8,0E-8,100.00000000,100.00000000,2026-05-07 16:09:55,2026-05-23 13:11:01,129462.0000,117387.0000,-14108.2000,744,740,0.10897561,,0.10897561,0.10897561,14108.2000,129462.0000,OK,0.0000,-564.3280,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-564.3280,-564.3280,-564.3280,-564.3280,-564.3280,4.000000,4.000000,4.000000,4.000000,4.000000,96.000000,96.000000,96.000000,96.000000,96.000000,5.0,-2821.6400,-2604.7589,-11286.5600,-11503.4411,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-13543.8720,112691.5200,-14108.2000,-13543.8720,-564.3280,-0.10897561,-0.10461658,-564.3280,-13543.8720,-0.10461658,-564.3280,-564.3280,-564.3280,-564.3280,-564.3280,-13543.8720,-0.10461658,-2821.6400,-2604.7589,-11286.5600,-11503.4411,-0.08718049,-0.08885573,-0.00435902,174.0081,158.6311,-19.0651,-2821.6400,-414.9471,25892.4000,148.0000,,174.0081,100.0,110.0,300.0,320.0,400.0,562.3999,100.0,0.0,3.636364,5.112726,1.581891,6,24,4,5,0E-8,-0.10897561,,0E-8,0.000000,0.906729,0.000000,,2026-05-06,2026-05-10,5,34,12,5,1.000000,,,0.000000,4,0.008307372793354102,0.9823468328141225,0.9823468328141225,0.6791277258566978,0.6791277258566978,0.6578073089700996,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.06844848,A 净亏最大十分位 · 优先复核,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
A_主群,5501993191,146336386,2026-07-14,2026-07-15 08:44:08,7,114710001,Banker,0,1,N,4298,610.00000000,3.87330000,610.00000000,0E-8,0E-8,0E-8,610.00000000,610.00000000,2026-07-15 08:44:51,2026-07-15 10:52:45,380823.7442,339007.4142,-9583.3799,3120,2084,0.02516487,,0.02516487,0.02516487,9583.3799,380823.7442,OK,0.0000,-383.3352,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-383.3352,-383.3352,-383.3352,-479.1690,-479.1690,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-2108.3436,-1931.2979,-7475.0363,-7652.082,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-9200.0447,325447.1176,-9583.3799,-9200.0447,-383.3352,-0.02516487,-0.02415827,-383.3352,-9200.0447,-0.02415827,-383.3352,-383.3352,-383.3352,-479.1690,-479.1690,-9200.0447,-0.02415827,-2108.3436,-1931.2979,-7475.0363,-7652.082,-0.01962860,-0.0200935,-0.00100659,122.0589,162.6715,-4.5986,-145.2027,-11.2481,5770.0567,31.5758,,122.0589,5.2663,84.2615,185.888,262.942,387.2667,612.2828,66.2196,-5.1431,4.596008,7.266458,1.448572,29,165,32,8,0E-8,-0.02516487,,0E-8,0.000000,0.890195,0.000000,,2026-03-24,2026-08-06,66,852,531,136,0.485294,,1.190736,2.387834,5,0.009345794392523364,0.9376947040498442,0.9376947040498442,0.818276220145379,0.818276220145379,0.8062015503875969,n_rounds>=30,964,904,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.04078785,A 净亏最大十分位 · 优先复核,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
