bet_side,n_rounds,n_push,push_rate,p_base_dnb,p_base_incl,stake,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost_a,agent_cost_b,agent_cost_valid_base,agent_pct,ngr,net_margin_a,net_margin_b,ngr_rate,net_margin_a_rate,net_margin_b_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
ANYPAIR,153193,1,0.0000065,0.1439109,0.1439100,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,1,1
BANKER,46478184,4408036,0.0948410,0.5066782,0.4586244,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,2,1
BANKERDRAGONBONUS,205408,3710,0.0180616,0.2874595,0.2822675,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,3,1
BANKERNATURAL,61688,1149,0.0186260,0.1685360,0.1653968,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,4,1
BEAR8,1,1,1.0000000,,0E-7,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,5,1
BIG,80110,1,0.0000125,0.6235254,0.6235177,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,6,1
BPAIR,5867803,33,0.0000056,0.0746880,0.0746876,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,7,1
LUCKY7,4348061,27,0.0000062,0.0815750,0.0815745,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,8,1
LUCKY7TWOCARD,1,1,1.0000000,,0E-7,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,0.0,0.0,Z 证据不足 · 不动作,9,1
PERFECTPAIR,353630,2,0.0000057,0.0338237,0.0338235,,,,,,,,,,,,NULL_DENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,10,1
