table_id,table_flag,n_shoes,n_shoes_old,n_shoes_delta,avg_max_round,avg_max_round_old,avg_maxround_inflation,sd_max_round,min_max_round,ceiling_observed,ceiling_old,p50_max_round,p90_max_round,p99_max_round,collision_flag,n_stub_shoes,avg_gap,avg_n_bettors,avg_bets_per_round,round_at_pos080,corr_len_density,corr_density_lo95,corr_density_hi95,corr_density_verdict,corr_len_bettors,corr_bettors_lo95,corr_bettors_hi95,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_late,roi_non_late,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_late,avg_stake_non_late,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_late,hold_rate,hold_rate_late,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_late,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_late,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
900,正常,72,70,2,55.5556,56.3857,0.8302,6.5109,5,62,62,56.0,59.0,61.56,—,1,2.0278,158.9722,11.7433,44.44,0.185927,-0.047801,0.400351,CI 跨 0：方向不可读,0.315099,0.090001,0.50957,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,-0.00831897,0.01684868,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-B-v1,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,95.0023,103.8448,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0.18127953,-0.01228630,0.00831897,0.00050979,0.034504,0.909045,0.072623,-0.02516765,2026-03-23,2026-03-26,4,70,4,4,1.000000,0.914849,,0.000000,1,1.0,1.0,0.0,A 平台净亏首位 · 立即处置,1,1
909,正常,3370,3268,102,51.3208,52.0823,0.7615,6.2283,1,62,62,52.0,56.0,59.0,—,11,2.8591,117.5487,8.8864,41.06,0.075863,0.042206,0.109347,CI > 0：低估假说得证,0.280013,0.248599,0.310839,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8976,56.9754,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.840031,92.9522,6.556589,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9655172413793104,0.9655172413793104,0.1724137931034483,A 平台净亏首位 · 立即处置,2,1
911,正常,3349,3245,104,51.3362,52.1393,0.8031,6.6489,1,65,65,52.0,56.0,59.0,—,19,2.9689,112.3389,8.4083,41.07,0.104493,0.070873,0.137875,CI > 0：低估假说得证,0.31447,0.283621,0.344669,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9441,203.8634,403.6872,1604.3322,12.9729,-2.1082,22.337166,88.772281,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9310344827586207,0.896551724137931,0.10344827586206896,A 平台净亏首位 · 立即处置,3,1
913,正常,3289,3193,96,51.1614,51.9258,0.7643,6.5245,1,64,64,52.0,56.0,59.0,—,17,2.9082,110.5564,8.4145,40.93,0.10166,0.067717,0.135367,CI > 0：低估假说得证,0.302043,0.27066,0.332786,150783426.8399,136305207.1196,2411304.8160,1369462,158705,-0.01599184,-0.02229893,-0.01434785,-0.01647852,-2411304.8160,150783426.8399,OK,73382.7302,115325.0125,3.9958,96.0042,AG03-B-v1,2295979.8035,130763354.7255,2337922.0858,2222597.0733,41942.2823,0.01550517,0.01474033,0.00027816,110.1041,858.8589,15.1936,17994.8121,755.1847,1125249.4540,1184.3657,108.2859,110.5881,5.1636,17.0416,52.8982,200.0,389.1858,1500.0,12.9089,-2.1141,22.837423,88.019997,6.46091,1,1,193110,16,0.20676336,0.01599184,0.02229893,0.00053837,0.041811,0.903980,0.079592,-0.00795108,2026-03-26,2026-08-06,134,3193,134,134,1.000000,0.979182,1.085812,0.854209,1,0.896551724137931,0.5862068965517241,0.034482758620689655,E 常规,4,1
907,正常,3248,3148,100,51.0748,51.8034,0.7286,6.084,1,64,64,52.0,55.0,58.0,—,10,2.7087,122.3565,9.1755,40.86,0.086178,0.051939,0.120215,CI > 0：低估假说得证,0.280624,0.248631,0.312006,175033829.7666,157211201.3423,2588644.6946,1474127,157093,-0.01478940,-0.02345678,-0.01250961,-0.01531611,-2588644.6946,175033829.7666,OK,92193.2945,95455.7322,3.9989,96.0011,AG03-B-v1,2493188.9624,150817920.0415,2496451.4001,2400995.6679,3262.4377,0.01426268,0.01371732,0.00001864,118.7373,1000.7524,16.4784,19034.1522,822.3141,1287013.4542,1155.0956,118.1987,118.8798,5.1636,17.9083,57.0904,202.0603,407.4237,1663.6167,12.9089,-2.1082,22.750569,92.896483,6.630299,1,1,206444,16,0.20825353,0.01478940,0.02345678,0.00058643,0.044662,0.898176,0.082220,-0.01094717,2026-03-23,2026-08-06,136,3148,136,137,0.992701,0.994271,1.022181,0.825623,2,0.8620689655172413,0.6551724137931034,0.20689655172413793,E 常规,5,1
903,正常,3366,3262,104,51.437,52.1453,0.7083,6.0414,1,62,62,52.0,56.0,59.0,—,7,2.3229,137.6889,10.6248,41.15,0.078773,0.045109,0.112259,CI > 0：低估假说得证,0.282097,0.250702,0.3129,209661407.0203,188682373.6949,2716054.8836,1787564,165318,-0.01295448,-0.00730508,-0.01442853,-0.01341573,-2716054.8836,209661407.0203,OK,96705.4869,109541.6961,4.0020,95.9980,AG03-B-v1,2606513.1875,181030658.7689,2619349.3967,2509807.7006,12836.2092,0.01249324,0.01197077,0.00006122,117.2889,1141.3299,16.4293,19825.2181,832.6349,1530375.2337,1206.7007,115.6347,117.7283,5.1636,17.0833,55.1578,200.0,400.0,1663.6167,12.9089,-2.1082,23.41472,97.382796,6.865716,1,1,235413,16,0.20692927,0.01295448,0.00730508,0.00051253,0.043292,0.899939,0.081387,0.00712346,2026-03-23,2026-08-06,137,3262,137,137,1.000000,0.982216,1.021325,0.764678,2,0.8275862068965517,0.8620689655172413,0.3448275862068966,E 常规,6,1
902,正常,3420,3313,107,51.0678,51.8563,0.7885,6.0412,2,63,63,52.0,55.0,58.3,—,10,2.138,142.5605,11.1648,40.85,0.083266,0.049888,0.116458,CI > 0：低估假说得证,0.290125,0.259128,0.320525,215332582.1774,193496056.4377,2838457.2274,1901412,167340,-0.01318174,-0.01270867,-0.01330513,-0.01367487,-2838457.2274,215332582.1774,OK,106187.3809,121693.0081,4.0034,95.9966,AG03-B-v1,2716764.2193,185626433.2050,2732269.8465,2610576.8385,15505.6272,0.01268860,0.01212346,0.00007201,113.2488,1156.3049,16.9622,20718.6659,856.7634,1571770.6728,1221.4599,110.4549,114.0009,5.1636,17.0416,54.2271,200.0,400.0,1583.4701,12.9089,-2.1082,23.471999,92.918022,6.645438,1,1,245555,16,0.20687535,0.01318174,0.01270867,0.00054878,0.044397,0.898592,0.081721,0.00059646,2026-03-23,2026-08-06,137,3313,137,137,1.000000,0.968895,1.041293,0.756022,2,0.7931034482758621,0.7931034482758621,0.3793103448275862,E 常规,7,1
910,正常,3376,3281,95,51.4449,52.224,0.7791,6.5355,1,62,62,52.0,56.0,59.0,—,14,2.8392,114.6179,8.5174,41.16,0.083922,0.05033,0.117324,CI > 0：低估假说得证,0.304894,0.273977,0.335181,168291707.2981,151450628.1530,2936820.0972,1431874,164093,-0.01745077,-0.02856416,-0.01455716,-0.01795207,-2936820.0972,168291707.2981,OK,84364.7789,124290.6621,3.9983,96.0017,AG03-B-v1,2812529.4351,145295421.7089,2852455.3183,2728164.6562,39925.8832,0.01694947,0.01621093,0.00023724,117.5325,922.9561,17.8973,21436.6430,895.0991,1228406.6226,1197.7591,115.4549,118.0858,5.1636,18.3232,59.1127,204.3903,415.429,1663.6167,12.9729,-2.1082,22.672297,90.792912,6.414408,1,1,200520,16,0.20658323,0.01745077,0.02856416,0.00055704,0.043296,0.899929,0.082333,-0.01400700,2026-03-23,2026-08-06,137,3281,137,137,1.000000,0.977721,0.990050,0.754759,1,0.7586206896551724,0.4482758620689655,0.13793103448275862,E 常规,8,1
912,正常,3338,3236,102,51.5093,52.2648,0.7555,6.3156,1,110,110,52.0,56.0,59.0,碰撞可疑,13,3.0219,111.4862,8.3291,41.21,0.077431,0.043619,0.111065,CI > 0：低估假说得证,0.277026,0.245407,0.308057,152110191.0536,137294893.1167,3099034.3694,1380059,161851,-0.02037361,-0.00495211,-0.02446321,-0.02087848,-3099034.3694,152110191.0536,OK,76794.6005,122826.9462,3.9959,96.0041,AG03-B-v1,2976207.4232,131711411.8940,3022239.7688,2899412.8226,46032.3457,0.01986875,0.01906127,0.00030262,110.2201,848.2795,19.1475,22620.6888,957.6744,1110293.3654,1181.3942,109.5350,110.4032,5.1636,17.6075,55.0244,200.0026,400.0,1507.7349,12.9706,-2.1082,22.717557,85.630133,6.259827,1,1,195258,16,0.20960335,0.02037361,0.00495211,0.00055934,0.042265,0.902602,0.079922,0.01951110,2026-03-23,2026-08-06,137,3236,137,137,1.000000,0.992137,1.015007,0.765660,1,0.7241379310344828,0.1724137931034483,0.06896551724137931,E 常规,9,1
906,正常,3387,3285,102,51.4234,52.1132,0.6899,6.0527,1,64,64,52.0,56.0,59.0,—,6,2.6053,126.7089,9.5676,41.14,0.061358,0.027736,0.094842,CI > 0：低估假说得证,0.281741,0.250438,0.312456,188062809.9455,169528482.4267,3497221.4701,1610340,165347,-0.01859603,-0.01321225,-0.01997560,-0.01906997,-3497221.4701,188062809.9455,OK,89131.4122,145070.6415,3.9997,96.0003,AG03-B-v1,3352150.8286,162648085.4335,3408090.0579,3263019.4164,55939.2293,0.01812208,0.01735069,0.00029745,116.7845,1025.2891,21.1508,25527.1640,1064.6032,1372721.2405,1206.9124,112.5121,117.9321,5.1636,17.5868,57.0867,203.5751,406.0454,1661.6052,12.9089,-2.1082,23.088094,94.480322,6.640471,1,1,219783,16,0.20397729,0.01859603,0.01321225,0.00052576,0.043468,0.901446,0.082806,0.00676334,2026-03-23,2026-08-06,137,3285,137,137,1.000000,0.954041,1.025485,0.766349,2,0.6896551724137931,0.3103448275862069,0.27586206896551724,E 常规,10,1
