dealer_id,平均每局秒数,局速,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2254,45.153064129042974,79.72880843062073,46888869.9563,42092466.3623,-547598.3228,424742,20512,0.01167864,0.04193968,0.00416567,0.01115624,547598.3228,46888869.9563,OK,24494.9455,-24345.9894,4.0135,95.9865,AG03-B-v1,-523252.3334,40347157.3563,-572093.2682,-547747.2789,-48840.9348,-0.01220105,-0.01168182,-0.00104163,110.3938,2052.0898,-26.6965,-6017.5640,-393.3896,515262.3072,225.4066,98.6320,113.7618,5.137,15.4907,52.6569,187.2299,385.7269,1498.0454,12.8426,-2.5685,24.900597,96.706319,7.126469,5,1,71608,16,0.19889269,-0.01167864,-0.04193968,0.00058193,0.040545,0.897707,0.087849,0.03777401,2026-03-21,2026-08-06,91,1392,194,139,0.654676,0.867004,0.893456,0.662976,3,1.0,0.8590604026845637,0.5469798657718121,A 平台净亏首位 · 立即处置,1,1
529,27.47902611051322,131.0090097633654,71477950.3746,64637589.3337,-274865.4111,695125,30592,0.00384546,-0.00355339,0.00620943,0.00302180,274865.4111,71477950.3746,OK,58873.4458,-7339.0808,4.0131,95.9869,AG03-B-v1,-267526.3303,61961157.9251,-333738.8569,-326399.7761,-66212.5265,-0.00466912,-0.00456644,-0.00092633,102.8275,2112.8919,-8.9849,-2545.0501,-163.4158,661832.8738,283.2593,114.4658,99.5921,5.0,13.9065,51.6356,170.2507,326.5317,1369.7006,12.4508,-2.1082,23.480496,98.493504,7.394199,7,1,102825,16,0.24214025,-0.00384546,0.00355339,0.00091082,0.041239,0.904301,0.077475,-0.00976282,2026-03-22,2026-08-06,108,1682,238,138,0.782609,1.149346,1.113183,0.807134,4,0.9966442953020134,0.8187919463087249,0.7785234899328859,A 平台净亏首位 · 立即处置,2,1
2210,47.16133113132635,76.3337232779832,4772532.6239,4358866.1556,-245112.2876,42258,2044,0.05135895,0.05483705,0.04620933,0.05085065,245112.2876,4772532.6239,OK,2425.8856,-10306.5367,3.9872,96.0128,AG03-B-v1,-234805.7509,4182377.7096,-247538.1732,-237231.6365,-12732.4223,-0.05186726,-0.04970770,-0.00266785,112.9380,2132.5177,-119.9179,-17508.0205,-1871.0862,340895.1874,146.0000,128.9884,95.3679,5.0,16.3039,52.3519,179.7961,350.0,1400.0,12.8578,-2.5685,21.467272,85.869087,6.927057,6,1,8446,16,0.59686981,-0.05135895,-0.05483705,0.00055654,0.046032,0.913323,0.096290,0.00862771,2026-04-20,2026-08-03,14,131,22,106,0.132076,1.352535,1.142118,1.989566,3,0.9932885906040269,0.9630872483221476,0.46308724832214765,A 平台净亏首位 · 立即处置,3,1
2178,27.557341349092514,130.63669511494987,5319130.7611,4787035.8597,-229932.3509,49621,2747,0.04322743,0.03046211,0.05131164,0.04268987,229932.3509,5319130.7611,OK,2859.3683,-8838.4553,4.0009,95.9991,AG03-B-v1,-221093.8956,4591211.9476,-232791.7192,-223953.2639,-11697.8236,-0.04376499,-0.04210336,-0.00219920,107.1952,1742.6414,-83.7031,-12774.0195,-1543.1701,295507.2645,152.6111,115.4395,102.5567,5.1431,16.3265,52.1752,173.2598,352.485,1457.0383,12.8735,-2.1006,21.589707,89.243599,6.565703,9,1,8332,16,0.38774055,-0.04322743,-0.03046211,0.00059731,0.040173,0.899966,0.081921,-0.02084953,2026-03-22,2026-08-05,18,149,24,137,0.131387,1.125617,1.076910,1.292468,3,0.9899328859060402,0.9463087248322147,0.47315436241610737,A 平台净亏首位 · 立即处置,4,1
1060,47.76133025000387,75.37478502286288,2195676.8314,1976972.6661,-202952.0086,18357,918,0.09243255,0.03022162,0.15715578,0.09197501,202952.0086,2195676.8314,OK,1004.6179,-7544.1651,3.9957,96.0043,AG03-B-v1,-195407.8435,1897674.5218,-203956.6265,-196412.4614,-8548.7830,-0.09289009,-0.08945418,-0.00389346,119.6098,2153.5650,-221.0806,-33825.3348,-3690.0365,365946.1386,153.0000,108.7592,133.4627,4.2165,13.6981,52.3519,200.0,388.8907,1351.2753,10.5412,-2.1082,28.390182,98.647138,8.731872,4,1,3689,16,0.50989607,-0.09243255,-0.03022162,0.00050816,0.043008,0.900393,0.088468,-0.12693415,2026-04-09,2026-08-05,6,55,9,119,0.050420,0.814903,0.909283,1.699654,2,0.9865771812080537,0.9832214765100671,0.2348993288590604,A 平台净亏首位 · 立即处置,5,1
2092,41.68734377638023,86.35714521201362,3453657.3149,3113090.7316,-165221.7229,30820,1592,0.04783964,0.07062422,0.04330755,0.04683263,165221.7229,3453657.3149,OK,3477.8544,-6353.5098,4.0284,95.9716,AG03-B-v1,-158868.2131,2984540.8680,-168699.5772,-162346.0675,-9831.3642,-0.04884665,-0.04700700,-0.00284665,112.0590,1955.4590,-103.7825,-13768.4769,-1604.0944,287804.7762,132.6667,147.9458,106.9011,5.1431,17.0416,54.3685,202.8528,400.0,1704.1582,12.8578,-2.1082,23.471999,100.0,6.57562,5,1,6448,16,0.16590939,-0.04783964,-0.07062422,0.00111717,0.050328,0.901390,0.083809,0.02731668,2026-04-27,2026-07-23,12,103,19,88,0.136364,1.383951,1.320250,0.553031,2,0.9832214765100671,0.9530201342281879,0.36577181208053694,A 平台净亏首位 · 立即处置,6,1
2118,27.51753851122853,130.8256550102045,4041621.8605,3681838.0778,-156030.1842,34968,1622,0.03860583,0.10951142,-0.01271458,0.03792404,156030.1842,4041621.8605,OK,2755.5373,-6375.8684,4.0191,95.9809,AG03-B-v1,-149654.3158,3528067.9216,-158785.7216,-152409.8532,-9131.4057,-0.03928762,-0.03771007,-0.00225934,115.5806,2269.9372,-96.1962,-17336.6871,-1659.8956,449069.0956,180.2222,122.2712,111.1774,5.0,15.7357,54.3489,204.3903,408.1075,1699.707,12.8578,-2.1006,25.935159,108.016086,7.345126,5,1,6430,16,0.41988131,-0.03860583,-0.10951142,0.00074841,0.041455,0.910980,0.080817,0.12222600,2026-03-24,2026-08-05,9,94,13,135,0.066667,1.099784,1.057887,1.399604,3,0.9798657718120806,0.9429530201342282,0.4161073825503356,A 平台净亏首位 · 立即处置,7,1
1267,46.57005127606298,77.30289963950288,2149100.2546,1919787.8496,-146149.2051,16703,910,0.06800483,,0.06800483,0.06712176,146149.2051,2149100.2546,OK,1897.8227,-6804.9817,4.0966,95.9034,AG03-B-v1,-139344.2234,1837046.3125,-148047.0278,-141242.0461,-8702.8043,-0.06888791,-0.06572148,-0.00404951,128.6655,2109.6570,-160.6035,-29229.8410,-2519.8139,429820.0509,182.0000,,128.6655,5.1081,17.5331,61.3171,245.136,529.1724,1928.6403,13.088,-2.2009,30.181345,109.999993,7.338438,3,1,3612,16,0E-8,-0.06800483,,0.00098856,0.057098,0.893298,0.092379,,2026-03-27,2026-07-06,5,58,9,102,0.049020,,,0.000000,2,0.9765100671140939,0.9798657718120806,0.2181208053691275,A 平台净亏首位 · 立即处置,8,1
2273,27.562042138872155,130.61441463086425,1145784.1160,997168.2972,-145715.9784,9399,465,0.12717577,0.10367345,0.13515192,0.12677389,145715.9784,1145784.1160,OK,460.4700,-5841.8899,4.0294,95.9706,AG03-B-v1,-139874.0885,956613.1141,-146176.4484,-140334.5584,-6302.3599,-0.12757765,-0.12247906,-0.00550048,121.9049,2144.4480,-313.3677,-36428.9946,-5204.1421,286446.0290,116.2500,93.9559,135.5936,4.2165,16.8659,52.833,189.7413,340.8549,1732.0435,12.4629,-2.0439,20.209712,102.695026,7.227894,4,1,1853,14,0.25338441,-0.12717577,-0.10367345,0.00046178,0.045175,0.870293,0.069795,-0.03147847,2026-04-08,2026-07-19,4,28,5,103,0.038835,0.692923,0.770731,0.844615,1,0.9731543624161074,0.9899328859060402,0.10738255033557047,A 平台净亏首位 · 立即处置,9,1
1687,44.39330442510621,81.09331005249643,2697492.9575,2386349.2027,-132072.6369,19456,892,0.04896125,0.05208486,0.04645008,0.04862314,132072.6369,2697492.9575,OK,912.0458,-6107.8908,3.9813,96.0187,AG03-B-v1,-125964.7461,2283041.7307,-132984.6827,-126876.7920,-7019.9366,-0.04929936,-0.04703508,-0.00260239,138.6458,2675.2794,-148.0635,-16509.0796,-2096.3911,337186.6197,111.5000,108.0587,179.4910,4.2012,14.3073,53.0251,200.0,413.3598,1973.1649,10.5031,-2.1006,28.891488,137.91295,9.69055,6,1,3839,15,0.44565577,-0.04896125,-0.05208486,0.00038219,0.050771,0.884654,0.100792,0.00563478,2026-03-21,2026-08-04,8,63,11,137,0.058394,0.602029,0.779387,1.485519,2,0.9697986577181208,0.9563758389261745,0.28187919463087246,A 平台净亏首位 · 立即处置,10,1
