agent_level,agent_id,top_agent_id,parent_agent_id,is_test_line,n_bets_all,n_bets_prod,n_bets_testline,n_members_all,n_members_prod,active_days,first_seen,last_seen,own_share_pct_unw,own_share_pct_w,pct_complement,pct_top_bet23,stake,valid_bet,profit,rebate_cost,cost_complement_b,cost_ownshare_a,ngr,residual_b,residual_a,hold_rate,stake_testline_audit,profit_testline_audit,agent_status,agent_formula_version,audit_rn,batch_id
1,19418,19418,,0,31389,31389,0,204,204,91,2026-03-21,2026-06-19,0.000000,0.000000,5.000000,95.000000,38147562.9906,34703888.2888,-248855.6460,347038.8829,-12442.7823,0.0000,-595894.5289,-583451.7466,-595894.5289,-0.00652350,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,1,1
1,7595,7595,,0,208850,208850,0,265,265,139,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,18423391.0000,16699159.5000,-486673.2500,0.0000,-19466.9300,0.0000,-486673.2500,-467206.3200,-486673.2500,-0.02641605,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,2,1
1,44846,44846,,0,603981,603981,0,5714,5714,139,2026-03-21,2026-08-06,0.000000,0.000000,5.000000,95.000000,66755478.2723,60564533.2958,333869.6794,545080.6106,16693.4840,0.0000,-211210.9312,-227904.4152,-211210.9312,0.00500138,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,3,1
1,10150,10150,,0,929,929,0,30,30,37,2026-03-24,2026-08-02,0.000000,0.000000,4.000000,96.000000,878083.0000,748426.0000,-140482.9500,0.0000,-5619.3180,0.0000,-140482.9500,-134863.6320,-140482.9500,-0.15998824,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,4,1
1,39570,39570,,0,116672,116672,0,1024,1024,139,2026-03-21,2026-08-06,0.000000,0.000000,6.000000,94.000000,20588137.1768,18509872.8353,908.2861,55529.5957,54.4972,0.0000,-54621.3096,-54675.8068,-54621.3096,0.00004412,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,5,1
1,7604,7604,,0,8948,8948,0,65,65,109,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,2720924.5093,2458977.7220,-40096.2321,0.0000,-1603.8493,0.0000,-40096.2321,-38492.3828,-40096.2321,-0.01473625,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,6,1
1,30410,30410,,0,3156,3156,0,11,11,36,2026-04-30,2026-07-10,0.000000,0.000000,3.000000,97.000000,448092.5653,402981.0518,-17933.9603,0.0000,-538.0188,0.0000,-17933.9603,-17395.9415,-17933.9603,-0.04002289,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,7,1
1,14380,14380,,0,2743,2743,0,27,27,59,2026-03-23,2026-08-06,0.500000,0.500000,4.000000,96.000000,346460.0614,309134.7406,-17462.5220,0.0000,-698.5009,-87.3126,-17462.5220,-16764.0211,-17375.2094,-0.05040270,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,8,1
1,15230,15230,,0,24100,24100,0,141,141,136,2026-03-21,2026-08-06,0.000000,0.000000,6.000000,94.000000,1315512.2718,1197010.8355,-1702.3086,9576.0867,-102.1385,0.0000,-11278.3953,-11176.2568,-11278.3953,-0.00129403,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,9,1
1,40207,40207,,0,621,621,0,32,32,65,2026-03-25,2026-08-04,0.000000,0.000000,4.000000,96.000000,54148.3367,49892.3352,-2926.5580,0.0000,-117.0623,0.0000,-2926.5580,-2809.4957,-2926.5580,-0.05404705,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,10,1
