dealer_id,平均每局秒数,局速,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2254,45.223433105111475,79.60474808784701,46585309.3132,41797584.7326,-533488.2972,421841,20512,0.01145186,0.04193968,0.00382091,0.01092752,533488.2972,46585309.3132,OK,24426.1660,-23753.3146,4.0144,95.9856,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-23753.3146,-27398.4541,-54485.6159,-64649.2201,-4270.4441,4.014431,4.059159,4.310150,4.790198,4.549992,95.985569,95.940841,95.689850,95.209802,95.450008,4.9843,-174557.0488,-149816.6883,-383357.4145,-408097.775,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-509734.9827,40064454.6619,-557914.4633,-534161.1487,-48179.4806,-0.01197619,-0.01146630,-23753.3146,-534161.1487,-0.01146630,-23753.3146,-27398.4541,-54485.6159,-64649.2201,-4270.4441,-534161.1487,-0.01146630,-174557.0488,-149816.6883,-383357.4145,-408097.775,-0.00822915,-0.00876022,-0.00103422,110.4333,2037.7138,-26.0086,-5862.5088,-383.2531,511926.4760,225.4066,98.7479,113.8041,5.137,15.4907,52.6635,187.4103,385.733,1499.911,12.8426,-2.5685,24.900995,96.826752,7.129024,5,1,71601,16,0.20018871,-0.01145186,-0.04193968,0.00058439,0.040359,0.897227,0.087583,0.03811877,2026-03-21,2026-08-06,91,1392,194,139,0.654676,0.867701,0.894186,0.667296,3,0.0,0.8523489932885906,0.8523489932885906,0.5469798657718121,0.5469798657718121,0.53125,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01300097,A 净亏最大十分位 · 优先复核,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
529,27.487130118306812,130.97038448558695,71084020.9604,64303946.2391,-265685.8195,689996,30592,0.00373763,-0.00382147,0.00616959,0.00291067,265685.8195,71084020.9604,OK,58783.6738,-7037.6635,4.0136,95.9864,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-7037.6635,-8615.0479,2528.6323,5840.8346,2788.2781,4.013602,4.052026,4.272869,4.718369,4.539992,95.986398,95.947974,95.727131,95.281631,95.460008,4.9936,-4494.9664,-12383.4101,-319974.5269,-312086.0831,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-258648.1560,61640918.7009,-324469.4933,-317431.8298,-65821.3372,-0.00456459,-0.00446559,-7037.6635,-317431.8298,-0.00446559,-7037.6635,-8615.0479,2528.6323,5840.8346,2788.2781,-317431.8298,-0.00446559,-4494.9664,-12383.4101,-319974.5269,-312086.0831,-0.00450136,-0.00439038,-0.00092597,103.0209,2101.9857,-8.6848,-2460.0539,-157.9583,658185.3793,283.2593,114.4585,99.8120,5.0,14.1385,51.6356,170.2707,328.0781,1376.5343,12.4629,-2.1082,23.204523,97.360432,7.286532,7,1,102818,16,0.24341346,-0.00373763,0.00382147,0.00091415,0.041357,0.904619,0.077628,-0.00999106,2026-03-22,2026-08-06,108,1682,238,138,0.782609,1.146741,1.111022,0.811378,4,0.003355704697986577,0.8154362416107382,0.8154362416107382,0.7751677852348994,0.7751677852348994,0.7673611111111112,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01064574,A 净亏最大十分位 · 优先复核,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2210,47.26588239004936,76.1648744921747,4772532.3352,4358865.9067,-245112.2358,42223,2044,0.05135895,0.05483703,0.04620933,0.05085065,245112.2358,4772532.3352,OK,2425.8836,-10306.5367,3.9905,96.0095,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-10306.5367,-10003.9866,-10343.7322,-11516.0435,-12006.2077,3.990467,4.042808,4.244052,4.590942,4.482314,96.009533,95.957192,95.755948,95.409058,95.517686,4.9896,-54176.5067,-49230.2121,-193361.6126,-198307.9072,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-234805.6991,4182377.4607,-247538.1194,-237231.5827,-12732.4203,-0.05186725,-0.04970770,-10306.5367,-237231.5827,-0.04970770,-10306.5367,-10003.9866,-10343.7322,-11516.0435,-12006.2077,-237231.5827,-0.04970770,-54176.5067,-49230.2121,-193361.6126,-198307.9072,-0.04051552,-0.04155193,-0.00266785,113.0316,2132.5176,-119.9179,-17508.0168,-1871.0858,340895.1668,146.0000,129.1932,95.3679,5.0,16.3512,52.3519,179.7961,350.0,1400.0,12.8578,-2.5685,21.405124,85.620497,6.912729,6,1,8443,16,0.59686979,-0.05135895,-0.05483703,0.00055654,0.045407,0.913323,0.096369,0.00862770,2026-04-20,2026-08-03,14,131,22,106,0.132076,1.354682,1.142983,1.989566,3,0.006711409395973154,0.9664429530201343,0.9664429530201343,0.46308724832214765,0.46308724832214765,0.4444444444444444,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.04118502,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2178,27.564419504969052,130.6031494460105,5319130.7406,4787035.8392,-229932.3388,49617,2747,0.04322743,0.03046210,0.05131164,0.04268986,229932.3388,5319130.7406,OK,2859.3681,-8838.4553,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-8838.4553,-9916.6029,-10225.7557,-2656.9978,-11276.1096,4.001270,4.033940,4.265129,4.876932,4.618543,95.998730,95.966060,95.734871,95.123068,95.381457,4.9956,-42913.9214,-39034.9245,-189877.7855,-193756.7823,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-221093.8834,4591211.9270,-232791.7069,-223953.2515,-11697.8235,-0.04376499,-0.04210336,-8838.4553,-223953.2515,-0.04210336,-8838.4553,-9916.6029,-10225.7557,-2656.9978,-11276.1096,-223953.2515,-0.04210336,-42913.9214,-39034.9245,-189877.7855,-193756.7823,-0.03569715,-0.0364264,-0.00219920,107.2038,1742.6414,-83.7031,-12774.0188,-1543.1701,295507.2634,152.6111,115.4654,102.5567,5.1431,16.3265,52.2092,173.2652,352.485,1457.4897,12.8828,-2.1006,21.589707,89.271248,6.566233,9,1,8331,16,0.38774054,-0.04322743,-0.03046210,0.00059731,0.040111,0.899966,0.081928,-0.02084953,2026-03-22,2026-08-05,18,149,24,137,0.131387,1.125869,1.077064,1.292468,3,0.010067114093959731,0.9496644295302014,0.9496644295302014,0.47315436241610737,0.47315436241610737,0.4548611111111111,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.03552633,A 净亏最大十分位 · 优先复核,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1060,47.87279146272327,75.19929149740899,2195676.8314,1976972.6661,-202952.0086,18357,918,0.09243255,0.03022162,0.15715578,0.09197501,202952.0086,2195676.8314,OK,1004.6179,-7544.1651,3.9957,96.0043,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-7544.1651,-7382.0633,-7696.2471,-10817.3773,-10859.8350,3.995696,4.051316,4.294291,4.635101,4.588808,96.004304,95.948684,95.705709,95.364899,95.411192,4.9782,-44299.6879,-40630.8761,-159656.9386,-163325.7504,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-195407.8435,1897674.5218,-203956.6265,-196412.4614,-8548.7830,-0.09289009,-0.08945418,-7544.1651,-196412.4614,-0.08945418,-7544.1651,-7382.0633,-7696.2471,-10817.3773,-10859.8350,-196412.4614,-0.08945418,-44299.6879,-40630.8761,-159656.9386,-163325.7504,-0.07271422,-0.07438515,-0.00389346,119.6098,2153.5650,-221.0806,-33825.3348,-3690.0365,365946.1386,153.0000,108.7592,133.4627,4.2165,13.6981,52.3519,200.0,388.8907,1351.2753,10.5412,-2.1082,28.390182,98.647138,8.731872,4,1,3689,16,0.50989607,-0.09243255,-0.03022162,0.00050816,0.043008,0.900393,0.088468,-0.12693415,2026-04-09,2026-08-05,6,55,9,119,0.050420,0.814903,0.909283,1.699654,2,0.013422818791946308,0.9832214765100671,0.9832214765100671,0.2348993288590604,0.2348993288590604,0.20833333333333334,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.06145516,A 净亏最大十分位 · 优先复核,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2092,41.69076148096166,86.35006586876474,3453657.3149,3113090.7316,-165221.7229,30820,1592,0.04783964,0.07062422,0.04330755,0.04683263,165221.7229,3453657.3149,OK,3477.8544,-6353.5098,4.0284,95.9716,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-6353.5098,-6097.8374,-3045.6908,-4168.9171,-5369.9640,4.028407,4.087135,4.311093,4.690717,4.404721,95.971593,95.912865,95.688907,95.309283,95.595279,4.9809,-25035.9191,-24322.326,-143663.6581,-144377.2512,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-158868.2131,2984540.8680,-168699.5772,-162346.0675,-9831.3642,-0.04884665,-0.04700700,-6353.5098,-162346.0675,-0.04700700,-6353.5098,-6097.8374,-3045.6908,-4168.9171,-5369.9640,-162346.0675,-0.04700700,-25035.9191,-24322.326,-143663.6581,-144377.2512,-0.04159754,-0.04180416,-0.00284665,112.0590,1955.4590,-103.7825,-13768.4769,-1604.0944,287804.7762,132.6667,147.9458,106.9011,5.1431,17.0416,54.3685,202.8528,400.0,1704.1582,12.8578,-2.1082,23.471999,100.0,6.57562,5,1,6448,16,0.16590939,-0.04783964,-0.07062422,0.00111717,0.050328,0.901390,0.083809,0.02731668,2026-04-27,2026-07-23,12,103,19,88,0.136364,1.383951,1.320250,0.553031,2,0.016778523489932886,0.9563758389261745,0.9563758389261745,0.3691275167785235,0.3691275167785235,0.3472222222222222,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.04666681,A 净亏最大十分位 · 优先复核,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2118,27.52672901052703,130.78197553451608,4041621.8605,3681838.0778,-156030.1842,34968,1622,0.03860583,0.10951142,-0.01271458,0.03792404,156030.1842,4041621.8605,OK,2755.5373,-6375.8684,4.0191,95.9809,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-6375.8684,-6512.9632,-8935.1502,-7395.5930,-7104.4300,4.019060,4.047858,4.405522,4.855291,4.511010,95.980940,95.952142,95.594478,95.144709,95.488990,4.9947,-36324.0047,-31846.3909,-122461.7169,-126939.3306,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-149654.3158,3528067.9216,-158785.7216,-152409.8532,-9131.4057,-0.03928762,-0.03771007,-6375.8684,-152409.8532,-0.03771007,-6375.8684,-6512.9632,-8935.1502,-7395.5930,-7104.4300,-152409.8532,-0.03771007,-36324.0047,-31846.3909,-122461.7169,-126939.3306,-0.03030014,-0.03140802,-0.00225934,115.5806,2269.9372,-96.1962,-17336.6871,-1659.8956,449069.0956,180.2222,122.2712,111.1774,5.0,15.7357,54.3489,204.3903,408.1075,1699.707,12.8578,-2.1006,25.935159,108.016086,7.345126,5,1,6430,16,0.41988131,-0.03860583,-0.10951142,0.00074841,0.041455,0.910980,0.080817,0.12222600,2026-03-24,2026-08-05,9,94,13,135,0.066667,1.099784,1.057887,1.399604,3,0.020134228187919462,0.9429530201342282,0.9429530201342282,0.4161073825503356,0.4161073825503356,0.3958333333333333,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.04623323,A 净亏最大十分位 · 优先复核,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1267,46.66848361781807,77.13985372829892,2149100.2546,1919787.8496,-146149.2051,16703,910,0.06800483,,0.06800483,0.06712176,146149.2051,2149100.2546,OK,1897.8227,-6804.9817,4.0966,95.9034,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-6804.9817,-7991.0595,-5837.9272,-7990.7296,-7495.0100,4.096629,4.133509,4.250811,4.658687,4.627944,95.903371,95.866491,95.749189,95.341313,95.372056,4.9744,-36119.7080,-32538.8421,-111927.3198,-115508.1856,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-139344.2234,1837046.3125,-148047.0278,-141242.0461,-8702.8043,-0.06888791,-0.06572148,-6804.9817,-141242.0461,-0.06572148,-6804.9817,-7991.0595,-5837.9272,-7990.7296,-7495.0100,-141242.0461,-0.06572148,-36119.7080,-32538.8421,-111927.3198,-115508.1856,-0.05208101,-0.05374723,-0.00404951,128.6655,2109.6570,-160.6035,-29229.8410,-2519.8139,429820.0509,182.0000,,128.6655,5.1081,17.5331,61.3171,245.136,529.1724,1928.6403,13.088,-2.2009,30.181345,109.999993,7.338438,3,1,3612,16,0E-8,-0.06800483,,0.00098856,0.057098,0.893298,0.092379,,2026-03-27,2026-07-06,5,58,9,102,0.049020,,,0.000000,2,0.02348993288590604,0.9798657718120806,0.9798657718120806,0.2181208053691275,0.2181208053691275,0.1909722222222222,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.0617247,A 净亏最大十分位 · 优先复核,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2273,27.569319123534385,130.5799386582196,1145784.1160,997168.2972,-145715.9784,9399,465,0.12717577,0.10367345,0.13515192,0.12677389,145715.9784,1145784.1160,OK,460.4700,-5841.8899,4.0294,95.9706,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-5841.8899,-6127.9722,-2904.1117,-348.4218,-4925.2567,4.029365,4.061921,4.279360,4.792366,4.539552,95.970635,95.938079,95.720640,95.207634,95.460448,4.9943,-20147.6524,-22660.8113,-126028.7959,-123515.6371,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-139874.0885,956613.1141,-146176.4484,-140334.5584,-6302.3599,-0.12757765,-0.12247906,-5841.8899,-140334.5584,-0.12247906,-5841.8899,-6127.9722,-2904.1117,-348.4218,-4925.2567,-140334.5584,-0.12247906,-20147.6524,-22660.8113,-126028.7959,-123515.6371,-0.10999349,-0.1078001,-0.00550048,121.9049,2144.4480,-313.3677,-36428.9946,-5204.1421,286446.0290,116.2500,93.9559,135.5936,4.2165,16.8659,52.833,189.7413,340.8549,1732.0435,12.4629,-2.0439,20.209712,102.695026,7.227894,4,1,1853,14,0.25338441,-0.12717577,-0.10367345,0.00046178,0.045175,0.870293,0.069795,-0.03147847,2026-04-08,2026-07-19,4,28,5,103,0.038835,0.692923,0.770731,0.844615,1,0.026845637583892617,0.9899328859060402,0.9899328859060402,0.10738255033557047,0.10738255033557047,0.0763888888888889,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.08634818,A 净亏最大十分位 · 优先复核,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1687,44.44961413333901,80.99057933778224,2697492.6267,2386348.9168,-132072.7257,19417,892,0.04896129,0.05208495,0.04645008,0.04862318,132072.7257,2697492.6267,OK,912.0435,-6107.8908,3.9893,96.0107,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-6107.8908,-6005.2493,-11342.2979,-13988.9342,-1920.5209,3.989262,4.035922,4.267776,4.582139,4.394294,96.010738,95.964078,95.732224,95.417861,95.605706,4.9895,-39364.8930,-35038.9701,-93619.8762,-97945.7991,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-125964.8349,2283041.4448,-132984.7692,-126876.8784,-7019.9343,-0.04929940,-0.04703512,-6107.8908,-126876.8784,-0.04703512,-6107.8908,-6005.2493,-11342.2979,-13988.9342,-1920.5209,-126876.8784,-0.04703512,-39364.8930,-35038.9701,-93619.8762,-97945.7991,-0.03470626,-0.03630994,-0.00260239,138.9243,2675.2791,-148.0636,-16509.0907,-2096.3925,337186.5783,111.5000,108.4388,179.4910,4.2012,14.3073,53.7071,200.0,414.5639,1973.1649,10.5031,-2.1006,28.975647,137.91295,9.710013,6,1,3836,15,0.44565570,-0.04896129,-0.05208495,0.00038219,0.049266,0.884654,0.100994,0.00563487,2026-03-21,2026-08-04,8,63,11,137,0.058394,0.604146,0.780561,1.485519,2,0.030201342281879196,0.959731543624161,0.959731543624161,0.28523489932885904,0.28523489932885904,0.2604166666666667,n_rounds>=30,299,289,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.06234437,A 净亏最大十分位 · 优先复核,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
