dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,stake,valid_bet,profit,n_bets_xagg,n_rounds,roi,roi_late,roi_non_late,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_late,avg_stake_non_late,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_late,hold_rate,hold_rate_late,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_late,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_late,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2026-03-24,900,123647,5,2,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,-0.00831897,0.01684868,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2945.6170,-3676.1466,-4099.6802,-3327.0529,1657.4008,4.017738,4.043980,4.222082,4.810678,4.727304,95.982262,95.956020,95.777918,95.189322,95.272696,4.9939,-12391.0959,-8758.0959,-47543.6754,-51176.6755,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-2945.6170,-56989.1544,-0.01212312,-2945.6170,-3676.1466,-4099.6802,-3327.0529,1657.4008,-56989.1544,-0.01212312,-12391.0959,-8758.0959,-47543.6754,-51176.6755,-0.01011381,-0.01088665,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,95.0023,103.8448,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0.18127953,-0.01228630,0.00831897,0.00050979,0.034504,0.909045,0.072623,-0.02516765,2026-03-23,2026-03-26,4,70,4,4,1.000000,0.914849,,0.000000,1,0.0,1.0,1.0,0.0,0.0,0.0,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L4_CI_3P0,0.02999327,A 净亏最大十分位 · 优先复核,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-25,909,123900,4,1,3,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-31,909,12792,1,1,1,0,1,1,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-02,909,126084,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-08,909,129850,4,1,4,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-21,909,1218848,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-06-04,909,1253902,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-06-18,909,1266039,4,1,4,0,6,12,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-06-24,909,1270751,5,1,4,1,9,18,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,909,1280277,5,1,4,1,4,6,残靴：截断／换荷官／开收台可疑,87.0,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00718517,-0.00413679,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,111.2355,119.0032,5.1636,17.9445,56.9914,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.780319,92.70919,6.541026,1,1,204942,16,0.19862055,0.00188802,-0.00718517,0.00057880,0.044980,0.902826,0.082326,0.01132196,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934727,1.046898,0.836365,1,0.0026595744680851063,0.9707446808510638,0.9707446808510638,0.17287234042553193,0.17287234042553193,0.17287234042553193,n_rounds>=30,377,377,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
