member_id,action,content,action_time,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_post,roi_non_post,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_post,avg_stake_non_post,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_post,hold_rate,hold_rate_post,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_post,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_post,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
102696877,changestatus,mem016:N=>Y;,2026-04-07 11:11:11,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
146625143,changestatus,mem015:1=>0;mem017:N=>Y;,2026-03-24 03:00:23,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
147303527,changestatus,mem015:0=>1;mem017:Y=>N;,2026-03-25 11:49:37,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
47423089,changestatus,mem015:1=>0;mem017:N=>Y;,2026-04-24 22:23:34,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
99962540,changestatus,mem016:N=>Y;,2026-04-07 11:08:42,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
146783170,changestatus,mem016:Y=>N;,2026-04-22 23:36:37,2196140.0772,1995746.6471,-9711.4193,2570,2198,0.00442204,0.03842453,0.00257604,0.00442204,9711.4193,2196140.0772,OK,0.0000,-582.6852,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-582.6852,-582.6852,-582.6852,-971.1419,-2913.4258,6.000000,6.000000,6.000000,10.000000,30.000000,94.000000,94.000000,94.000000,90.000000,70.000000,5.0,-5632.6232,-4629.7451,-4078.7961,-5081.6742,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-9128.7342,1876001.8483,-9711.4193,-9128.7342,-582.6852,-0.00442204,-0.00415672,-582.6852,-9128.7342,-0.00415672,-582.6852,-582.6852,-582.6852,-971.1419,-2913.4258,-9128.7342,-0.00415672,-5632.6232,-4629.7451,-4078.7961,-5081.6742,-0.00185726,-0.00231391,-0.00026532,854.5292,907.9830,-4.4183,-373.5161,-24.8374,84466.9260,84.5385,1056.9095,845.7372,262.9964,864.8673,879.4301,1758.8602,2598.9778,3673.6797,439.7151,-87.6655,3.00506,4.24768,0.988047,29,147,30,8,0.05149458,-0.00442204,-0.03842453,0E-8,0.000000,0.908752,0.000000,0.03584850,2026-03-21,2026-07-09,26,391,270,111,0.234234,1.249690,1.236833,0.171649,4,0.2631578947368421,0.8947368421052632,0.8947368421052632,0.631578947368421,0.631578947368421,0.4166666666666667,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.03971603,E 常规,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
147646117,changestatus,mem016:Y=>N;,2026-03-29 22:52:33,126176.9089,111598.1415,144.0344,464,175,-0.00114153,,-0.00114153,-0.00910165,-144.0344,126176.9089,OK,1004.3833,8.6421,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,8.6421,14.4034,14.4034,0.0000,0.0000,6.000000,10.000000,10.000000,0.000000,0.000000,94.000000,90.000000,90.000000,100.000000,100.000000,3.0,37.4489,34.3666,-897.7978,-894.7155,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,135.3923,104902.2530,-860.3489,-868.9910,-995.7412,-0.00681859,-0.00688708,8.6421,-868.9910,-0.00688708,8.6421,14.4034,14.4034,0.0000,0.0000,-868.9910,-0.00688708,37.4489,34.3666,-897.7978,-894.7155,-0.00711539,-0.00709096,-0.00789163,271.9330,637.7037,0.8231,72.0172,5.3346,63088.4545,87.5000,,271.9330,43.8327,87.6655,262.9964,876.6547,1227.3165,1866.3999,43.8327,-43.4382,14.0,21.290024,3.10194,16,21,1,8,0E-8,0.00114153,,0.00900000,0.900000,0.884458,1.000000,,2026-03-28,2026-03-29,2,27,21,2,1.000000,,,0.000000,2,0.3157894736842105,0.8421052631578947,0.8421052631578947,0.3684210526315789,0.3684210526315789,0.0,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.14075397,E 常规,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
78149278,changestatus,mem016:Y=>N;,2026-04-13 13:32:47,17.5886,17.5886,-16.7092,1,1,0.95000000,,0.95000000,0.95000000,16.7092,17.5886,THIN_EXPOSURE,0.0000,-1.0026,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-1.0026,-1.3367,-2.0051,-2.8406,-2.8406,6.000000,8.000000,12.000000,17.000000,17.000000,94.000000,92.000000,88.000000,83.000000,83.000000,5.0,-10.0255,-7.9491,-6.6837,-8.7601,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-15.7066,16.5333,-16.7092,-15.7066,-1.0026,-0.95000000,-0.89300000,-1.0026,-15.7066,-0.89300000,-1.0026,-1.3367,-2.0051,-2.8406,-2.8406,-15.7066,-0.89300000,-10.0255,-7.9491,-6.6837,-8.7601,-0.38000000,-0.49805596,-0.05700000,17.5886,17.5886,-16.7092,-16.7092,-16.7092,17.5886,1.0000,,17.5886,17.5886,17.5886,17.5886,17.5886,17.5886,17.5886,17.5886,16.7092,1.0,1.0,1.0,1,1,1,1,0E-8,-0.95000000,,0E-8,0.000000,1.000000,0.000000,,2026-03-31,2026-03-31,1,1,1,1,1.000000,,,0.000000,2,0.3684210526315789,0.9473684210526315,0.9473684210526315,0.3157894736842105,0.3157894736842105,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
51128543,changestatus,mem016:N=>Y;,2026-04-05 20:38:18,10.5412,10.5412,-10.5412,1,1,1.00000000,,1.00000000,1.00000000,10.5412,10.5412,THIN_EXPOSURE,0.0000,-0.4216,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-0.4216,-0.4216,-0.4216,-0.8433,-0.8433,4.000000,4.000000,4.000000,8.000000,8.000000,96.000000,96.000000,96.000000,92.000000,92.000000,5.0,-2.9515,-2.6475,-7.5897,-7.8937,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-10.1195,10.1195,-10.5412,-10.1195,-0.4216,-1.00000000,-0.96000000,-0.4216,-10.1195,-0.96000000,-0.4216,-0.4216,-0.4216,-0.8433,-0.8433,-10.1195,-0.96000000,-2.9515,-2.6475,-7.5897,-7.8937,-0.72000000,-0.74884055,-0.04000000,10.5412,10.5412,-10.5412,-10.5412,-10.5412,10.5412,1.0000,,10.5412,10.5412,10.5412,10.5412,10.5412,10.5412,10.5412,10.5412,10.5412,1.0,1.0,1.0,1,1,1,1,0E-8,-1.00000000,,0E-8,0.000000,1.000000,0.000000,,2026-04-05,2026-04-05,1,1,1,1,1.000000,,,0.000000,2,0.42105263157894735,1.0,1.0,0.2631578947368421,0.2631578947368421,,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
139992918,changestatus,mem015:2=>0;mem017:N=>Y;,2026-03-31 13:25:23,1647779.1030,1483397.1373,2000.6309,19935,19859,-0.00121414,-0.02115587,0.00172881,-0.00121414,-2000.6309,1647779.1030,OK,0.0000,120.0379,6.0000,94.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,120.0379,120.0379,1988.6272,1988.6272,0.0000,6.000000,6.000000,99.400000,99.400000,0.000000,94.000000,94.000000,0.600000,0.600000,100.000000,5.0,4217.3300,2000.5673,-2216.6991,0.0636,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,1880.5931,1394393.3091,2000.6309,1880.5931,120.0379,0.00121414,0.00114129,120.0379,1880.5931,0.00114129,120.0379,120.0379,1988.6272,1988.6272,0.0000,1880.5931,0.00114129,4217.3300,2000.5673,-2216.6991,0.0636,-0.00134526,4e-08,0.00007285,82.6576,74.6965,0.1007,21.9850,2.5486,18107.4627,218.2308,56.8562,88.5906,10.8136,32.2956,76.4676,183.8315,327.7184,648.817,21.8479,0.0,10.147473,20.089969,2.55941,16,193,51,4,0.12859910,0.00121414,0.02115587,0E-8,0.000000,0.900240,0.000201,-0.02288468,2026-03-21,2026-08-06,91,785,487,139,0.654676,0.641786,0.687852,0.428664,3,0.47368421052631576,0.7894736842105263,0.7894736842105263,0.5789473684210527,0.5789473684210527,0.3333333333333333,n_rounds>=30,20,13,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01321299,E 常规,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
