window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,stake_xagg,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
W1,116.101.236.0,6,5,3,4,4,1051,1050,2789349.8027055670,198212.8604918556,198212.8604918556,0.45667600631713867,0.7621296644210815,2789349.8027,2553403.5208,-198212.8605,1051,1050,0.07106060,,0.07106060,0.07106060,198212.8605,2789349.8027,OK,0.0000,-7928.5144,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-7928.5144,-7928.5144,-7928.5144,-9910.6430,-9910.6430,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-43606.8293,-39944.9974,-154606.0312,-158267.8631,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-190284.3461,2451267.3800,-198212.8605,-190284.3461,-7928.5144,-0.07106060,-0.06821817,-7928.5144,-190284.3461,-0.06821817,-7928.5144,-7928.5144,-7928.5144,-9910.6430,-9910.6430,-190284.3461,-0.06821817,-43606.8293,-39944.9974,-154606.0312,-158267.8631,-0.05542727,-0.05674006,-0.00284242,2653.9960,2431.8129,-188.7742,-10432.2558,-1208.6150,146807.8844,55.2632,,2653.9960,528.7507,1308.7887,2628.0479,7852.7324,13087.8877,16197.0537,1308.7887,0.0,10.000001,12.375606,2.027826,29,90,1,3,0E-8,-0.07106060,,0E-8,0.000000,0.915412,0.000000,,2026-03-26,2026-04-18,19,164,124,24,0.791667,,,0.000000,5,0.0,0.8700773761404319,0.8700773761404319,0.9956115024829657,0.9956115024829657,0.9956115024829657,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.05746257,A 净亏最大十分位 · 优先复核,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,117.20.154.120,37,18,3,5,5,1952,1460,1140581.6276510066,144978.7933718209,144212.8942039182,0.04037589952349663,0.6695709228515625,1140581.6277,1121976.9292,-144978.7934,1952,1460,0.12710953,-0.11650040,0.14890315,0.12643803,144978.7934,1140581.6277,OK,765.8992,-5685.9508,4.9047,95.0953,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-5685.9508,-5685.9508,-5684.6198,-8856.5038,-8743.3835,4.904713,4.904713,4.971568,5.534324,5.843238,95.095287,95.095287,95.028432,94.465676,94.156762,5.0,-34656.4088,-31544.6317,-111088.2838,-114200.0608,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-139292.8425,1074962.7093,-145744.6925,-140058.7417,-6451.8500,-0.12778103,-0.12279589,-5685.9508,-140058.7417,-0.12279589,-5685.9508,-5685.9508,-5684.6198,-8856.5038,-8743.3835,-140058.7417,-0.12279589,-34656.4088,-31544.6317,-111088.2838,-114200.0608,-0.09739617,-0.10012441,-0.00565663,584.3144,768.4773,-99.3005,-3294.9726,-366.1081,25922.3097,33.1818,101.2529,1019.3990,13.1355,41.5904,149.7255,325.3796,499.085,32242.5371,33.2723,-6.8536,12.000001,775.239592,14.049255,29,148,1,12,0.08211504,-0.12710953,0.11650040,0.00068263,0.315574,0.983688,0.061475,-0.26540355,2026-03-24,2026-08-01,44,396,292,131,0.335878,0.099326,0.173285,0.273717,5,0.00011548677676406051,0.9468760826885322,0.9468760826885322,0.9875274281094815,0.9875274281094815,0.9875274281094815,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.04873077,A 净亏最大十分位 · 优先复核,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,42.112.54.64,19,6,2,2,2,701,698,1588688.5290085352,142292.0374045533,142292.0374045533,0.5600000023841858,1.0,1588688.5290,1368308.0643,-142292.0374,701,659,0.08956572,,0.08956572,0.08956572,142292.0374,1588688.5290,OK,0.0000,-5692.1736,3.9886,96.0114,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-5692.1736,-5692.1736,-5692.2914,-7115.0940,-7115.0940,3.988588,3.988588,3.995720,4.988588,4.988588,96.011412,96.011412,96.004280,95.011412,95.011412,5.0,-31306.8266,-28677.7076,-110985.2108,-113614.3298,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-136599.8638,1313578.6054,-142292.0374,-136599.8638,-5692.1736,-0.08956572,-0.08598278,-5692.1736,-136599.8638,-0.08598278,-5692.1736,-5692.1736,-5692.2914,-7115.0940,-7115.0940,-136599.8638,-0.08598278,-31306.8266,-28677.7076,-110985.2108,-113614.3298,-0.06985964,-0.07151454,-0.00358294,2266.3174,2076.3400,-215.9211,-7905.1132,-513.6897,88260.4738,36.6111,,2266.3174,261.7596,526.6345,1579.9037,5266.3452,10532.6904,26331.7266,523.5191,0.0,20.0,50.000001,4.303397,29,104,1,2,0E-8,-0.08956572,,0E-8,0.000000,0.861282,0.000000,,2026-03-24,2026-04-19,18,277,152,27,0.666667,,,0.000000,5,0.00023097355352812103,0.9013742926434923,0.9013742926434923,0.9908765446356392,0.9908765446356392,0.9908765446356392,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.07253322,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,49.237.19.218,10,5,1,2,2,565,449,1260796.7274820148,136770.5459571319,136770.5459571319,0.005684100091457367,0.4968253970146179,1260796.7275,1158674.5818,-136770.5460,565,449,0.10847946,-0.56521739,0.10848197,0.10847946,136770.5460,1260796.7275,OK,0.0000,-5470.8218,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-5470.8218,-5470.7953,-5469.9562,-5466.2208,-5468.0903,4.000000,4.007080,4.456637,5.240708,5.113274,96.000000,95.992920,95.543363,94.759292,94.886726,5.0,-27345.8844,-25244.6424,-109424.6616,-111525.9035,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-131299.7241,1112327.5985,-136770.5460,-131299.7241,-5470.8218,-0.10847946,-0.10414028,-5470.8218,-131299.7241,-0.10414028,-5470.8218,-5470.7953,-5469.9562,-5466.2208,-5468.0903,-131299.7241,-0.10414028,-27345.8844,-25244.6424,-109424.6616,-111525.9035,-0.08679009,-0.08845669,-0.00433918,2231.4986,2580.5670,-304.6115,-12433.6860,-882.3906,114617.8843,40.8182,1.1752,2247.4011,10.5031,10.5031,21.0824,10503.0986,21006.1973,21006.1973,10.5031,-0.8433,2000.000028,2000.000028,212.460983,27,82,1,8,0.00000373,-0.10847946,0.56521739,0E-8,0.000000,0.919002,0.157522,-0.67369936,2026-04-04,2026-07-11,11,155,82,99,0.111111,0.000523,0.000527,0.000012,5,0.00034646033029218156,0.9279362512992262,0.9279362512992262,0.988566809100358,0.988566809100358,0.988566809100358,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.08787321,A 净亏最大十分位 · 优先复核,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,223.104.73.129,10,6,1,5,5,576,425,770391.9063501651,120895.8978671056,120895.8378671056,0.026079099625349045,0.1199897974729538,770391.9064,711808.1371,-120895.8979,576,425,0.15692779,-0.54637104,0.15992182,0.15692771,120895.8979,770391.9064,OK,0.0600,-4752.9321,3.7691,96.2309,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-4752.9321,-4752.9321,-4752.9071,-4743.9305,-4743.9305,3.769097,3.769097,3.799479,3.962674,3.962674,96.230903,96.230903,96.200521,96.037326,96.037326,5.0,-23746.6324,-21954.7666,-97149.3255,-98941.1912,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-116142.9658,683737.6117,-120895.9579,-116143.0258,-4752.9921,-0.15692787,-0.15075837,-4752.9321,-116143.0258,-0.15075837,-4752.9321,-4752.9321,-4752.9071,-4743.9305,-4743.9305,-116143.0258,-0.15075837,-23746.6324,-21954.7666,-97149.3255,-98941.1912,-0.12610377,-0.12842969,-0.00616958,1337.4859,1674.8427,-284.4609,-10990.5362,-1456.5771,70035.6279,38.6364,59.3772,1472.4111,86.6326,346.5304,1732.6519,4331.6294,5197.9556,12769.6357,173.2652,-40.0,15.0,36.849976,3.85965,27,56,1,8,0.00423907,-0.15692779,0.54637104,8E-8,0.000521,0.923956,0.069444,-0.70629285,2026-04-02,2026-07-22,11,83,73,112,0.098214,0.040327,0.044395,0.014130,5,0.00046194710705624206,0.969511490934288,0.969511490934288,0.9818685760480425,0.9818685760480425,0.9818685760480425,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.09032027,A 净亏最大十分位 · 优先复核,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,117.20.154.121,35,14,2,7,7,1537,1235,714820.8060049356,120625.6984826248,120396.1143481020,0.025787999853491783,0.2857142984867096,714820.8060,594710.0211,-120625.6985,1537,1235,0.16874956,-0.12056415,0.18107851,0.16842839,120625.6985,714820.8060,OK,229.5841,-4746.3334,4.8224,95.1776,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-4746.3334,-4746.3334,-4744.5352,-8272.7248,-8272.7248,4.822381,4.822381,4.909564,5.695836,5.695836,95.177619,95.177619,95.090436,94.304164,94.304164,5.0,-30782.6515,-27907.1187,-90072.6311,-92948.164,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-115879.3651,569903.5855,-120855.2826,-116108.9492,-4975.9175,-0.16907074,-0.16243085,-4746.3334,-116108.9492,-0.16243085,-4746.3334,-4746.3334,-4744.5352,-8272.7248,-8272.7248,-116108.9492,-0.16243085,-30782.6515,-27907.1187,-90072.6311,-92948.164,-0.12600729,-0.13003002,-0.00696107,465.0753,481.5466,-97.6726,-3260.1540,-438.6389,19319.4812,33.3784,70.5716,610.5113,8.6133,33.0688,109.2704,332.3161,1604.2781,10695.1875,33.0688,-1.0102,48.513369,323.422473,14.063879,29,116,1,11,0.04087270,-0.16874956,0.12056415,0.00038604,0.219649,0.831971,0.273910,-0.30164266,2026-03-22,2026-08-05,37,275,205,137,0.270073,0.115594,0.151742,0.136242,5,0.0005774338838203026,0.9763252107633676,0.9763252107633676,0.9810601686106941,0.9810601686106941,0.9810601686106941,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.05298418,A 净亏最大十分位 · 优先复核,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,59.153.228.32,16,6,3,4,4,544,431,213790.4451745531,114668.7563220711,114668.7563220711,0.009419450536370277,0.30719810724258423,213790.4452,206964.8481,-114668.7563,544,431,0.53636053,-0.01115119,0.54558126,0.53636053,114668.7563,213790.4452,OK,0.0000,-4589.5508,3.9044,96.0956,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-4589.5508,-4589.5508,-4592.0565,-4584.7271,-4584.7271,3.904412,3.904412,4.268382,4.575368,4.575368,96.095588,96.095588,95.731618,95.424632,95.424632,5.0,-22940.6124,-21176.9085,-91728.1439,-93491.8478,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-110079.2055,198696.6484,-114668.7563,-110079.2055,-4589.5508,-0.53636053,-0.51489301,-4589.5508,-110079.2055,-0.51489301,-4589.5508,-4589.5508,-4592.0565,-4584.7271,-4584.7271,-110079.2055,-0.51489301,-22940.6124,-21176.9085,-91728.1439,-93491.8478,-0.42905633,-0.43730602,-0.02146752,392.9971,480.1969,-266.0528,-8190.6255,-939.9078,15270.7461,30.7857,13.3617,753.5828,5.137,25.6852,52.6635,129.0889,259.7196,12537.1123,12.9409,-2.5818,10.111662,488.107381,15.300557,27,86,1,8,0.01656222,-0.53636053,0.01115119,0E-8,0.000000,0.968073,0.064338,-0.55673245,2026-03-26,2026-08-01,14,122,88,129,0.108527,0.017731,0.033999,0.055207,5,0.0006929206605843631,0.9997690264464719,0.9997690264464719,0.9361358124494745,0.9361358124494745,0.9361358124494745,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.08968938,A 净亏最大十分位 · 优先复核,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,117.20.148.14,8,5,0,2,2,1035,1010,1387007.0888972992,109739.1497438108,109727.2989009706,0.0333593487739563,0.7341984510421753,1387007.0889,1290984.1086,-109739.1497,1035,1010,0.07911939,-0.01818627,0.08464292,0.07911084,109739.1497,1387007.0889,OK,11.8508,-4354.0660,4.8348,95.1652,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-4354.0660,-4313.7317,-4475.0689,-29.0540,-2.9934,4.834783,5.656039,2.371014,1.552657,0.813527,95.165217,94.343961,97.628986,98.447343,99.186473,4.1787,-13174.9140,-12648.3249,-96576.0865,-97102.6757,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-105385.0837,1238304.2882,-109751.0006,-105396.9346,-4365.9169,-0.07912793,-0.07598875,-4354.0660,-105396.9346,-0.07598875,-4354.0660,-4313.7317,-4475.0689,-29.0540,-2.9934,-105396.9346,-0.07598875,-13174.9140,-12648.3249,-96576.0865,-97102.6757,-0.06962912,-0.07000878,-0.00314772,1340.1035,1278.2021,-108.6526,-7838.5107,-336.6232,99071.9349,72.1429,229.9505,1845.9960,103.3592,137.8122,524.9344,5167.9585,5167.9585,5167.9585,137.8122,0.0,37.5,37.5,9.724126,29,116,1,4,0.05371562,-0.07911939,0.01818627,0.00000918,0.005411,0.930770,0.007730,-0.10282919,2026-04-10,2026-07-27,14,326,162,109,0.128440,0.124567,0.171592,0.179052,5,0.0008084074373484236,0.8860145513338723,0.8860145513338723,0.9896061900912345,0.9896061900912345,0.9896061900912345,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.05858939,A 净亏最大十分位 · 优先复核,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,27.67.152.202,11,6,3,4,4,939,897,534549.5526807853,84677.0047631119,84677.0047631119,0.012779599986970425,0.7499998211860657,534549.5527,478636.3624,-84677.0048,939,897,0.15840815,0.17575758,0.01521922,0.15840815,84677.0048,534549.5527,OK,0.0000,-3387.0802,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-3387.0802,-3387.0802,-3390.7059,-3422.0481,-3422.0481,4.000000,4.000000,4.849840,4.943557,4.943557,96.000000,96.000000,95.150160,95.056443,95.056443,5.0,-17008.9625,-15696.7194,-67668.0423,-68980.2854,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-81289.9246,459490.9079,-84677.0048,-81289.9246,-3387.0802,-0.15840815,-0.15207182,-3387.0802,-81289.9246,-0.15207182,-3387.0802,-3387.0802,-3390.7059,-3422.0481,-3422.0481,-81289.9246,-0.15207182,-17008.9625,-15696.7194,-67668.0423,-68980.2854,-0.12658890,-0.12904376,-0.00633633,569.2753,533.5968,-94.4002,-8467.7005,-296.0734,53454.9553,89.7000,12546.8585,64.1165,34.8321,44.1077,77.4533,129.0889,435.6828,12842.5762,38.9186,0.0,9.877697,291.163862,12.906477,29,89,1,5,0.89192970,-0.15840815,-0.17575758,0E-8,0.000000,0.895401,0.000000,0.16053835,2026-03-29,2026-08-02,10,286,116,127,0.078740,195.688575,22.040052,2.973099,5,0.0009238942141124841,0.9704353851484006,0.9704353851484006,0.975170342995727,0.975170342995727,0.975170342995727,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.06217037,A 净亏最大十分位 · 优先复核,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
W1,103.199.32.185,47,5,0,3,3,688,501,433726.0675912462,79209.3021762551,79209.3021762551,0.009756100364029408,0.6666666865348816,433726.0676,366695.5282,-79209.3022,688,501,0.18262518,-0.47610294,0.18310548,0.18262518,79209.3022,433726.0676,OK,0.0000,-3165.8151,3.9462,96.0538,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-3165.8151,-3165.5009,-3164.8241,-3253.4425,-3253.1853,3.946221,3.954942,4.063953,4.222384,4.223837,96.053779,96.045058,95.936047,95.777616,95.776163,5.0,-16002.7680,-14760.3837,-63206.5342,-64448.9185,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-76043.4871,352039.9200,-79209.3022,-76043.4871,-3165.8151,-0.18262518,-0.17532607,-3165.8151,-76043.4871,-0.17532607,-3165.8151,-3165.5009,-3164.8241,-3253.4425,-3253.1853,-76043.4871,-0.17532607,-16002.7680,-14760.3837,-63206.5342,-64448.9185,-0.14572916,-0.1485936,-0.00729911,630.4158,731.9272,-158.1024,-2140.7920,-474.3072,11722.3262,13.5405,10.8969,657.6784,10.2862,51.4311,257.1553,2751.5652,4255.918,6498.5073,25.9457,-5.1891,82.749943,126.35373,12.25749,29,91,1,8,0.00072859,-0.18262518,0.47610294,0E-8,0.000000,0.845454,0.001454,-0.65920842,2026-03-22,2026-07-27,37,167,130,128,0.289063,0.016569,0.017285,0.002429,5,0.0010393809908765446,0.9819840628248065,0.9819840628248065,0.9688185702737037,0.9688185702737037,0.9688185702737037,n_rounds>=30,8660,8660,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L5_INSUFFICIENT,0.08318803,A 净亏最大十分位 · 优先复核,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
