capability_id,name_zh,entity_type,dimension_class,domain_id,capability_facet,data_availability_status,window_scope,evidence_ladder,leakage_status,null_model_status,multiplicity_control,incremental_info_status,economic_path_status,admit_to_capability_scoring,note
M01,流水贡献,MEMBER,CORE,D06,F02,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M02,游戏输赢贡献,MEMBER,CORE,D07,F01,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,OUTCOME_BASED 一族，禁作罚轴判据
M03,活跃稳定,MEMBER,CORE,D04,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M04,投注产品结构熵,MEMBER,CORE,D04,F04,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M05,生命周期阶段,MEMBER,CORE,D05,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M06,索提诺稳定性,MEMBER,CORE,D08,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M07,对打指数,MEMBER,CORE,D08,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,解析盈亏线 1.1465%；实测退水率 0.30~1.00%
M08,批量注册嫌疑,MEMBER,CORE,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
M09,IP结构风险,MEMBER,CORE,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,P-02：IP 只取 ods_a168_bet02.ip
M10,人工标记史,MEMBER,CORE,D08,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,正例 125~132 名，先验 0.0090%
M11,Theo/ADT,MEMBER,EXTENDED,D07,F01,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,须 member×bet09×免佣 中间粒度；F-22~25 BLOCKED
M12,NMPT,MEMBER,EXTENDED,D07,F01,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,"REFUTED_AS_PRIMARY：赏桶净额 -508,515"
M13,ESI,MEMBER,EXTENDED,D08,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,REFUTED_AS_PRIMARY
M14,留存韧性,MEMBER,EXTENDED,D05,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
