scope,row_key,field,v1.5.0,v1.5.001,verdict,judgement
CSV_COLUMN,-,criterion_family,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,window_scope,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,null_model_status,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,multiplicity_control,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,incremental_info_status,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,leakage_status,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,data_availability_status,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,evidence_ladder,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,entity_type,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,domain_id,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,capability_facet,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,decision_object_scope,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,economic_path_status,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,admit_to_reward_decision,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,treatment_ids,(不存在),(新增),ADDED,✓ 只增
CSV_COLUMN,-,capability_dim_ids,(不存在),(新增),ADDED,✓ 只增
YAML_TOPKEY,-,registry,1871B,3105B,EXTENDED,✓ 保留
YAML_TOPKEY,-,axes,362B,362B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,global_prohibitions,1276B,1843B,EXTENDED,✓ 保留
YAML_TOPKEY,-,value_axis,849B,849B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,typologies,29852B,29852B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,treatment_status,617B,7337B,EXTENDED,✓ 保留
YAML_TOPKEY,-,admission_dichotomy,423B,573B,EXTENDED,✓ 保留
YAML_TOPKEY,-,blockers,2014B,2014B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,candidates,3B,3B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,open_questions,634B,1163B,EXTENDED,✓ 保留
YAML_TOPKEY,-,scoring_matrix,533B,1028B,EXTENDED,✓ 保留
YAML_TOPKEY,-,vertical_chain,336B,336B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,state_machine,256B,256B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,gates,322B,322B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,mcid_cost_anchor_status,35B,35B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,unlock_predicate,607B,607B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,evidence_registry,284B,284B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,invariants,548B,978B,EXTENDED,✓ 保留
YAML_TOPKEY,-,criterion_role_enum,108B,108B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,threshold_status_enum,70B,70B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,direction_enum,31B,31B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,direction_rule,259B,259B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,status_enums,1046B,1046B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,field_scope_registry,560B,1005B,EXTENDED,✓ 保留
YAML_TOPKEY,-,csv_scope,354B,525B,EXTENDED,✓ 保留
YAML_TOPKEY,-,registry_counts,415B,415B,UNCHANGED,✓ 保留
YAML_TOPKEY,-,capability_domains,(不存在),302B,ADDED,✓ 只增
YAML_TOPKEY,-,capability_facets,(不存在),160B,ADDED,✓ 只增
YAML_TOPKEY,-,capability_registry,(不存在),41613B,ADDED,✓ 只增
YAML_TOPKEY,-,action_registry,(不存在),351B,ADDED,✓ 只增
YAML_TOPKEY,-,prohibited_action_registry,(不存在),4700B,ADDED,✓ 只增
YAML_TOPKEY,-,prohibition_acknowledgement,(不存在),204B,ADDED,✓ 只增
YAML_TOPKEY,-,fairness_assurance_monitor,(不存在),383B,ADDED,✓ 只增
YAML_TOPKEY,-,temporal_admissibility,(不存在),834B,ADDED,✓ 只增
YAML_TOPKEY,-,evidence_ladder,(不存在),372B,ADDED,✓ 只增
YAML_TOPKEY,-,cross_matrix,(不存在),562B,ADDED,✓ 只增
YAML_TOPKEY,-,decision_objects,(不存在),267B,ADDED,✓ 只增
YAML_TOPKEY,-,deliverable_roster,(不存在),1411B,ADDED,✓ 只增
YAML_TOPKEY,-,entity_resolution_registry,(不存在),335B,ADDED,✓ 只增
YAML_TOPKEY,-,policy_lever_registry,(不存在),1445B,ADDED,✓ 只增
YAML_TOPKEY,-,pending_functions_v11_0_4,(不存在),654B,ADDED,✓ 只增
YAML_TOPKEY,-,retraction_register,(不存在),2232B,ADDED,✓ 只增
YAML_CRITERION,-,criterion_columns 总数,65,65,UNCHANGED,✓
