n,module,grain_code,uniqueness,uniqueness_note,tiebreak,tiebreak_reason
1,A_anchor.csv,G01,PROVABLE,顶层 GROUP BY g.ip,bet01,原始注单主键（事实稳定主键）
2,B01_bt_panel.csv,G02,PROVABLE,"顶层 GROUP BY member_id, bet_date",bet01,原始注单主键（事实稳定主键）
3,B01_bt_panel_delta.csv,G02,PROVABLE,"顶层 GROUP BY member_id, bet_date",bet01,原始注单主键（事实稳定主键）
4,B4_2b_funnel_and_mu0.csv,G03,NOT_PROVABLE,无顶层 GROUP BY,bet01,原始注单主键（事实稳定主键）
5,B4_5b_tip_nature.csv,G04,PROVABLE,顶层 GROUP BY TRIM(bet09),CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
6,B_online_base.csv,G05,PROVABLE,"顶层 GROUP BY table_id, sec_elapsed",bet01,原始注单主键（事实稳定主键）
7,C01_ip_chain.csv,G06,PROVABLE,顶层 GROUP BY bet_ip,bet01,原始注单主键（事实稳定主键）
8,C06_hedge_pairs.csv,G07,NOT_PROVABLE,无顶层 GROUP BY,bet01,原始注单主键（事实稳定主键）
9,C06d_hedge_pairs_dated.csv,G08,PROVABLE,"顶层 GROUP BY a.bet_ip, a.member_id, b.member_id",bet01,原始注单主键（事实稳定主键）
10,C08_subnet_all.csv,G09,PROVABLE,顶层 GROUP BY 1,bet01,原始注单主键（事实稳定主键）
11,C08_subnet_sparse.csv,G09,PROVABLE,顶层 GROUP BY 1,bet01,原始注单主键（事实稳定主键）
12,D03S_daily_roi_diff.csv,G10,PROVABLE,顶层 GROUP BY bet_date,bet01,原始注单主键（事实稳定主键）
13,DICT_01a_bet41_tri.csv,G11,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
14,DICT_01b_roundkey_card.csv,G12,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
15,DICT_01c_dimension.csv,G13,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
16,DICT_01d_bet_latency.csv,G14,PROVABLE,顶层 GROUP BY TRIM(bet39),CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
17,DX04_bet09_profile.csv,G15,PROVABLE,顶层 GROUP BY bet_side,bet01,原始注单主键（事实稳定主键）
18,DX05_product_panorama.csv,G16,PROVABLE,顶层 GROUP BY product_code,bet01,原始注单主键（事实稳定主键）
19,E02_segment_econ.csv,G17,PROVABLE,"顶层 GROUP BY m.rebate_rate_bkt, m.vb_q",CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
20,EV01_disposal_events.csv,G18,NOT_PROVABLE,无顶层 GROUP BY,event_id,事件键
21,EV02_member_disposal.csv,G19,NOT_PROVABLE,无顶层 GROUP BY,event_id,事件键
22,I_ip_agg.csv,G06,PROVABLE,顶层 GROUP BY bet_ip,bet01,原始注单主键（事实稳定主键）
23,I_ip_player.csv,G20,PROVABLE,"顶层 GROUP BY b.bet_ip, b.member_id",bet01,原始注单主键（事实稳定主键）
24,K01_risk_feature_matrix.csv,G21,NOT_PROVABLE,无顶层 GROUP BY,bet01,原始注单主键（事实稳定主键）
25,K01b_seed_goldip.csv,G22,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
26,K01b_seed_manual.csv,G22,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
27,K01c_seed_dated.csv,G23,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
28,L_label_dist.csv,G24,PROVABLE,"顶层 GROUP BY risk, orders",CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
29,P01A_crosstab.csv,G25,NOT_PROVABLE,无顶层 GROUP BY,CANONICAL_FACT_HASH,无现成稳定主键 → 须构造 canonical fact hash（禁 RAND/时间/物理序）
