"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"agent_id","VARCHAR(65533)","source_type=int(11); 代理id"
"status","VARCHAR(65533)","source_type=tinyint(1); 活动状态:0:关闭,1:开启"
"start_time","VARCHAR(65533)","source_type=datetime; 開始活动时间"
"end_time","VARCHAR(65533)","source_type=datetime; 結束活动时间"
"total_money_updating","VARCHAR(65533)","source_type=tinyint(1); 紅包雨更新鎖"
"total_money","VARCHAR(65533)","source_type=int(11); 紅包雨總金額"
"single_money_from","VARCHAR(65533)","source_type=int(11); 單次紅包雨總金額範圍"
"single_money_to","VARCHAR(65533)","source_type=int(11); 單次紅包雨總金額範圍"
"single_interval","VARCHAR(65533)","source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔"
"single_available_times","VARCHAR(65533)","source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex)"
"setting","VARCHAR(1048576)","source_type=text; 紅包雨gid配置"
"duration","VARCHAR(65533)","source_type=int(10); 持續時間"
"need_valid","VARCHAR(65533)","source_type=tinyint(1); 活動獎金是否需要打碼"
"need_valid_percent","VARCHAR(65533)","source_type=int(3); 需打碼時,獎金的%數"
"rules","VARCHAR(1048576)","source_type=text; 活動規則"
"black_list","VARCHAR(1048576)","source_type=text; 黑名單帳號(逗號隔開)(不使用)"
"utp","VARCHAR(65533)","source_type=char(1); 操作者類型"
"uid","VARCHAR(65533)","source_type=int(11); 操作者id"
"update_time","VARCHAR(65533)","source_type=datetime; 操作時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
