"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"red_id","VARCHAR(65533)","source_type=int(11); 紅包設定id"
"currency","VARCHAR(65533)","source_type=int(3); 幣別"
"gtype","VARCHAR(65533)","source_type=int(4); 遊戲id"
"sync","VARCHAR(65533)","source_type=tinyint(1); 同步sync.0:否,1:是"
"bet_count","VARCHAR(65533)","source_type=int(10); 投注局數"
"bet_amount","VARCHAR(65533)","source_type=decimal(16,2); 單筆下注金額"
"money_from","VARCHAR(65533)","source_type=decimal(16,2); 紅包金額範圍"
"money_to","VARCHAR(65533)","source_type=decimal(16,2); 紅包金額範圍"
"percent","VARCHAR(65533)","source_type=int(3); 概率"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
