"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"ags001","VARCHAR(65533)","source_type=int(11); sn"
"ags002","VARCHAR(65533)","source_type=varchar(30); aid"
"ags003","VARCHAR(65533)","source_type=varchar(50); password"
"ags004","VARCHAR(65533)","source_type=varchar(30); name"
"ags005","VARCHAR(65533)","source_type=datetime; add_time"
"ags006","VARCHAR(65533)","source_type=int(11); lv"
"ags007","VARCHAR(65533)","source_type=int(11); lv1"
"ags008","VARCHAR(65533)","source_type=datetime; last_login"
"ags009","VARCHAR(1048576)","source_type=text; last_ip"
"ags010","VARCHAR(65533)","source_type=int(11); login_err"
"ags011","VARCHAR(65533)","source_type=enum(''Y'',''N''); can_login"
"ags012","VARCHAR(65533)","source_type=enum(''Y'',''N''); change_password"
"ags013","VARCHAR(1048576)","source_type=text; "
"chkKey","VARCHAR(65533)","source_type=varchar(100); "
"chkLock","VARCHAR(65533)","source_type=enum(''Y'',''N''); 是否鎖定"
"last_chpsw","VARCHAR(65533)","source_type=timestamp; 上次修改密碼時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
