"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"bet01","VARCHAR(65533)","source_type=bigint(20); 注單編號"
"bet02","VARCHAR(65533)","source_type=int(11); 遊戲類別編號"
"bet03","VARCHAR(65533)","source_type=decimal(12,0); 場次編號"
"bet04","VARCHAR(65533)","source_type=int(11); 子場次編號"
"bet05","VARCHAR(65533)","source_type=int(11); 會員編號"
"bet06","VARCHAR(65533)","source_type=datetime; 開局時間"
"bet07","VARCHAR(65533)","source_type=date; 帳務日期"
"bet08","VARCHAR(65533)","source_type=datetime; 下注時間"
"bet09","VARCHAR(65533)","source_type=varchar(100); 下注內容"
"bet10","VARCHAR(65533)","source_type=int(11); 幣別"
"bet11","VARCHAR(65533)","source_type=decimal(16,4); 匯率"
"bet12","VARCHAR(65533)","source_type=decimal(16,4); 起始點數"
"bet12a","VARCHAR(65533)","source_type=decimal(16,4); 起始籌碼"
"bet13","VARCHAR(65533)","source_type=decimal(16,4); 下注金額"
"bet14","VARCHAR(65533)","source_type=decimal(16,4); 退水％數"
"bet15","VARCHAR(65533)","source_type=int(11); LV1ID"
"bet16","VARCHAR(65533)","source_type=int(11); LV2ID"
"bet17","VARCHAR(65533)","source_type=int(11); LV3ID"
"bet18","VARCHAR(65533)","source_type=int(11); LV4ID"
"bet19","VARCHAR(65533)","source_type=int(11); LV5ID"
"bet20","VARCHAR(65533)","source_type=decimal(16,4); LV1佔成"
"bet21","VARCHAR(65533)","source_type=decimal(16,4); LV2佔成"
"bet22","VARCHAR(65533)","source_type=decimal(16,4); LV3佔成"
"bet23","VARCHAR(65533)","source_type=decimal(16,4); LV4佔成"
"bet24","VARCHAR(65533)","source_type=decimal(16,4); LV5佔成"
"bet25","VARCHAR(65533)","source_type=decimal(16,4); LV1退水%數"
"bet26","VARCHAR(65533)","source_type=decimal(16,4); LV2退水%數"
"bet27","VARCHAR(65533)","source_type=decimal(16,4); LV3退水%數"
"bet28","VARCHAR(65533)","source_type=decimal(16,4); LV4退水%數"
"bet29","VARCHAR(65533)","source_type=decimal(16,4); LV5退水%數"
"bet30","VARCHAR(65533)","source_type=enum(''Y'',''N''); 取消單"
"bet31","VARCHAR(65533)","source_type=int(11); 桌子編號(Table ID)"
"bet32","VARCHAR(65533)","source_type=int(11); 房間編號(Room ID)"
"betwalletid","VARCHAR(1048576)","source_type=text; 下注單一錢包用"
"gametype","VARCHAR(65533)","source_type=int(11); 1:網投、2:電投"
"commission","VARCHAR(65533)","source_type=int(11); 0.一般,1,免傭"
"category","VARCHAR(65533)","source_type=int(11); 1.一般,2.小費"
"eid","VARCHAR(65533)","source_type=int(11); 荷官"
"serid","VARCHAR(65533)","source_type=int(11); 服務編號"
"ip","VARCHAR(65533)","source_type=varchar(15); 下注IP"
"partnerBetId","VARCHAR(65533)","source_type=varchar(50); 第三方注單編號"
"gameId","VARCHAR(65533)","source_type=varchar(20); 第三方遊戲代碼"
"updatetime","VARCHAR(65533)","source_type=datetime; 更新時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
