"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"log_id","VARCHAR(65533)","source_type=int(11); "
"operation_type","VARCHAR(65533)","source_type=varchar(32); "
"change_time","VARCHAR(65533)","source_type=datetime; "
"old_bet01","VARCHAR(65533)","source_type=bigint(20); "
"new_bet01","VARCHAR(65533)","source_type=bigint(20); "
"old_bet05","VARCHAR(65533)","source_type=int(11); "
"new_bet05","VARCHAR(65533)","source_type=int(11); "
"old_bet09","VARCHAR(1048576)","source_type=text; "
"new_bet09","VARCHAR(1048576)","source_type=text; "
"old_ip","VARCHAR(1048576)","source_type=text; "
"new_ip","VARCHAR(1048576)","source_type=text; "
"is_send","VARCHAR(65533)","source_type=int(1); 是否已發送"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
