"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"con001","VARCHAR(65533)","source_type=int(11); sn"
"con002","VARCHAR(65533)","source_type=varchar(30); id"
"con003","VARCHAR(65533)","source_type=varchar(50); pw"
"con004","VARCHAR(65533)","source_type=varchar(30); name"
"con005","VARCHAR(65533)","source_type=char(10); power"
"con006","VARCHAR(65533)","source_type=timestamp; last_login"
"con007","VARCHAR(65533)","source_type=char(15); last_ip"
"con008","VARCHAR(65533)","source_type=enum(''Y'',''N''); enable"
"con009","VARCHAR(65533)","source_type=int(11); login_error"
"rolesId","VARCHAR(65533)","source_type=int(11); 角色ID"
"chkKey","VARCHAR(65533)","source_type=varchar(100); "
"chkLock","VARCHAR(65533)","source_type=enum(''Y'',''N''); 是否鎖定"
"last_chpsw","VARCHAR(65533)","source_type=timestamp; 上次修改密碼時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
