"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); "
"time","VARCHAR(65533)","source_type=date; 日期"
"bet02","VARCHAR(65533)","source_type=int(11); 遊戲編號"
"bet10","VARCHAR(65533)","source_type=int(11); 幣別"
"bet11","VARCHAR(65533)","source_type=decimal(16,4); 匯率"
"bet13","VARCHAR(65533)","source_type=decimal(16,4); 下注金額"
"bet14","VARCHAR(65533)","source_type=decimal(16,4); 派彩金額"
"bet18","VARCHAR(65533)","source_type=int(11); LV1ID"
"bet23","VARCHAR(65533)","source_type=decimal(16,4); LV1占成"
"bet28","VARCHAR(65533)","source_type=decimal(16,4); LV1退水%數"
"bet39","VARCHAR(65533)","source_type=int(11); 桌子編號"
"bet41","VARCHAR(65533)","source_type=decimal(16,4); 下注退水金額"
"validbet","VARCHAR(65533)","source_type=decimal(16,4); 有效投注"
"category","VARCHAR(65533)","source_type=int(11); 1:一般,2:小費"
"count","VARCHAR(65533)","source_type=int(11); 筆數"
"risk","VARCHAR(65533)","source_type=tinyint(1); 風險單 1:是"
"orders","VARCHAR(65533)","source_type=tinyint(1); 劃單 1:是"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
