"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); 序號"
"gid","VARCHAR(65533)","source_type=int(11); 遊戲id"
"starttime","VARCHAR(65533)","source_type=datetime; 開始時間"
"min","VARCHAR(65533)","source_type=int(11); 最小值"
"max","VARCHAR(65533)","source_type=int(11); 最大值"
"percent","VARCHAR(65533)","source_type=int(11); 機率"
"frequency","VARCHAR(65533)","source_type=int(11); 次數"
"remaining","VARCHAR(65533)","source_type=int(11); "
"status","VARCHAR(65533)","source_type=int(11); 狀態"
"operator","VARCHAR(65533)","source_type=int(11); 最後操作人"
"optime","VARCHAR(65533)","source_type=datetime; 最後操作時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
