"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"mid","VARCHAR(65533)","source_type=int(11); 會員"
"code","VARCHAR(65533)","source_type=int(8); 遊戲代碼"
"username","VARCHAR(65533)","source_type=varchar(30); 第三方遊戲帳號"
"password","VARCHAR(65533)","source_type=varchar(32); 第三方遊戲密碼"
"enable","VARCHAR(65533)","source_type=enum(''Y'',''N''); 啟停用"
"createTime","VARCHAR(65533)","source_type=timestamp; 建立時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
