"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=int(11); "
"type","VARCHAR(65533)","source_type=int(2); 1: 一般報表 "
"offset","VARCHAR(65533)","source_type=int(10); 時間間隔(秒) or 一次Ｎ筆"
"data","VARCHAR(65533)","source_type=varchar(30); 時間 or 其他"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
