"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"action","VARCHAR(65533)","source_type=enum(''bet'',''settle'',''cancel'',''rollback'',''betSuccess'',''refund'',''rewardDeduct'',''bouns'',''free'',''tip''); 動作"
"agent_id","VARCHAR(65533)","source_type=int(11); 代理 id"
"mid","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=int(4); "
"round_id","VARCHAR(65533)","source_type=varchar(50); "
"transId","VARCHAR(65533)","source_type=varchar(100); 第三方交易流水號"
"wallet_id","VARCHAR(65533)","source_type=bigint(20); wallet_dtl 處理 id"
"iom_id","VARCHAR(65533)","source_type=bigint(20); in_out_m 處理 id"
"requestDate","VARCHAR(65533)","source_type=datetime; 第三方請求時間"
"money","VARCHAR(65533)","source_type=decimal(15,4); 金額"
"balance","VARCHAR(65533)","source_type=decimal(16,4); 交易前餘額"
"type","VARCHAR(65533)","source_type=tinyint(1); 1:加點 2:扣點 3:重對加點 4:重對扣點 5:重新派彩  6: 和局 0: 無任何動作"
"status","VARCHAR(65533)","source_type=tinyint(1); 0:未處理,1:成功,2:失敗,3:回滾,4:處理中"
"isFinish","VARCHAR(65533)","source_type=enum(''Y'',''N'',''X''); "
"remark","VARCHAR(65533)","source_type=varchar(255); "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
