"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"rtb01","VARCHAR(65533)","source_type=int(11); mid"
"rtb02","VARCHAR(65533)","source_type=int(11); gid"
"rtb03","VARCHAR(65533)","source_type=int(11); 場次"
"rtb04","VARCHAR(65533)","source_type=int(11); 子場次"
"rtb05","VARCHAR(65533)","source_type=int(11); 桌號"
"rtb06","VARCHAR(65533)","source_type=varchar(20); IP"
"rtb07","VARCHAR(65533)","source_type=datetime; 登入時間"
"rtb08","VARCHAR(65533)","source_type=decimal(15,2); 下注金額"
"rtb09","VARCHAR(65533)","source_type=varchar(500); 下注內容"
"rtb10","VARCHAR(65533)","source_type=decimal(15,4); 目前額度"
"rtb11","VARCHAR(1048576)","source_type=text; user_agent"
"rtb12","VARCHAR(65533)","source_type=int(11); 連續未下注次數"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
