"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); "
"roomTable","VARCHAR(65533)","source_type=varchar(20); "
"addtime","VARCHAR(65533)","source_type=datetime; "
"status","VARCHAR(65533)","source_type=int(11); 0:洗牌中 1:可上桌 2:上桌中 3:已上桌 4:已完成"
"gid","VARCHAR(65533)","source_type=int(11); "
"tableid","VARCHAR(65533)","source_type=int(11); "
"frequency","VARCHAR(65533)","source_type=int(11); "
"log","VARCHAR(1048576)","source_type=text; "
"shoe","VARCHAR(65533)","source_type=varchar(20); "
"shoeTime","VARCHAR(65533)","source_type=datetime; "
"shuffler1","VARCHAR(65533)","source_type=varchar(20); "
"shuffler1Time","VARCHAR(65533)","source_type=datetime; "
"sup1","VARCHAR(65533)","source_type=varchar(20); "
"sup1Time","VARCHAR(65533)","source_type=datetime; "
"shuffler2","VARCHAR(65533)","source_type=varchar(20); "
"shuffler2Time","VARCHAR(65533)","source_type=datetime; "
"sup2","VARCHAR(65533)","source_type=varchar(20); "
"sup2Time","VARCHAR(65533)","source_type=datetime; "
"style","VARCHAR(65533)","source_type=varchar(10); "
"styleTime","VARCHAR(65533)","source_type=datetime; "
"supCheckIn","VARCHAR(65533)","source_type=varchar(20); "
"supCheckInTime","VARCHAR(65533)","source_type=datetime; "
"dealerCheckIn","VARCHAR(65533)","source_type=varchar(20); "
"dealerCheckInTime","VARCHAR(65533)","source_type=datetime; "
"supCheckOut","VARCHAR(65533)","source_type=varchar(20); "
"supCheckOutTime","VARCHAR(65533)","source_type=datetime; "
"dealerCheckOut","VARCHAR(65533)","source_type=varchar(20); "
"dealerCheckOutTime","VARCHAR(65533)","source_type=datetime; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
