"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); 編號"
"name","VARCHAR(65533)","source_type=varchar(20); 名稱"
"code","VARCHAR(65533)","source_type=varchar(10); 代碼"
"username","VARCHAR(65533)","source_type=varchar(20); 帳號"
"password","VARCHAR(65533)","source_type=varchar(20); 密碼"
"apikey","VARCHAR(65533)","source_type=varchar(50); api key"
"content","VARCHAR(65533)","source_type=varchar(1000); 傳送文本內容"
"length","VARCHAR(65533)","source_type=int(2); 驗證碼長度"
"format","VARCHAR(65533)","source_type=int(1); 驗證碼的格式 1:英文+數字 2:英文 3:數字"
"expireTime","VARCHAR(65533)","source_type=int(4); 驗證碼有效時間"
"limitTime","VARCHAR(65533)","source_type=int(4); 時間內不可重新發送的秒數, 0:不限制"
"noticeNumber","VARCHAR(65533)","source_type=varchar(20); 接收提醒號碼"
"noticeBalance","VARCHAR(65533)","source_type=decimal(4,2); 提醒餘額"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
