"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=varchar(50); "
"co","VARCHAR(65533)","source_type=varchar(100); "
"www","VARCHAR(65533)","source_type=varchar(50); "
"api","VARCHAR(1048576)","source_type=text; "
"api3rd","VARCHAR(1048576)","source_type=text; "
"rtmp","VARCHAR(1048576)","source_type=text; "
"flv","VARCHAR(1048576)","source_type=text; "
"hls","VARCHAR(1048576)","source_type=text; "
"ws","VARCHAR(1048576)","source_type=text; "
"gs","VARCHAR(65533)","source_type=varchar(50); "
"tb","VARCHAR(1048576)","source_type=text; 桌子設定"
"lang","VARCHAR(65533)","source_type=varchar(5); "
"register","VARCHAR(65533)","source_type=int(1); "
"ui","VARCHAR(65533)","source_type=varchar(1); "
"apkbutton","VARCHAR(65533)","source_type=int(11); "
"apkurl","VARCHAR(1048576)","source_type=text; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
