TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid,varchar,source_type=tinyint(1); 活動獎金是否需要打碼
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid_percent,varchar,"source_type=int(3); 需打碼時,獎金的%數"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_count,varchar,source_type=int(10); 投注局數
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_amount,varchar,"source_type=decimal(16,2); 單筆下注金額"
ods_mariadb_2b,ods_a168_SMR_log,bet02,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet03,varchar,"source_type=decimal(12,0); "
ods_mariadb_2b,ods_a168_SMR_log,bet04,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet22,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,profitmax,varchar,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_bak20250610,profitmax,varchar,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_elec,profitRate,varchar,"source_type=decimal(3,2); "
ods_mariadb_2b,ods_a168_agent_test,profitmax,varchar,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agents_LoginPass,betfeedback,varchar,"source_type=tinyint(1); 異常鎖定,0:N;1:Y"
ods_mariadb_2b,ods_a168_bet,bet001,varchar,source_type=int(11); sn
ods_mariadb_2b,ods_a168_bet,bet002,varchar,"source_type=enum(''Y'',''N''); is_cancel"
ods_mariadb_2b,ods_a168_bet,bet003,varchar,source_type=timestamp; bet_time
ods_mariadb_2b,ods_a168_bet,bet004,varchar,source_type=int(11); org_site
ods_mariadb_2b,ods_a168_bet,bet005,varchar,source_type=int(11); mid
ods_mariadb_2b,ods_a168_bet,bet006,varchar,"source_type=enum(''Y'',''N''); is_test"
ods_mariadb_2b,ods_a168_bet,bet007,varchar,source_type=int(11); lv1
ods_mariadb_2b,ods_a168_bet,bet008,varchar,source_type=int(11); lv2
ods_mariadb_2b,ods_a168_bet,bet009,varchar,source_type=int(11); lv3
ods_mariadb_2b,ods_a168_bet,bet010,varchar,source_type=int(11); lv4
ods_mariadb_2b,ods_a168_bet,bet011,varchar,source_type=int(11); lv5
ods_mariadb_2b,ods_a168_bet,bet012,varchar,source_type=int(11); lv6
ods_mariadb_2b,ods_a168_bet,bet013,varchar,source_type=char(15); ip
ods_mariadb_2b,ods_a168_bet,bet014,varchar,source_type=char(30); chk_number
ods_mariadb_2b,ods_a168_bet,bet015,varchar,source_type=int(11); seq_id
ods_mariadb_2b,ods_a168_bet,bet016,varchar,source_type=varchar(15); seq_name
ods_mariadb_2b,ods_a168_bet,bet017,varchar,source_type=int(11); play_type
ods_mariadb_2b,ods_a168_bet,bet018,varchar,"source_type=double(10,2); rto1"
ods_mariadb_2b,ods_a168_bet,bet019,varchar,"source_type=double(10,2); rto2"
ods_mariadb_2b,ods_a168_bet,bet020,varchar,"source_type=double(10,2); rto3"
ods_mariadb_2b,ods_a168_bet,bet021,varchar,source_type=varchar(30); bet_string
ods_mariadb_2b,ods_a168_bet,bet022,varchar,source_type=int(11); bet_amt
ods_mariadb_2b,ods_a168_bet,bet023,varchar,"source_type=double(5,2); rto_m1"
ods_mariadb_2b,ods_a168_bet,bet024,varchar,"source_type=double(5,2); rto_m2"
ods_mariadb_2b,ods_a168_bet,bet025,varchar,"source_type=double(5,2); rto_m3"
ods_mariadb_2b,ods_a168_bet,bet026,varchar,"source_type=enum(''Y'',''N''); dual"
ods_mariadb_2b,ods_a168_bet,bet027,varchar,"source_type=double(10,2); result"
ods_mariadb_2b,ods_a168_bet,bet028,varchar,source_type=smallint(6); prt_lv1
ods_mariadb_2b,ods_a168_bet,bet029,varchar,source_type=smallint(6); prt_lv2
ods_mariadb_2b,ods_a168_bet,bet030,varchar,source_type=smallint(6); prt_lv3
ods_mariadb_2b,ods_a168_bet,bet031,varchar,source_type=smallint(6); prt_lv4
ods_mariadb_2b,ods_a168_bet,bet032,varchar,source_type=smallint(6); prt_lv5
ods_mariadb_2b,ods_a168_bet,bet033,varchar,source_type=smallint(6); prt_lv6
ods_mariadb_2b,ods_a168_bet,bet034,varchar,"source_type=double(10,2); prt_amt_0"
ods_mariadb_2b,ods_a168_bet,bet035,varchar,"source_type=double(10,2); prt_amt_1"
ods_mariadb_2b,ods_a168_bet,bet036,varchar,"source_type=double(10,2); prt_amt_2"
ods_mariadb_2b,ods_a168_bet,bet037,varchar,"source_type=double(10,2); prt_amt_3"
ods_mariadb_2b,ods_a168_bet,bet038,varchar,"source_type=double(10,2); prt_amt_4"
ods_mariadb_2b,ods_a168_bet,bet039,varchar,"source_type=double(10,2); prt_amt_5"
ods_mariadb_2b,ods_a168_bet,bet040,varchar,"source_type=double(10,2); prt_amt_6"
ods_mariadb_2b,ods_a168_bet,bet041,varchar,"source_type=enum(''Y'',''N''); is_lottery"
ods_mariadb_2b,ods_a168_bet,bet042,varchar,source_type=int(11); org_sn
ods_mariadb_2b,ods_a168_bet,bet043,varchar,source_type=float; Base_Water
ods_mariadb_2b,ods_a168_bet,bet044,varchar,source_type=float; LV1_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet045,varchar,source_type=float; LV2_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet046,varchar,source_type=float; LV3_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet047,varchar,source_type=float; LV4_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet048,varchar,source_type=float; LV5_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet049,varchar,source_type=float; LV6_Water_Mny
ods_mariadb_2b,ods_a168_bet,bet050,varchar,source_type=float; 
ods_mariadb_2b,ods_a168_bet,bet051,varchar,"source_type=double(10,2); rto4"
ods_mariadb_2b,ods_a168_bet,bet052,varchar,"source_type=double(5,2); "
ods_mariadb_2b,ods_a168_bet,bet053,varchar,source_type=tinyint(4); 
ods_mariadb_2b,ods_a168_bet,bet054,varchar,source_type=timestamp; 
ods_mariadb_2b,ods_a168_bet01,bet01,varchar,source_type=bigint(20); 注單編號
ods_mariadb_2b,ods_a168_bet01,bet02,varchar,source_type=int(11); 遊戲類別編號
ods_mariadb_2b,ods_a168_bet01,bet03,varchar,"source_type=decimal(12,0); 場次編號"
ods_mariadb_2b,ods_a168_bet01,bet04,varchar,source_type=int(11); 子場次編號
ods_mariadb_2b,ods_a168_bet01,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_bet01,bet06,varchar,source_type=datetime; 開局時間
ods_mariadb_2b,ods_a168_bet01,bet07,varchar,source_type=date; 帳務日期
ods_mariadb_2b,ods_a168_bet01,bet08,varchar,source_type=datetime; 下注時間
ods_mariadb_2b,ods_a168_bet01,bet09,varchar,source_type=varchar(100); 下注內容
ods_mariadb_2b,ods_a168_bet01,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_bet01,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_bet01,bet12,varchar,"source_type=decimal(16,4); 起始點數"
ods_mariadb_2b,ods_a168_bet01,bet12a,varchar,"source_type=decimal(16,4); 起始籌碼"
ods_mariadb_2b,ods_a168_bet01,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_bet01,bet14,varchar,"source_type=decimal(16,4); 退水％數"
ods_mariadb_2b,ods_a168_bet01,bet15,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_bet01,bet16,varchar,source_type=int(11); LV2ID
ods_mariadb_2b,ods_a168_bet01,bet17,varchar,source_type=int(11); LV3ID
ods_mariadb_2b,ods_a168_bet01,bet18,varchar,source_type=int(11); LV4ID
ods_mariadb_2b,ods_a168_bet01,bet19,varchar,source_type=int(11); LV5ID
ods_mariadb_2b,ods_a168_bet01,bet20,varchar,"source_type=decimal(16,4); LV1佔成"
ods_mariadb_2b,ods_a168_bet01,bet21,varchar,"source_type=decimal(16,4); LV2佔成"
ods_mariadb_2b,ods_a168_bet01,bet22,varchar,"source_type=decimal(16,4); LV3佔成"
ods_mariadb_2b,ods_a168_bet01,bet23,varchar,"source_type=decimal(16,4); LV4佔成"
ods_mariadb_2b,ods_a168_bet01,bet24,varchar,"source_type=decimal(16,4); LV5佔成"
ods_mariadb_2b,ods_a168_bet01,bet25,varchar,"source_type=decimal(16,4); LV1退水%數"
ods_mariadb_2b,ods_a168_bet01,bet26,varchar,"source_type=decimal(16,4); LV2退水%數"
ods_mariadb_2b,ods_a168_bet01,bet27,varchar,"source_type=decimal(16,4); LV3退水%數"
ods_mariadb_2b,ods_a168_bet01,bet28,varchar,"source_type=decimal(16,4); LV4退水%數"
ods_mariadb_2b,ods_a168_bet01,bet29,varchar,"source_type=decimal(16,4); LV5退水%數"
ods_mariadb_2b,ods_a168_bet01,bet30,varchar,"source_type=enum(''Y'',''N''); 取消單"
ods_mariadb_2b,ods_a168_bet01,bet31,varchar,source_type=int(11); 桌子編號(Table ID)
ods_mariadb_2b,ods_a168_bet01,bet32,varchar,source_type=int(11); 房間編號(Room ID)
ods_mariadb_2b,ods_a168_bet01,betwalletid,varchar,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet01,commission,varchar,"source_type=int(11); 0.一般,1,免傭"
ods_mariadb_2b,ods_a168_bet01,partnerBetId,varchar,source_type=varchar(50); 第三方注單編號
ods_mariadb_2b,ods_a168_bet02,bet01,varchar,source_type=bigint(20); 注單編號
ods_mariadb_2b,ods_a168_bet02,bet02,varchar,source_type=int(11); 遊戲類別編號
ods_mariadb_2b,ods_a168_bet02,bet03,varchar,"source_type=decimal(12,0); 場次編號"
ods_mariadb_2b,ods_a168_bet02,bet04,varchar,source_type=int(11); 子場次編號
ods_mariadb_2b,ods_a168_bet02,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_bet02,bet06,varchar,source_type=datetime; 開局時間
ods_mariadb_2b,ods_a168_bet02,bet07,varchar,source_type=date; 帳務日期
ods_mariadb_2b,ods_a168_bet02,bet08,varchar,source_type=datetime; 下注時間
ods_mariadb_2b,ods_a168_bet02,bet09,varchar,source_type=varchar(100); 下注內容
ods_mariadb_2b,ods_a168_bet02,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_bet02,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_bet02,bet12,varchar,"source_type=decimal(16,4); 起始點數"
ods_mariadb_2b,ods_a168_bet02,bet12a,varchar,"source_type=decimal(16,4); 起始籌碼"
ods_mariadb_2b,ods_a168_bet02,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_bet02,bet14,varchar,"source_type=decimal(16,4); 派彩"
