TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money_updating,varchar,source_type=tinyint(1); 紅包雨更新鎖
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money,varchar,source_type=int(11); 紅包雨總金額
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_from,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_to,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_amount,varchar,"source_type=decimal(16,2); 單筆下注金額"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,money_from,varchar,"source_type=decimal(16,2); 紅包金額範圍"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,money_to,varchar,"source_type=decimal(16,2); 紅包金額範圍"
ods_mariadb_2b,ods_a168_RedPacket_Order,money,varchar,"source_type=decimal(16,4); 中獎金額"
ods_mariadb_2b,ods_a168_agent,cash,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_bak20250610,cash,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_test,cash,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_aggregate_transaction,money,varchar,"source_type=decimal(16,4); 處理金額 (有正負值)"
ods_mariadb_2b,ods_a168_aggregate_transaction,balance,varchar,"source_type=decimal(16,4); 對方餘額"
ods_mariadb_2b,ods_a168_bet01,betwalletid,varchar,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet02,betwalletid,varchar,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet02,resultwalletid,varchar,source_type=varchar(50); 結算單一錢包用
ods_mariadb_2b,ods_a168_categoryLevel,depositLimitMin,varchar,"source_type=decimal(16,4); 最低存款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,depositLimitMax,varchar,"source_type=decimal(16,4); 最高存款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,withdrawLimitMin,varchar,"source_type=decimal(16,4); 最低提款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,withdrawLimitMax,varchar,"source_type=decimal(16,4); 最高提款限額, 0為不限制"
ods_mariadb_2b,ods_a168_conversion,money,varchar,"source_type=decimal(10,4); 金額"
ods_mariadb_2b,ods_a168_conversion,curmoney,varchar,"source_type=decimal(10,4); 當前額度"
ods_mariadb_2b,ods_a168_game_tip,amount_list,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_log_realtimebet,totalBetMoney,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_member,cash,varchar,"source_type=decimal(15,4); 現金"
ods_mariadb_2b,ods_a168_member,money,varchar,"source_type=decimal(10,4); 己出碼額度"
ods_mariadb_2b,ods_a168_member,lockmoney,varchar,"source_type=decimal(10,4); 鎖定金額"
ods_mariadb_2b,ods_a168_member,wallet,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_partner_transation,wallet_id,varchar,source_type=bigint(20); wallet_dtl 處理 id
ods_mariadb_2b,ods_a168_partner_transation,money,varchar,"source_type=decimal(15,4); 金額"
ods_mariadb_2b,ods_a168_partner_transation,balance,varchar,"source_type=decimal(16,4); 交易前餘額"
ods_mariadb_2b,ods_a168_payment_order,paymentOrderId,varchar,source_type=varchar(50); 第三方支付訂單編號
ods_mariadb_2b,ods_a168_payment_order,amount,varchar,"source_type=decimal(16,4); 金額"
ods_mariadb_2b,ods_a168_payment_order,real_amount,varchar,"source_type=decimal(16,4); 實際交易金額"
ods_mariadb_2b,ods_a168_payment_order,wallet_id,varchar,source_type=int(11); wallet_dtl 處理 id
ods_mariadb_2b,ods_a168_realtimelog,betamount,varchar,"source_type=decimal(11,2); 本日累計投注金額"
ods_mariadb_2b,ods_a168_sms_setting,noticeBalance,varchar,"source_type=decimal(4,2); 提醒餘額"
ods_mariadb_2b,ods_a168_wallet_dtl,money,varchar,"source_type=decimal(15,4); 處理金錢"
ods_mariadb_2b,ods_a168_wallet_dtl,cash,varchar,"source_type=decimal(15,4); 當前金額"
ods_mariadb_2b,ods_a168_wallet_feedbackerr,money,varchar,"source_type=decimal(12,4); "
