member_id,ip_count,shared_ip_count,max_members_per_ip
147888370,1,1,5
147794835,1,0,1
147771128,1,1,3
147933124,1,0,1
122595651,2,1,2
148008378,1,0,1
147931658,1,1,2
131902059,1,0,1
148006289,1,0,1
121219293,2,1,2
147890943,1,0,1
147716756,1,1,2
37697604,1,0,1
145017331,1,1,2
147479687,1,0,1
147863115,1,0,1
142275084,1,1,12
147639511,1,0,1
98377563,1,0,1
147745198,1,1,5
141059739,1,0,1
147680248,1,1,6
147877939,1,0,1
138981444,1,0,1
102377345,1,1,26
122585575,1,0,1
147922934,1,0,1
147835730,1,0,1
147762978,1,1,2
137428089,1,0,1
130490041,1,0,1
146381692,1,1,3
114963537,1,1,2
146467107,1,1,4
148035866,1,0,1
80385852,1,0,1
135656793,1,0,1
69826231,1,1,2
147992174,1,0,1
147595535,1,1,2
127651936,1,0,1
144320601,1,0,1
147924808,1,1,2
147926872,1,1,3
147907157,1,0,1
147126021,2,0,1
147929815,2,1,2
115956654,1,0,1
148017273,1,1,2
147750017,1,0,1
147927313,1,1,2
125765517,1,0,1
147763638,1,1,5
128719957,1,1,2
147965655,1,1,8
135543995,1,0,1
147677187,1,1,7
142602299,1,0,1
147624415,1,0,1
147714403,1,0,1
130244868,1,1,2
100252508,1,1,2
135964094,2,2,22
96501076,1,0,1
148043669,1,0,1
145040481,1,0,1
147813579,1,0,1
141665321,1,0,1
140053350,1,0,1
147939692,1,1,3
147716485,1,0,1
147831896,1,0,1
147393373,1,1,2
147637105,1,1,2
147879709,1,0,1
121039976,1,1,2
117762078,2,2,4
147714731,1,0,1
147952370,1,0,1
129864596,1,0,1
140219981,1,0,1
147684518,1,1,2
121567813,1,0,1
104951444,1,0,1
147944140,1,1,2
147806120,1,0,1
139627646,1,1,4
147951049,1,1,9
147907715,1,0,1
147745731,1,0,1
147843335,1,0,1
143790004,1,1,3
147429067,1,0,1
81369762,1,1,8
144352732,1,1,13
147707575,1,0,1
116229215,1,0,1
147773774,1,1,5
132606707,1,0,1
144283351,1,1,11
135092266,1,0,1
32281520,2,2,2
147705211,1,0,1
147837466,1,1,3
148030875,1,1,8
148028718,1,0,1
147325713,1,1,3
147933497,1,1,2
147866504,1,1,6
147919178,1,0,1
107685549,1,1,2
148030075,1,1,2
147516324,1,1,3
147802735,2,1,2
133287083,1,1,3
144798013,1,0,1
146188386,1,0,1
129474765,1,1,4
147669862,1,1,3
147907099,1,0,1
147728275,1,1,2
147775160,1,1,2
147697318,1,1,6
146684569,1,0,1
145579272,1,0,1
148004037,1,0,1
147773694,1,0,1
147666626,1,0,1
147101799,1,0,1
147961590,1,0,1
139845812,1,0,1
147306290,1,1,3
147981867,1,0,1
134861686,1,0,1
147625075,1,1,4
147505885,1,0,1
146912055,1,0,1
146223463,1,0,1
148014680,1,1,4
20964580,1,1,2
147699568,1,1,2
147867887,1,0,1
147790950,1,1,3
147718041,1,1,2
147989273,1,1,11
147975668,1,1,7
147768186,1,1,8
134291546,1,0,1
143124496,1,0,1
133379651,1,1,5
147664454,1,0,1
147806878,1,1,4
135934841,1,0,1
147715660,2,1,2
147170763,1,1,2
147745974,1,1,4
136949606,1,0,1
139911272,1,1,4
147921678,1,1,5
39194755,1,0,1
147048514,1,0,1
147568851,1,0,1
148008705,1,1,5
147888387,1,1,3
147738718,1,1,6
147776367,1,0,1
147662257,1,0,1
113980901,1,0,1
147791766,1,0,1
147761991,1,0,1
147736420,1,0,1
147685320,1,1,2
103229046,1,1,2
131436446,1,1,2
147742939,1,1,3
147901909,1,1,2
147630823,1,1,2
148035266,1,0,1
147838934,1,1,8
147778048,1,1,6
147958081,1,0,1
148033088,1,0,1
108105298,1,1,2
147636331,1,0,1
107041492,1,0,1
147843133,1,1,4
146909556,1,1,2
146830356,1,1,4
131205973,1,1,2
147803076,1,0,1
123966124,1,0,1
147879638,1,1,6
147833694,1,1,2
147865994,1,1,7
106041490,1,1,2
142122679,3,1,2
38335332,1,0,1
114093311,1,0,1
147722037,1,0,1
148036848,1,0,1
147902390,1,0,1
147628884,1,1,3
147757635,1,0,1
147805474,1,0,1
117316810,1,0,1
148036960,1,0,1
147792878,1,0,1
147359387,1,0,1
143962928,1,0,1
108571002,1,0,1
147940328,1,1,4
139541309,1,0,1
146742823,1,1,10
147858354,1,1,43
147770030,1,0,1
144449321,1,0,1
148047931,1,0,1
147473897,1,1,4
129943075,1,1,5
147644026,1,0,1
147855023,1,1,2
147004142,1,1,2
131297801,1,0,1
148032709,1,1,2
147919607,1,1,4
148037412,1,1,5
146369730,1,1,2
147772534,1,0,1
147792549,1,1,2
107014836,1,1,2
