TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacketSetup,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacketSetup,id,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacketSetup,agent_id,varchar,source_type=int(11); 代理id
ods_mariadb_2b,ods_a168_RedPacketSetup,status,varchar,"source_type=tinyint(1); 活动状态:0:关闭,1:开启"
ods_mariadb_2b,ods_a168_RedPacketSetup,start_time,varchar,source_type=datetime; 開始活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,end_time,varchar,source_type=datetime; 結束活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money_updating,varchar,source_type=tinyint(1); 紅包雨更新鎖
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money,varchar,source_type=int(11); 紅包雨總金額
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_from,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_to,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,single_interval,varchar,"source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔"
ods_mariadb_2b,ods_a168_RedPacketSetup,single_available_times,varchar,source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex)
ods_mariadb_2b,ods_a168_RedPacketSetup,setting,varchar,source_type=text; 紅包雨gid配置
ods_mariadb_2b,ods_a168_RedPacketSetup,duration,varchar,source_type=int(10); 持續時間
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid,varchar,source_type=tinyint(1); 活動獎金是否需要打碼
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid_percent,varchar,"source_type=int(3); 需打碼時,獎金的%數"
ods_mariadb_2b,ods_a168_RedPacketSetup,rules,varchar,source_type=text; 活動規則
ods_mariadb_2b,ods_a168_RedPacketSetup,black_list,varchar,source_type=text; 黑名單帳號(逗號隔開)(不使用)
ods_mariadb_2b,ods_a168_RedPacketSetup,utp,varchar,source_type=char(1); 操作者類型
ods_mariadb_2b,ods_a168_RedPacketSetup,uid,varchar,source_type=int(11); 操作者id
ods_mariadb_2b,ods_a168_RedPacketSetup,update_time,varchar,source_type=datetime; 操作時間
