TABLE_NAME,COLUMN_NAME,COLUMN_COMMENT
ods_a168_RedPacketSetup,agent_id,source_type=int(11); 代理id
ods_a168_RedPacketSetup_setting,bet_count,source_type=int(10); 投注局數
ods_a168_RedPacketSetup_setting,bet_amount,"source_type=decimal(16,2); 單筆下注金額"
ods_a168_SMR_log,bet02,source_type=int(11); 
ods_a168_SMR_log,bet03,"source_type=decimal(12,0); "
ods_a168_SMR_log,bet04,source_type=int(11); 
ods_a168_SMR_log,bet22,source_type=int(11); 
ods_a168_agent,tip,"source_type=enum(''Y'',''N''); "
ods_a168_agent,receipt_acc,source_type=int(3); 收款帳號
ods_a168_agent,membermax,source_type=int(11); 會員總數
ods_a168_agent_bak20250610,tip,"source_type=enum(''Y'',''N''); "
ods_a168_agent_bak20250610,receipt_acc,source_type=int(3); 收款帳號
ods_a168_agent_bak20250610,membermax,source_type=int(11); 會員總數
ods_a168_agent_partner_gamelist,agent_id,source_type=int(11); 代理 id
ods_a168_agent_test,tip,"source_type=enum(''Y'',''N''); "
ods_a168_agent_test,receipt_acc,source_type=int(3); 收款帳號
ods_a168_agent_test,membermax,source_type=int(11); 會員總數
ods_a168_agents_LoginPass,betfeedback,"source_type=tinyint(1); 異常鎖定,0:N;1:Y"
ods_a168_aggregate_setting,agent_id,source_type=int(11); 代理 id
ods_a168_alert_ip_setting,ip,source_type=varchar(128); 
ods_a168_ban_bet_area,account_type,source_type=varchar(1); 
ods_a168_bet,bet001,source_type=int(11); sn
ods_a168_bet,bet002,"source_type=enum(''Y'',''N''); is_cancel"
ods_a168_bet,bet003,source_type=timestamp; bet_time
ods_a168_bet,bet004,source_type=int(11); org_site
ods_a168_bet,bet005,source_type=int(11); mid
ods_a168_bet,bet006,"source_type=enum(''Y'',''N''); is_test"
ods_a168_bet,bet007,source_type=int(11); lv1
ods_a168_bet,bet008,source_type=int(11); lv2
ods_a168_bet,bet009,source_type=int(11); lv3
ods_a168_bet,bet010,source_type=int(11); lv4
ods_a168_bet,bet011,source_type=int(11); lv5
ods_a168_bet,bet012,source_type=int(11); lv6
ods_a168_bet,bet013,source_type=char(15); ip
ods_a168_bet,bet014,source_type=char(30); chk_number
ods_a168_bet,bet015,source_type=int(11); seq_id
ods_a168_bet,bet016,source_type=varchar(15); seq_name
ods_a168_bet,bet017,source_type=int(11); play_type
ods_a168_bet,bet018,"source_type=double(10,2); rto1"
ods_a168_bet,bet019,"source_type=double(10,2); rto2"
ods_a168_bet,bet020,"source_type=double(10,2); rto3"
ods_a168_bet,bet021,source_type=varchar(30); bet_string
ods_a168_bet,bet022,source_type=int(11); bet_amt
ods_a168_bet,bet023,"source_type=double(5,2); rto_m1"
ods_a168_bet,bet024,"source_type=double(5,2); rto_m2"
ods_a168_bet,bet025,"source_type=double(5,2); rto_m3"
ods_a168_bet,bet026,"source_type=enum(''Y'',''N''); dual"
ods_a168_bet,bet027,"source_type=double(10,2); result"
ods_a168_bet,bet028,source_type=smallint(6); prt_lv1
ods_a168_bet,bet029,source_type=smallint(6); prt_lv2
ods_a168_bet,bet030,source_type=smallint(6); prt_lv3
ods_a168_bet,bet031,source_type=smallint(6); prt_lv4
ods_a168_bet,bet032,source_type=smallint(6); prt_lv5
ods_a168_bet,bet033,source_type=smallint(6); prt_lv6
ods_a168_bet,bet034,"source_type=double(10,2); prt_amt_0"
ods_a168_bet,bet035,"source_type=double(10,2); prt_amt_1"
ods_a168_bet,bet036,"source_type=double(10,2); prt_amt_2"
ods_a168_bet,bet037,"source_type=double(10,2); prt_amt_3"
ods_a168_bet,bet038,"source_type=double(10,2); prt_amt_4"
ods_a168_bet,bet039,"source_type=double(10,2); prt_amt_5"
ods_a168_bet,bet040,"source_type=double(10,2); prt_amt_6"
ods_a168_bet,bet041,"source_type=enum(''Y'',''N''); is_lottery"
ods_a168_bet,bet042,source_type=int(11); org_sn
ods_a168_bet,bet043,source_type=float; Base_Water
ods_a168_bet,bet044,source_type=float; LV1_Water_Mny
ods_a168_bet,bet045,source_type=float; LV2_Water_Mny
ods_a168_bet,bet046,source_type=float; LV3_Water_Mny
ods_a168_bet,bet047,source_type=float; LV4_Water_Mny
ods_a168_bet,bet048,source_type=float; LV5_Water_Mny
ods_a168_bet,bet049,source_type=float; LV6_Water_Mny
ods_a168_bet,bet050,source_type=float; 
ods_a168_bet,bet051,"source_type=double(10,2); rto4"
ods_a168_bet,bet052,"source_type=double(5,2); "
ods_a168_bet,bet053,source_type=tinyint(4); 
ods_a168_bet,bet054,source_type=timestamp; 
ods_a168_bet01,bet01,source_type=bigint(20); 注單編號
ods_a168_bet01,bet02,source_type=int(11); 遊戲類別編號
ods_a168_bet01,bet03,"source_type=decimal(12,0); 場次編號"
ods_a168_bet01,bet04,source_type=int(11); 子場次編號
ods_a168_bet01,bet05,source_type=int(11); 會員編號
ods_a168_bet01,bet06,source_type=datetime; 開局時間
ods_a168_bet01,bet07,source_type=date; 帳務日期
