resultwalletid,betwalletid,出现次数
-1,,738817
-1,"2704872709,",73
-1,"2704899737,",71
-1,"2704871789,",71
,,68
-1,"2705347096,",66
-1,"2705013923,",65
-1,"2704877565,",65
-1,"2705334178,",63
-1,"2704870859,",63
-1,"2704890470,",62
-1,"2704989254,",61
-1,"2705024655,",61
-1,"2705012931,",61
-1,"2705019906,",60
-1,"2705086259,",60
-1,"2704897677,",60
-1,"2704988017,",59
-1,"2704867172,",59
-1,"2704910701,",58
-1,"2704934375,",57
-1,"2705017810,",57
-1,"2704890490,",57
-1,"2705343835,",57
-1,"2704880440,",57
-1,"2704746552,",56
-1,"2704919332,",56
-1,"2704905253,",56
-1,"2705032877,",56
-1,"2705367072,",56
-1,"2704945325,",55
-1,"2704863506,",55
-1,"2704882524,",55
-1,"2705023588,",54
-1,"2704854073,",54
-1,"2704852231,",53
-1,"2705355271,",52
-1,"2705321131,",52
-1,"2704877541,",52
-1,"2704869167,",52
-1,"2704929778,",52
-1,"2704878417,",52
-1,"2704874604,",52
-1,"2704921728,",51
-1,"2705354324,",51
-1,"2704909698,",51
-1,"2705011653,",50
-1,"2705346014,",50
-1,"2705364572,",50
-1,"2704943842,",49
-1,"2704889431,",49
-1,"2705365369,",49
-1,"2705340896,",49
-1,"2704876677,",49
-1,"2704854064,",48
-1,"2705366262,",48
-1,"2704918120,",48
-1,"2705307484,",48
-1,"2705186436,",48
-1,"2705363592,",47
-1,"2705322387,",46
-1,"2705362448,",46
-1,"2705365362,",46
-1,"2705329900,",45
-1,"2704865220,",45
-1,"2704919367,",45
-1,"2704858900,",45
-1,"2704881478,",45
-1,"2704938505,",44
-1,"2704927423,",44
-1,"2704856928,",44
-1,"2705333165,",44
-1,"2704842895,",44
-1,"2704857863,",44
-1,"2704867190,",44
-1,"2704856891,",44
-1,"2704925123,",44
-1,"2705352262,",44
-1,"2704850480,",44
-1,"2705354429,",44
-1,"2705037995,",43
-1,"2704862306,",43
-1,"2704843728,",43
-1,"2704937525,",43
-1,"2704924054,",43
-1,"2705337991,",43
-1,"2704738831,",42
-1,"2705342791,",42
-1,"2704866194,",42
-1,"2705342106,",42
-1,"2704865225,",42
-1,"2705327903,",42
-1,"2704939938,",42
-1,"2704933212,",42
-1,"2704860726,",42
-1,"2704935419,",41
-1,"2705254252,",41
-1,"2704836510,",41
-1,"2704926191,",41
-1,"2705317830,",41
-1,"2704871790,",41
-1,"2705029603,",41
-1,"2704903067,",41
-1,"2704970519,",41
-1,"2705361347,",41
-1,"2704847841,",40
-1,"2704962535,",40
-1,"2704920299,",40
-1,"2704997239,",40
-1,"2704938717,",40
-1,"2705320252,",40
-1,"2704904096,",40
