交易id,会员,投注选项,赔率,投注额,bet33,bet34,bet35,bet36,bet37,bet38,bet39,bet40,bet41
5514840758,153393089,Banker,3.8733,100.2,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
5514840764,135340603,Tie,4.8926,298.1546,0.0,0.0,0.0,0.0,0.0,,909.0,0.0,10.0
5514840770,143871449,Tie,4.8926,180.67,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,20.0
5514840785,144103356,Tie,3.8733,1951.95,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,20.0
5514840791,146298262,Tie,4.8926,69.54,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514840803,121762843,Banker,4.8926,92.5702,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,10.0
5514840808,129009961,Banker,3.8733,304.58,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,50.0
5514840817,97880160,SuperLucky7,4.8926,5779.9,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,10.0
5514840820,151636603,Player,1.0000,3935.54,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,220.0
5514840834,148076843,Banker,3.8733,7556.39,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,100.0
5514840841,106012107,Banker,3.8733,1004.4,0.0,0.0,0.0,0.0,0.0,,113.0,6.0,300.0
5514840855,25085202,Tie,3.8733,1000.8,0.0,0.0,0.0,0.0,0.0,,113.0,6.0,60.0
5514840862,136405027,Banker,3.8733,40.4,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,40.0
5514840869,50451676,Banker,0.6011,181.95,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,181.0
5514840876,120552004,PPair,4.8926,7975.16,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,10.0
5514840883,15812030,Banker,3.8733,2830.63,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,100.0
5514840888,23174162,Player,3.8733,2154.6116,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,200.0
5514840897,151971281,Tie,309.0231,184500.5,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,500.0
5514840906,150397737,Banker,3.8733,5920.78,0.0,0.0,0.0,0.0,0.0,,901.0,0.0,100.0
5514840912,152965278,Player,0.1472,17950.15,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,50.0
5514840919,149068089,Player,4.8926,340.84,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,100.0
5514840925,148905821,Player,3.8733,5014.6,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,3300.0
5514840931,149608987,Player,3.8733,2000.32,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,500.0
5514840944,151461829,Banker,4.8926,9720.8,0.0,0.0,0.0,0.0,0.0,,910.0,3.0,720.0
5514840950,131342353,Banker,4.8926,264.12,0.0,0.0,0.0,0.0,0.0,,32.0,0.0,30.0
5514840967,150736241,Player,3.8733,345.06,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,70.0
5514840973,75724861,Banker,3.8733,816.92,0.0,0.0,0.0,0.0,0.0,,32.0,0.0,300.0
5514840978,114288254,PPair,4.8926,202.22,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,10.0
5514840986,152949279,Big,3.8733,142.58,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,50.0
5514840992,125578607,Super6,3.8733,230.5,0.0,0.0,0.0,0.0,0.0,,910.0,3.0,20.0
5514840999,153198150,Player,4.8926,600.15,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,200.0
5514841005,65407822,BPair,4.8926,857.82,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,50.0
5514841011,89301902,Banker,3.8733,1701.16,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,1000.0
5514841026,139715383,Tie,4.8926,248.95,0.0,0.0,0.0,0.0,0.0,,32.0,0.0,10.0
5514841032,153147791,Banker,1.0000,2058.5,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,40.0
5514841039,149856190,Dragon,4.8926,115.6033,0.0,0.0,0.0,0.0,0.0,,1.0,4.0,20.0
5514841047,142433196,Player,3.8733,2525.1,0.0,0.0,0.0,0.0,0.0,,115.0,0.0,300.0
5514841053,143346893,Banker,3.8733,4036.09,0.0,0.0,0.0,0.0,0.0,,32.0,0.0,100.0
5514841058,139526270,Player,4.8926,4202.2,0.0,0.0,0.0,0.0,0.0,,906.0,0.0,200.0
5514841064,144389679,Banker,4.8926,100.7,0.0,0.0,0.0,0.0,0.0,,906.0,0.0,50.0
5514841070,97944775,Player,4.8926,10880.22,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,400.0
5514841085,115016829,Player,4.8926,1800.08,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,100.0
5514841091,151541585,Odd,3.8733,836.72,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,180.0
5514841100,110196595,Banker,3.8733,1124.74,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,20.0
5514841114,32219836,Even,3.8733,3916.2672,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,10.0
5514841123,153311724,Odd,3.8733,24262.55,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,500.0
5514841128,153011837,Player,9.0528,157.01,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,50.0
5514841137,123645690,Banker,3.8733,200.4,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,50.0
5514841142,99487840,W3R1,3.8733,177.11,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,25.0
5514841149,153303100,R3W1,3.8733,5238.38,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,100.0
5514841156,133389843,Player,3.8733,18055.8,0.0,0.0,0.0,0.0,0.0,,910.0,3.0,2000.0
5514841161,151813997,W3R1,3.8733,92.35,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,20.0
5514841175,101518355,Even,3.8733,345.05,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,60.0
5514841180,110823401,Banker,3.8733,756.67,0.0,0.0,0.0,0.0,0.0,,907.0,3.0,40.0
