TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,COLUMN_COMMENT
_statistics_,loads_history,user,
information_schema,applicable_roles,USER,
information_schema,loads,USER,
information_schema,partitions_meta,TABLET_BALANCED,
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_amount,"source_type=decimal(16,2); 單筆下注金額"
ods_mariadb_2b,ods_a168_agent,membermax,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent,profitmax,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_bak20250610,membermax,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent_bak20250610,profitmax,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_elec,profitRate,"source_type=decimal(3,2); "
ods_mariadb_2b,ods_a168_agent_test,membermax,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent_test,profitmax,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_aggregate_transaction,balance,"source_type=decimal(16,4); 對方餘額"
ods_mariadb_2b,ods_a168_bet01,betwalletid,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet02,betwalletid,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet02,resultwalletid,source_type=varchar(50); 結算單一錢包用
ods_mariadb_2b,ods_a168_categoryLevel,depositLimitMin,"source_type=decimal(16,4); 最低存款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,depositLimitMax,"source_type=decimal(16,4); 最高存款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,withdrawLimitMin,"source_type=decimal(16,4); 最低提款限額, 0為不限制"
ods_mariadb_2b,ods_a168_categoryLevel,withdrawLimitMax,"source_type=decimal(16,4); 最高提款限額, 0為不限制"
ods_mariadb_2b,ods_a168_close_tip_list,game_user,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_employee,servicemember,source_type=int(11); 服務會員
ods_mariadb_2b,ods_a168_game_log,user_agent,source_type=text; 
ods_mariadb_2b,ods_a168_game_tip,amount_list,source_type=text; 
ods_mariadb_2b,ods_a168_member,wallet,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_member,winlossprompt,"source_type=enum(''0'',''1''); 最大可輸可贏提示"
ods_mariadb_2b,ods_a168_member_partner_account,username,source_type=varchar(30); 第三方遊戲帳號
ods_mariadb_2b,ods_a168_partner_transation,wallet_id,source_type=bigint(20); wallet_dtl 處理 id
ods_mariadb_2b,ods_a168_partner_transation,balance,"source_type=decimal(16,4); 交易前餘額"
ods_mariadb_2b,ods_a168_payment_order,amount,"source_type=decimal(16,4); 金額"
ods_mariadb_2b,ods_a168_payment_order,real_amount,"source_type=decimal(16,4); 實際交易金額"
ods_mariadb_2b,ods_a168_payment_order,wallet_id,source_type=int(11); wallet_dtl 處理 id
ods_mariadb_2b,ods_a168_realtimelog,betmember,source_type=int(11); 本日累計投注人數
ods_mariadb_2b,ods_a168_realtimelog,betamount,"source_type=decimal(11,2); 本日累計投注金額"
ods_mariadb_2b,ods_a168_sms_setting,username,source_type=varchar(20); 帳號
ods_mariadb_2b,ods_a168_sms_setting,noticeBalance,"source_type=decimal(4,2); 提醒餘額"
ods_mariadb_2b,ods_a168_wallet_dtl,user,source_type=varchar(30); 
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_award_log,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_award_log,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_award_log,bonus,source_type=float; 派奖金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,day_sign_bonus,source_type=float; 每日签到奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,full_sign_bonus,source_type=float; 满签奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,extra_bonus,source_type=float; 额外奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,sign_bonus_bill_no,source_type=varchar(255); 签到奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,full_bonus_bill_no,source_type=varchar(255); 满签奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,extra_bonus_bill_no,source_type=varchar(255); 满签额外奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,sign_bonus_send_flag,source_type=tinyint(1); 签到奖励 派奖状态 0 为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,full_bonus_send_flag,source_type=tinyint(1); 满签奖励 为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_daily_examine_log,extra_bonus_send_flag,source_type=tinyint(1); 满签额外奖励0 为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_helper_log,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_helper_log,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_helper_log,cycle_sign_bonus,"source_type=varchar(255); 一个周期的获取彩金记录，默认都是0.00,0.00,0.00,0.00,0.00,长度 5-15，后面可能会扩展"
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_helper_log,cycle_full_bonus,source_type=float; 满签奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_helper_log,cycle_extra_bonus,source_type=float; 额外奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_daily_log,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_daily_log,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,sum_sign_bonus,source_type=float; 累计签到奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,full_sign_bonus,source_type=float; 满签奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,extra_bonus,source_type=float; 额外奖励金额
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,sign_bonus_bill_no,source_type=varchar(255); 签到奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,full_bonus_bill_no,source_type=varchar(255); 满签奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,extra_bonus_bill_no,source_type=varchar(255); 满签额外奖金 发送红利 单号
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,sign_bonus_send_flag,source_type=int(11); 签到奖励 派奖状态 0 为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,full_bonus_send_flag,source_type=int(11); 满签奖励 0为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_act_sign_gift_sum_examine_log,extra_bonus_send_flag,source_type=int(11); 满签额外奖励0 为派发，1 已派发，2 未达标，3，不符合条件，4已失效
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_record,member_id,source_type=int(11); 会员ID
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_record,member_name,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_record,bonus_money,source_type=float; 红利金额
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_record,bonus_status,"source_type=int(11); 红利状态(0,未派发; 1,派发中; 2,已派发; 3,已取消)"
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_rule,min_transfer_amount,source_type=float; 最低转账
ods_tidb_2c_test,ods_activity_1000_activity_advance_bonus_rule,bonus_limit_amount,source_type=float; 彩金上限
ods_tidb_2c_test,ods_activity_1000_activity_bet_task,rebate_time,source_type=bigint(20); 返利开始时间 1 首存开始时间 2 注册开始时间
ods_tidb_2c_test,ods_activity_1000_activity_bet_task,rebate_ratio,source_type=float; 返利比例
ods_tidb_2c_test,ods_activity_1000_activity_bet_task,rebate_expire,source_type=bigint(20); 返利有效期
ods_tidb_2c_test,ods_activity_1000_activity_bet_task,least_rebate_amount,source_type=float; 最少返利金额
ods_tidb_2c_test,ods_activity_1000_activity_bet_task,web_rebate_detail_pic,source_type=varchar(255); web返利详情图
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,deposit_time,source_type=datetime; 被邀请人首存时间
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,rebate_start_time,source_type=datetime; 返利开始时间
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,rebate_end_time,source_type=datetime; 返利结束时间
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,flow_amount,"source_type=decimal(16,4); 累计流水更新汇总"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,today_flow_amount,"source_type=decimal(16,4); 定时刷新一次今日有效投注"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,today_rebate_amount,"source_type=decimal(16,4); 定时刷新一次今日有效投注乘以返利比例"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,total_rebate_amount,"source_type=decimal(16,4); 累计返利"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,already_rebate_amount,"source_type=decimal(16,4); 总派发返利"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,surplus_rebate_amount,"source_type=decimal(16,4); 剩余返利"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,yesterday_rebate_amount,"source_type=decimal(16,4); 计算昨日累计返利"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,rebate_status,"source_type=tinyint(4); 发放状态 0:进行中, 1:未达标, 2:已过期"
ods_tidb_2c_test,ods_activity_1000_activity_bet_task_record,rebate_time,source_type=tinyint(4); 返利开始时间方式 0注册算  1首存算
ods_tidb_2c_test,ods_activity_1000_activity_carnival_vote_count,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_activity_carnival_vote_count,member_name,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_carnival_vote_record,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_activity_carnival_vote_record,member_name,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_carnival_vote_record,change_amount,source_type=float; 当次投注/存款金额
ods_tidb_2c_test,ods_activity_1000_activity_daily_sign_helper_logs,member_id,source_type=int(11); 会员ID
ods_tidb_2c_test,ods_activity_1000_activity_daily_sign_helper_logs,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_daily_sign_logs,member_id,source_type=int(11); 会员id
ods_tidb_2c_test,ods_activity_1000_activity_daily_sign_logs,member_account,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_daily_sign_logs,day_deposit,source_type=float; 当日存款金额
ods_tidb_2c_test,ods_activity_1000_activity_deposit_bonus_config,bonus_type,source_type=tinyint(4); 红利方式：0:固定金额， 1:比例金额
ods_tidb_2c_test,ods_activity_1000_activity_deposit_bonus_config,deposit_amount,"source_type=float(10,4); 存款金额"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_bonus_config,bonus,"source_type=float(10,4); 赠送金额"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_bonus_config,bonus_ratio,"source_type=float(10,4); 赠送比例"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_bonus_config,bonus_limit,"source_type=float(10,4); 赠送上限"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task,bonus_type,source_type=tinyint(4); 红利方式：0:固定金额， 1:比例金额
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task,deposit_amount,"source_type=float(10,4); 存款要求"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,member_id,source_type=int(11); 会员ID
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,member_name,source_type=varchar(255); 邀请人账号
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,member_role,"source_type=tinyint(4); 会员角色 0:邀请人, 1:被邀请人"
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,apply_amount,source_type=float; 申请金额
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,prize_amount,source_type=float; 奖励金额
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,flow_amount,source_type=float; 有效流水
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,complete_deposit,source_type=float; 完成累计存款金额(被邀人)
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,complete_deposit_time,source_type=datetime; 完成累计存款额时间(被邀人)
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,config_deposit,source_type=float; 累计存款要求（当时配置）
ods_tidb_2c_test,ods_activity_1000_activity_deposit_task_records,venue_wallet_type,source_type=tinyint(4); 场馆钱包 1 人民币场馆钱包
ods_tidb_2c_test,ods_activity_1000_activity_disable_relation_detail,member_id,source_type=int(11); 会员ID
ods_tidb_2c_test,ods_activity_1000_activity_disable_relation_detail,member_name,source_type=varchar(255); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_disable_relation_detail,member_name_prefix,"source_type=varchar(255); 会员账号（带前缀）例如：YB-XXXXX,AYX-XXXXX"
ods_tidb_2c_test,ods_activity_1000_activity_disable_relation_detail,account_balance,source_type=float; 账户余额
ods_tidb_2c_test,ods_activity_1000_activity_envelope,whitelist_member,source_type=varchar(255); 白名单会员列表(多个用逗号隔开)
ods_tidb_2c_test,ods_activity_1000_activity_envelope,wallet_type,source_type=int(11); 钱包类型：1-中心钱包，2-场馆钱包
ods_tidb_2c_test,ods_activity_1000_activity_envelope,member_filter_id,source_type=int(11); 会员筛选ID
ods_tidb_2c_test,ods_activity_1000_activity_envelope_log,wallet_type,source_type=int(11);  // 钱包类型：1-中心钱包，2-场馆钱包
ods_tidb_2c_test,ods_activity_1000_activity_envelope_session,open_user,source_type=varchar(255); 启用人
ods_tidb_2c_test,ods_activity_1000_activity_envelope_session,stop_user,source_type=varchar(255); 停用人
ods_tidb_2c_test,ods_activity_1000_activity_envelope_value,user_list,source_type=varchar(255); 自定义群组用户列表
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_config,min_deposit_amount,"source_type=decimal(18,2); 最低存款金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_config,min_net_amount,"source_type=decimal(18,2); 最低净输赢金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_config,min_valid_bet_amount,"source_type=decimal(18,2); 最低有效投注金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_limit,initial_limit_amount,"source_type=decimal(18,2); 初始金额上限"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_limit,change_amount_total,"source_type=decimal(18,2); 净改动金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_limit,current_limit_amount,"source_type=decimal(18,2); 当前金额上限"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_log,member_group,source_type=varchar(32); 会员群组
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_prize,member_group,source_type=varchar(32); 会员群组
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_prize,reward_min_amount,"source_type=decimal(18,2); 奖励最小金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_prize,reward_max_amount,"source_type=decimal(18,2); 奖励最大金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_win_list,member_count,source_type=int(11); 名单会员数
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_win_list_member,member_account,source_type=varchar(64); 会员账号
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_win_list_member,bonus_amount,"source_type=decimal(18,2); 礼金金额"
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_monitor_win_list_member,point_amount,source_type=bigint(20); 积分数量
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_record,member_id,source_type=bigint(20); 会员ID
ods_tidb_2c_test,ods_activity_1000_activity_football_shot_record,member_account,source_type=varchar(64); 会员账户
